symbol,name,theme,year,bars,avg_daily_amount_yi,qualifies
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2015,244,4.4127,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2016,244,9.4906,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2017,244,15.1818,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2018,243,50.6692,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2019,243,38.5212,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2020,243,2.6098,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2021,243,6.3728,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2022,242,4.9208,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2023,242,4.8848,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2024,242,4.9445,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2025,243,5.2916,Y
159001.SZ,易方达保证金收益货币ETF-A,活期存款利率,2026,177,6.4193,Y
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2015,244,5.0892,Y
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2016,244,5.7005,Y
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2017,244,5.5758,Y
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2018,243,12.6999,Y
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2019,243,1.5858,Y
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2020,243,0.4383,
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2021,243,0.4955,
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2022,242,0.1956,
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2023,242,0.1352,
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2024,242,0.1655,
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2025,243,0.3125,
159003.SZ,招商保证金快线货币ETF-A,活期存款利率,2026,177,0.3101,
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2015,238,1.0718,Y
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2016,244,6.0874,Y
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2017,244,34.2546,Y
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2018,243,30.5226,Y
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2019,243,1.147,Y
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2020,243,0.0332,
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2021,243,0.0166,
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2022,242,0.0299,
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2023,242,0.0884,
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2024,242,0.0982,
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2025,243,0.1336,
159005.SZ,汇添富收益快钱货币ETF-A,活期存款利率,2026,177,0.1352,
159007.SZ,华泰柏瑞中证畜牧养殖产业ETF,中证畜牧养殖产业,2026,110,0.1755,
159008.SZ,景顺长城中证全指证券公司ETF,中证全指证券公司,2026,103,0.1321,
159009.SZ,易方达创业板新能源ETF,创业板新能源,2026,113,0.0612,
159010.SZ,博时恒生港股通科技主题ETF,恒生港股通科技主题,2026,95,0.1432,
159011.SZ,华安中证畜牧养殖产业ETF,中证畜牧养殖产业,2026,71,0.0961,
159012.SZ,鹏华中证科创创业50ETF,中证科创创业50,2026,90,0.1366,
159013.SZ,大成中证工业互联网主题ETF,中证工业互联网主题,2026,103,0.0852,
159015.SZ,国联恒生港股通科技主题ETF,恒生港股通科技主题,2026,98,0.1541,
159016.SZ,广发中证证券公司30ETF,中证证券公司30,2026,94,0.3325,
159017.SZ,工银瑞信国证石油天然气ETF,国证石油天然气,2026,98,0.065,
159018.SZ,广发国证石油天然气ETF,国证石油天然气指数同期,2026,104,0.0742,
159019.SZ,华宝国证石油天然气ETF,国证石油天然气,2026,106,0.1757,
159020.SZ,易方达中证畜牧养殖产业ETF,中证畜牧养殖产业,2026,104,0.0852,
159021.SZ,华夏国证大盘价值ETF,国证大盘价值,2026,93,0.0566,
159022.SZ,富国中证科创创业人工智能ETF,中证科创创业人工智能,2026,105,0.2936,
159023.SZ,万家中证畜牧养殖产业ETF,中证畜牧养殖产业,2026,72,0.1007,
159026.SZ,南方国证石油天然气ETF,国证石油天然气,2026,105,0.0828,
159027.SZ,大成中证畜牧养殖产业ETF,中证畜牧养殖产业,2026,93,0.0796,
159028.SZ,天弘恒生港股通汽车主题ETF,恒生港股通汽车主题,2026,94,0.0536,
