symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative
511360.SH,海富通中证短融ETF,中证短融,中证短融指数收益率×100%,被动指数型,海富通基金管理有限公司,20200925,nan,L,0.15,0.05,838.53,Y,6,2021,2026,2026,357.3249,2026,357.3249,Y
511990.SH,华宝现金添益货币ETF-A,7天通知存款利率,7天通知存款利率(税后)×100%,货币型,华宝基金管理有限公司,20130128,nan,L,0.35,0.09,,N,14,2013,2026,2015,211.6969,2026,110.821,Y
511880.SH,银华货币ETF-A,活期存款利率,活期存款利率(税后)×100%,货币型,银华基金管理股份有限公司,20130418,nan,L,0.3,0.09,,N,14,2013,2026,2026,174.1704,2026,174.1704,Y
511380.SH,博时中证可转债及可交换债券ETF,中证可转债及可交换债券,中证可转债及可交换债券指数收益率×100%,被动指数型,博时基金管理有限公司,20200407,nan,L,0.15,0.05,622.12,Y,7,2020,2026,2026,102.4937,2026,102.4937,Y
511100.SH,华夏上证基准做市国债ETF,上证基准做市国债,上证基准做市国债指数收益率×100%,被动指数型,华夏基金管理有限公司,20231225,nan,L,0.15,0.05,121.75,Y,3,2024,2026,2026,98.8689,2026,98.8689,Y
513090.SH,易方达中证香港证券投资主题ETF,中证香港证券投资主题,中证香港证券投资主题指数收益率(使用估值汇率折算)×100%,被动指数型,易方达基金管理有限公司,20200326,nan,L,0.15,0.05,185.43,Y,7,2020,2026,2025,98.4548,2026,57.8456,Y
513310.SH,华泰柏瑞中证韩交所中韩半导体ETF(QDII),中证韩交所中韩半导体,中证韩交所中韩半导体指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20221222,nan,L,0.8,0.15,116.76,Y,3,2024,2026,2026,92.4281,2026,92.4281,Y
511090.SH,鹏扬中债-30年期国债ETF,中债-30年期国债,中债-30年期国债指数收益率×100%,被动指数型,鹏扬基金管理有限公司,20230613,nan,L,0.15,0.05,331.25,Y,4,2023,2026,2025,83.9953,2026,42.6573,Y
551550.SH,华夏中证AAA科技创新公司债ETF,中证AAA科技创新公司债,中证AAA科技创新公司债指数收益率×100%,被动指数型,华夏基金管理有限公司,20250717,nan,L,0.15,0.05,181.52,Y,2,2025,2026,2026,81.3925,2026,81.3925,Y
551030.SH,鹏华上证AAA科技创新公司债ETF,上证AAA科技创新公司债,上证AAA科技创新公司债指数收益率×100%,被动指数型,鹏华基金管理有限公司,20250717,nan,L,0.15,0.05,186.9,Y,2,2025,2026,2026,71.5726,2026,71.5726,Y
511070.SH,南方上证基准做市公司债ETF,上证基准做市公司债,上证基准做市公司债指数收益率×100%,被动指数型,南方基金管理股份有限公司,20250122,nan,L,0.15,0.05,300.63,Y,2,2025,2026,2026,70.2475,2026,70.2475,Y
511520.SH,富国中债7-10年政策性金融债ETF,中债7-10年政策性金融债,中债7-10年政策性金融债指数×100%,被动指数型,富国基金管理有限公司,20221025,nan,L,0.15,0.05,453.65,Y,4,2023,2026,2024,67.5209,2026,19.6038,Y
563360.SH,华泰柏瑞中证A500ETF,中证A500,中证A500指数收益率×100%,被动指数型,华泰柏瑞基金管理有限公司,20241015,nan,L,0.15,0.05,409.36,Y,2,2025,2026,2026,63.4755,2026,63.4755,Y
588000.SH,华夏上证科创板50成份ETF,上证科创板50成份,上证科创板50成份指数收益率×100%,被动指数型,华夏基金管理有限公司,20201116,nan,L,0.15,0.05,898.11,Y,6,2021,2026,2026,61.7833,2026,61.7833,Y
510300.SH,华泰柏瑞沪深300ETF,沪深300,沪深300指数×100%,被动指数型,华泰柏瑞基金管理有限公司,20120528,nan,L,0.15,0.05,1101.16,Y,14,2013,2026,2026,59.3494,2026,59.3494,Y
159915.SZ,易方达创业板ETF,创业板指数P,创业板指数P×100%,被动指数型,易方达基金管理有限公司,20111209,nan,L,0.15,0.05,648.43,Y,14,2013,2026,2026,57.5289,2026,57.5289,Y
518880.SH,华安易富黄金ETF,Au99.99合约,国内黄金现货价格收益率(Au99.99合约)×100%,黄金现货合约,华安基金管理有限公司,20130729,nan,L,0.5,0.1,1065.41,Y,11,2016,2026,2026,56.9987,2026,56.9987,Y
513120.SH,广发中证香港创新药ETF(QDII),中证香港创新药,中证香港创新药指数收益率×100%,被动指数型,广发基金管理有限公司,20220712,nan,L,0.5,0.1,243.38,Y,5,2022,2026,2026,56.8179,2026,56.8179,Y
513130.SH,华泰柏瑞南方东英恒生科技指数ETF(QDII),恒生科技,恒生科技指数收益率(使用估值汇率折算)×100%,被动指数型,华泰柏瑞基金管理有限公司,20210601,nan,L,0.2,0.05,325.06,Y,6,2021,2026,2025,51.1334,2026,41.1639,Y
510500.SH,南方中证500ETF,中证小盘500,中证小盘500指数×100%,被动指数型,南方基金管理股份有限公司,20130315,nan,L,0.15,0.05,430.42,Y,12,2015,2026,2026,48.8835,2026,48.8835,Y
588200.SH,嘉实上证科创板芯片ETF,上证科创板芯片,上证科创板芯片指数收益率×100%,被动指数型,嘉实基金管理有限公司,20221026,nan,L,0.5,0.1,506.54,Y,4,2023,2026,2026,41.8941,2026,41.8941,Y
511260.SH,国泰上证10年期国债ETF,上证10年期国债,上证10年期国债指数×100%,被动指数型,国泰基金管理有限公司,20170824,nan,L,0.15,0.05,229.1,Y,7,2020,2026,2026,40.3975,2026,40.3975,Y
513330.SH,华夏恒生互联网科技业ETF(QDII),恒生互联网科技业,恒生互联网科技业指数收益率(使用估值汇率折算)×100%,被动指数型,华夏基金管理有限公司,20210208,nan,L,0.5,0.15,259.05,Y,6,2021,2026,2025,36.2709,2026,24.0494,Y
510050.SH,华夏上证50ETF,上海证券交易所50成份,上海证券交易所50成份指数×100%,被动指数型,华夏基金管理有限公司,20050223,nan,L,0.15,0.05,206.6,Y,14,2013,2026,2015,36.262,2026,29.2499,Y
512100.SH,南方中证1000ETF,中证1000,中证1000指数×100%,被动指数型,南方基金管理股份有限公司,20161104,nan,L,0.15,0.05,206.17,Y,6,2021,2026,2026,34.9907,2026,34.9907,Y
588170.SH,华夏上证科创板半导体材料设备主题ETF,上证科创板半导体材料设备主题,上证科创板半导体材料设备主题指数收益率×100%,被动指数型,华夏基金管理有限公司,20250408,nan,L,0.5,0.1,440.13,Y,2,2025,2026,2026,33.3656,2026,33.3656,Y
515880.SH,国泰中证全指通信设备ETF,中证全指通信设备,中证全指通信设备指数收益率×100%,被动指数型,国泰基金管理有限公司,20190906,nan,L,0.5,0.1,421.5,Y,7,2019,2026,2026,32.1968,2026,32.1968,Y
159516.SZ,国泰中证半导体材料设备主题ETF,中证半导体材料设备主题,中证半导体材料设备主题指数收益率×100%,被动指数型,国泰基金管理有限公司,20230727,nan,L,0.5,0.1,447.55,Y,4,2023,2026,2026,31.8839,2026,31.8839,Y
159816.SZ,鹏华中证0-4年期地方政府债ETF,中证0-4年期地方政府债,中证0-4年期地方政府债指数收益率×100%,被动指数型,鹏华基金管理有限公司,20200904,nan,L,0.15,0.05,110.75,Y,3,2024,2026,2026,31.1827,2026,31.1827,Y
511130.SH,博时上证30年期国债ETF,上证30年期国债,上证30年期国债指数收益率×100%,被动指数型,博时基金管理有限公司,20240328,nan,L,0.15,0.05,209.55,Y,3,2024,2026,2025,29.9843,2026,25.2042,Y
511030.SH,平安中债-中高等级公司债利差因子ETF,中债-中高等级公司债利差因子,中债-中高等级公司债利差因子指数收益率×100%,被动指数型,平安基金管理有限公司,20190322,nan,L,0.15,0.05,436.14,Y,5,2022,2026,2026,29.483,2026,29.483,Y
511580.SH,招商中证国债及政策性金融债0-3年ETF,中证国债及政策性金融债0-3年,中证国债及政策性金融债0-3年指数收益率×100%,被动指数型,招商基金管理有限公司,20221214,nan,L,0.15,0.05,76.87,Y,4,2023,2026,2026,28.5574,2026,28.5574,Y
513050.SH,易方达中证海外中国互联网50ETF(QDII),中证海外中国互联网50,中证海外中国互联网50指数(人民币)×100%,被动指数型,易方达基金管理有限公司,20170118,nan,L,0.6,0.2,370.24,Y,7,2020,2026,2025,27.182,2026,23.586,Y
159398.SZ,天弘深证基准做市信用债ETF,深证基准做市信用债,深证基准做市信用债指数收益率×100%,被动指数型,天弘基金管理有限公司,20250206,nan,L,0.15,0.05,90.35,Y,2,2025,2026,2025,26.1189,2026,25.6932,Y
159792.SZ,富国中证港股通互联网ETF,中证港股通互联网,中证港股通互联网指数收益率×100%,被动指数型,富国基金管理有限公司,20210928,nan,L,0.15,0.05,373.54,Y,5,2022,2026,2025,25.0561,2026,23.1887,Y
511180.SH,海富通上证投资级可转债及可交换债券ETF,上证投资级可转债及可交换债券,上证投资级可转债及可交换债券指数收益率×100%,被动指数型,海富通基金管理有限公司,20200826,nan,L,0.25,0.05,125.3,Y,5,2022,2026,2026,24.919,2026,24.919,Y
159570.SZ,汇添富国证港股通创新药ETF,国证港股通创新药,国证港股通创新药指数收益率(经估值汇率调整后)×100%,被动指数型,汇添富基金管理股份有限公司,20240122,nan,L,0.5,0.1,233.04,Y,2,2025,2026,2026,23.6641,2026,23.6641,Y
512880.SH,国泰中证全指证券公司ETF,中证全指证券公司,中证全指证券公司指数×100%,被动指数型,国泰基金管理有限公司,20160808,nan,L,0.5,0.1,626.69,Y,9,2018,2026,2025,22.3655,2026,22.1258,Y
159649.SZ,华安中债1-5年国开行债券ETF,中债-1-5年国开行债券,中债-1-5年国开行债券指数×100%,被动指数型,华安基金管理有限公司,20221024,nan,L,0.15,0.05,42.69,Y,4,2023,2026,2023,19.7559,2026,4.9261,Y
159949.SZ,华安创业板50ETF,创业板50,创业板50指数×100%,被动指数型,华安基金管理有限公司,20160722,nan,L,0.5,0.1,249.45,Y,9,2018,2026,2026,19.4048,2026,19.4048,Y
511660.SH,建信现金添益货币ETF-H,七天通知存款利率,七天通知存款利率×100%,货币型,建信基金管理有限责任公司,20160921,nan,L,0.25,0.08,,N,11,2016,2026,2021,17.6064,2026,8.3306,Y
511270.SH,海富通上证10年期地方政府债ETF,上证10年期地方政府债,上证10年期地方政府债指数收益率×100%,被动指数型,海富通基金管理有限公司,20181122,nan,L,0.15,0.05,108.7,Y,5,2022,2026,2026,17.189,2026,17.189,Y
