symbol,name,asset_type,list_date,delist_date,tf_rows,tf_first,tf_last,tf_n_factors,tf_error
600260.SS,*ST凯乐(退),stock,,20230215,5305,2000-07-06,2023-02-02,9,
600086.SS,退金钰(退),stock,,20210317,5341,1997-06-06,2021-03-10,8,
600122.SS,*ST宏图(退),stock,,20230626,5714,1998-04-20,2023-05-26,14,
600240.SS,退华业(退),stock,,20200205,4574,2000-06-28,2020-01-23,9,
000616.SZ,*ST海投(退),stock,,20230823,6108,1996-11-08,2023-06-13,22,
600291.SS,退西水(退),stock,,20220614,4998,2000-07-31,2022-06-07,11,
600565.SS,ST迪马(退),stock,,20240807,5044,2002-07-23,2024-06-21,20,
600387.SS,退海越(退),stock,,20250711,4979,2004-02-18,2025-07-04,15,
600723.SS,首商股份(退),stock,,20211022,5993,1996-07-16,2021-09-15,18,
600069.SS,退银鸽(退),stock,,20200827,5421,1997-04-30,2020-08-20,8,
002308.SZ,*ST威创(退),stock,,20240927,3426,2009-11-27,2024-08-22,8,
600636.SS,退市国化,stock,,20260629,7659,1993-03-16,2026-06-22,31,
000522.SZ,白云山A(退),stock,,20130426,4529,1993-11-08,2013-03-13,11,
000584.SZ,工智退(退),stock,,20250711,6706,1995-11-28,2025-07-10,10,
000861.SZ,海印股份(退),stock,,20240918,5983,1998-10-28,2024-08-05,20,
600112.SS,*ST天成(退),stock,,20240815,6159,1997-11-27,2024-07-19,12,
600290.SS,*ST华仪(退),stock,,20240116,5419,2000-11-06,2023-12-25,12,
000687.SZ,华讯退(退),stock,,20220617,5858,1997-02-21,2022-06-16,8,
000594.SZ,国恒退(退),stock,,20150713,4262,1996-03-20,2015-07-10,8,
600806.SS,退昆机(退),stock,,20180713,5419,1994-01-03,2018-07-11,10,
002505.SZ,鹏都农牧(退),stock,,20240830,3058,2010-11-18,2024-07-02,5,
600263.SS,路桥建设(退),stock,,20120301,2569,2000-07-25,2012-02-20,9,
000748.SZ,长城信息(退),stock,,20170118,4414,1997-07-04,2016-10-31,18,
600896.SS,退海医(退),stock,,20220725,6083,1996-05-03,2022-07-18,18,
000040.SZ,*ST旭蓝(退),stock,,20250430,7111,1994-08-08,2025-03-31,16,
000732.SZ,ST泰禾(退),stock,,20230804,5350,1997-07-04,2023-06-02,11,
600555.SS,退海创(退),stock,,20220713,4920,2001-03-28,2022-07-06,6,
002013.SZ,中航机电(退),stock,,20230317,4313,2004-07-05,2023-02-07,19,
600677.SS,*ST航通(退),stock,,20210318,6273,1993-09-28,2020-04-29,20,
000416.SZ,*ST民控(退),stock,,20240605,6516,1996-07-19,2024-04-24,17,
600991.SS,广汽长丰(退),stock,,20120320,1675,2004-06-14,2012-03-06,3,
000979.SZ,中弘退(退),stock,,20181228,3980,2000-06-16,2018-12-27,10,
002002.SZ,ST鸿达(退),stock,,20240318,4239,2004-06-25,2024-01-18,13,
002118.SZ,*ST紫鑫(退),stock,,20230804,3850,2007-03-02,2023-06-15,7,
002503.SZ,*ST搜特(退),stock,,20230811,2998,2010-11-17,2023-05-22,8,
002477.SZ,雏鹰退(退),stock,,20191016,2017,2010-09-15,2019-10-15,7,
000418.SZ,小天鹅A(退),stock,,20190621,5181,1997-03-28,2019-05-07,17,
000996.SZ,中期退(退),stock,,20240628,5243,2000-07-18,2024-06-27,6,
000005.SZ,ST星源(退),stock,,20240426,7364,1990-12-19,2024-03-05,9,
603056.SS,德邦股份,stock,,20260331,1931,2018-01-16,2026-01-20,6,
600139.SS,*ST西源(退),stock,,20230327,5626,1998-02-25,2023-02-27,8,
600836.SS,*ST易连(退),stock,,20240711,7304,1994-02-24,2024-06-17,12,
600553.SS,太行水泥(退),stock,,20110218,1945,2002-08-22,2011-02-01,8,
002018.SZ,华信退(退),stock,,20191101,3331,2004-07-13,2019-10-31,12,
000587.SZ,*ST金洲(退),stock,,20230403,5879,1996-04-25,2023-02-02,8,
600614.SS,退鹏起(退),stock,,20210721,6341,1992-08-28,2021-07-14,15,
600393.SS,ST粤泰(退),stock,,20230718,5092,2001-03-19,2023-06-08,12,
002665.SZ,ST航高(退),stock,,20240826,2696,2012-03-27,2024-06-27,6,
000851.SZ,*ST高鸿(退),stock,,20251111,6168,1998-06-09,2025-09-26,7,
600466.SS,*ST蓝光(退),stock,,20230606,5012,2001-02-12,2023-05-09,10,
002325.SZ,*ST洪涛(退),stock,,20240815,3398,2009-12-22,2024-06-28,11,
600311.SS,*ST荣华(退),stock,,20230327,5044,2001-06-26,2023-03-02,5,
300297.SZ,蓝盾退(退),stock,,20230731,2585,2012-03-15,2023-07-28,9,
000976.SZ,*ST华铁(退),stock,,20240827,5396,2000-06-01,2024-07-25,7,
300202.SZ,聚龙退(退),stock,,20220704,2688,2011-04-15,2022-07-01,8,
600175.SS,退美都(退),stock,,20200814,4894,1999-04-08,2020-08-07,15,
002699.SZ,*ST美盛(退),stock,,20240605,2562,2012-09-11,2024-04-25,4,
000602.SZ,金马集团(退),stock,,20130814,3825,1996-08-19,2013-07-18,6,
600607.SS,上实医药(退),stock,,20100212,4177,1992-04-10,2010-02-03,20,
000662.SZ,天夏退(退),stock,,20210412,5431,1996-12-16,2021-04-09,7,
300273.SZ,和佳退(退),stock,,20230706,2668,2011-10-26,2023-07-05,8,
300630.SZ,普利退(退),stock,,20250522,1909,2017-03-28,2025-05-21,6,
600687.SS,退刚泰(退),stock,,20210303,5916,1993-11-08,2021-02-24,13,
300156.SZ,神雾退(退),stock,,20200825,2054,2011-01-07,2020-08-24,5,
002509.SZ,天茂退(退),stock,,20200720,1909,2010-11-23,2020-07-17,7,
002147.SZ,新光退(退),stock,,20220623,3238,2007-08-08,2022-06-22,7,
600253.SS,天方药业(退),stock,,20130715,2808,2000-12-27,2013-06-06,9,
600840.SS,新湖创业(退),stock,,20090827,3536,1994-03-11,2009-07-31,9,
002280.SZ,ST联络(退),stock,,20240816,3334,2009-08-21,2024-06-26,8,
603555.SS,ST贵人(退),stock,,20240329,2350,2014-01-24,2024-03-07,6,
002359.SZ,北讯退(退),stock,,20210723,2280,2010-02-10,2021-07-22,3,
002336.SZ,人乐退(退),stock,,20250704,3654,2010-01-13,2025-07-03,4,
002447.SZ,晨鑫退(退),stock,,20220627,2568,2010-07-13,2022-06-24,8,
600321.SS,正源股份(退),stock,,20240627,5415,2001-05-24,2024-05-30,14,
600401.SS,退海润(退),stock,,20190712,2578,2003-09-24,2019-07-08,8,
000918.SZ,*ST嘉凯(退),stock,,20230728,5114,1999-07-20,2023-05-31,8,
000982.SZ,中银绒业(退),stock,,20240812,4971,2000-07-06,2024-06-21,12,
000033.SZ,新都退(退),stock,,20170707,4920,1994-01-03,2017-07-06,5,
000515.SZ,攀渝钛业(退),stock,,20090506,0,,,0,
000585.SZ,东电退(退),stock,,20220524,5976,1995-12-13,2022-05-23,3,
000693.SZ,华泽退(退),stock,,20190709,2931,1997-02-26,2019-07-08,6,
600247.SS,*ST成城(退),stock,,20210322,4630,2000-11-23,2021-02-24,8,
600696.SS,退市岩石,stock,,20260629,7610,1993-12-06,2026-06-22,7,
300116.SZ,*ST保力(退),stock,,20240725,3030,2010-09-02,2024-05-16,5,
600275.SS,退昌鱼(退),stock,,20220622,4852,2000-08-10,2022-06-15,4,
600680.SS,*ST上普(退),stock,,20190523,5868,1993-10-18,2018-04-27,10,
002143.SZ,印纪退(退),stock,,20191129,2578,2007-07-20,2019-11-28,5,
600870.SS,退厦华(退),stock,,20220630,5742,1995-02-28,2022-06-23,8,
600306.SS,退商城(退),stock,,20240626,5330,2000-12-26,2024-06-19,6,
002610.SZ,ST爱康(退),stock,,20240812,2857,2011-08-15,2024-06-18,4,
300367.SZ,网力退(退),stock,,20220630,1834,2014-01-29,2022-06-29,6,
300379.SZ,东通退,stock,,20260122,2773,2014-01-28,2026-01-21,8,
002089.SZ,新海退(退),stock,,20240418,3899,2006-11-30,2024-04-17,12,
300090.SZ,盛运退(退),stock,,20200825,2204,2010-06-25,2020-08-24,6,
300038.SZ,数知退(退),stock,,20220630,2603,2010-01-08,2022-06-29,10,
300208.SZ,中程退(退),stock,,20250721,3225,2011-04-26,2025-07-18,4,
600634.SS,退富控(退),stock,,20210721,5723,1993-03-04,2021-07-14,13,
000836.SZ,ST富通(退),stock,,20240812,6102,1997-09-29,2024-06-17,9,
002341.SZ,ST新纶(退),stock,,20240823,3310,2010-01-22,2024-07-02,9,
300216.SZ,千山退(退),stock,,20200916,1783,2011-05-11,2020-09-15,6,
600856.SS,退中天(退),stock,,20220622,6381,1994-04-25,2022-06-15,10,
002618.SZ,丹邦退(退),stock,,20220622,2582,2011-09-20,2022-06-21,9,
000150.SZ,*ST宜康(退),stock,,20230609,5063,2000-08-07,2023-04-27,5,
002070.SZ,众和退(退),stock,,20190709,2312,2006-10-12,2019-07-08,6,
300178.SZ,腾邦退(退),stock,,20220622,2630,2011-02-15,2022-06-21,8,
002288.SZ,*ST超华(退),stock,,20240819,3415,2009-09-03,2024-06-26,7,
600093.SS,退易见(退),stock,,20220623,5863,1997-06-26,2022-06-16,8,
300028.SZ,金亚退(退),stock,,20200803,1782,2009-10-30,2020-07-31,4,
300309.SZ,吉艾退(退),stock,,20230530,2502,2012-04-10,2023-05-29,6,
300431.SZ,暴风退(退),stock,,20201110,1080,2015-03-24,2020-11-09,3,
600701.SS,退工新(退),stock,,20210430,5451,1996-05-28,2021-04-26,10,
002260.SZ,德奥退(退),stock,,20220617,2235,2008-07-16,2022-06-16,6,
300336.SZ,新文退(退),stock,,20230705,2513,2012-07-10,2023-07-04,7,
002464.SZ,众应退(退),stock,,20220628,2265,2010-08-31,2022-06-27,7,
000673.SZ,当代退(退),stock,,20220704,5648,1997-01-24,2022-07-01,5,
601028.SS,玉龙股份(退),stock,,20250527,3171,2011-11-07,2025-03-26,8,
002433.SZ,太安退(退),stock,,20240705,3310,2010-06-18,2024-07-04,8,
002680.SZ,长生退(退),stock,,20191127,1509,2012-06-05,2019-11-26,6,
600225.SS,退卓朗(退),stock,,20250306,5242,2000-01-27,2025-02-27,4,
000760.SZ,斯太退(退),stock,,20210723,5148,1997-06-27,2021-07-22,8,
300186.SZ,大华农(退),stock,,20151102,1030,2011-03-08,2015-10-16,5,
300526.SZ,中潜退(退),stock,,20230712,1505,2016-08-02,2023-07-11,4,
600146.SS,退环球(退),stock,,20220630,4630,1999-07-07,2022-06-23,1,
000018.SZ,神城A退(退),stock,,20200107,6477,1992-06-16,2020-01-06,8,
002502.SZ,ST鼎龙(退),stock,,20240905,2956,2010-11-17,2024-07-16,8,
002604.SZ,龙力退(退),stock,,20200715,1716,2011-07-28,2020-07-14,4,
300392.SZ,腾信退(退),stock,,20230710,1858,2014-09-10,2023-07-07,3,
300495.SZ,*ST美尚(退),stock,,20240920,1964,2015-12-22,2024-05-08,5,
300799.SZ,左江退(退),stock,,20240729,1101,2019-10-29,2024-07-26,3,
600193.SS,退市创兴,stock,,20260706,6273,1999-05-27,2026-06-29,5,
600767.SS,退运盛(退),stock,,20230629,6065,1996-11-15,2023-06-20,5,
600837.SS,海通证券(退),stock,,20250304,6816,1994-02-24,2025-02-05,26,
601989.SS,中国重工(退),stock,,20250905,3502,2009-12-16,2025-08-12,12,
000627.SZ,*ST天茂(退),stock,,20250930,6721,1996-11-12,2025-08-13,21,
600811.SS,*ST东方(退),stock,,20250430,7385,1994-01-06,2025-04-14,18,
600068.SS,葛洲坝(退),stock,,20210913,5764,1997-05-26,2021-09-01,25,
600277.SS,ST亿利(退),stock,,20240718,5428,2000-07-25,2024-06-21,16,
000961.SZ,ST中南(退),stock,,20240711,5574,2000-03-01,2024-05-08,18,
000939.SZ,凯迪退(退),stock,,20201217,4380,1999-09-23,2020-12-16,16,
000540.SZ,*ST中天(退),stock,,20230630,6555,1994-02-02,2023-05-18,17,
600270.SS,外运发展(退),stock,,20181228,4243,2000-12-28,2018-12-12,19,
600978.SS,*ST宜生(退),stock,,20210322,3708,2004-08-24,2021-02-22,18,
000511.SZ,烯碳退(退),stock,,20180718,5551,1993-05-18,2018-07-17,10,
000667.SZ,ST美置(退),stock,,20230714,6327,1996-12-05,2023-05-25,15,
600804.SS,退鹏博(退),stock,,20250703,7475,1994-01-03,2025-06-30,15,
600705.SS,中航产融(退),stock,,20250527,5564,1996-05-16,2025-04-02,26,
600317.SS,营口港(退),stock,,20210129,4463,2002-01-31,2021-01-14,16,
600823.SS,*ST世茂(退),stock,,20240614,7244,1994-02-04,2024-05-15,26,
600220.SS,ST阳光(退),stock,,20240710,5914,1999-09-27,2024-06-13,12,
600747.SS,退大控(退),stock,,20191212,5289,1996-09-16,2019-12-06,11,
000671.SZ,ST阳光城(退),stock,,20230816,6121,1996-12-18,2023-06-09,22,
600074.SS,退保千(退),stock,,20200602,4719,1997-06-23,2020-05-26,11,
600652.SS,退游久(退),stock,,20220621,7326,1990-12-20,2022-06-15,17,
000024.SZ,招商地产(退),stock,,20151230,5213,1993-06-07,2015-12-07,24,
600005.SS,武钢股份(退),stock,,20170214,4063,1999-08-03,2017-01-23,19,
600832.SS,东方明珠(退),stock,,20150520,4964,1994-02-24,2015-04-29,23,
000046.SZ,*ST泛海(退),stock,,20240207,6937,1994-09-12,2023-12-27,26,
600190.SS,退锦港(退),stock,,20250725,6175,1999-06-09,2025-07-18,16,
