ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,list_status
158039.SZ,广发标普港股通低波红利ETF,广发基金管理有限公司,中国工商银行股份有限公司,股票型,20260918,,nan,nan,nan,nan,0.5,0.1,,nan,nan,,标普港股通低波红利指数(S&PAccessHongKongLowVolatilityHighDividendIndex)(港元)同期收益率×100%,L,nan,nan,,nan,nan,E,L
589490.SH,华夏上证科创板成长ETF,华夏基金管理有限公司,中国农业银行股份有限公司,股票型,20260918,,nan,nan,nan,nan,0.15,0.05,,nan,nan,,上证科创板成长指数收益率×100%,L,nan,nan,,nan,nan,E,L
158056.SZ,嘉实创业板算力基础设施ETF,嘉实基金管理有限公司,中国农业银行股份有限公司,股票型,20260916,,20260924,nan,nan,nan,0.5,0.1,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
158042.SZ,富国恒生科技ETF(QDII),富国基金管理有限公司,兴业银行股份有限公司,股票型,20260916,,20260924,nan,nan,nan,0.5,0.1,,nan,nan,,恒生科技指数收益率×100%,L,nan,nan,,nan,nan,E,L
508047.SH,山证晋中公投瑞阳供热REIT,山证(上海)资产管理有限公司,招商银行股份有限公司,REITs,20260916,,nan,nan,nan,nan,nan,0.01,,nan,nan,,本基金暂不设立业绩比较基准,L,nan,nan,,nan,nan,E,L
158057.SZ,鹏华创业板算力基础设施ETF,鹏华基金管理有限公司,华泰证券股份有限公司,股票型,20260916,,20260923,nan,nan,nan,0.5,0.1,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
158025.SZ,鹏华创业板成长ETF,鹏华基金管理有限公司,青岛银行股份有限公司,股票型,20260916,,nan,nan,nan,nan,0.5,0.1,,nan,nan,,创业板成长指数收益率×100%,L,nan,nan,,nan,nan,E,L
158053.SZ,大成创业板算力基础设施ETF,大成基金管理有限公司,长城证券股份有限公司,股票型,20260916,,20260923,nan,nan,nan,0.5,0.1,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
158063.SZ,南方创业板算力基础设施ETF,南方基金管理股份有限公司,中信建投证券股份有限公司,股票型,20260916,,20260924,nan,nan,nan,0.15,0.05,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
515470.SH,南方中证人工智能主题ETF,南方基金管理股份有限公司,中国农业银行股份有限公司,股票型,20260916,,20260924,nan,nan,nan,0.15,0.05,,nan,nan,,中证人工智能主题指数×100%,L,nan,nan,,nan,nan,E,L
562450.SH,博时中证有色金属矿业主题ETF,博时基金管理有限公司,交通银行股份有限公司,股票型,20260916,,nan,nan,nan,nan,0.5,0.1,,nan,nan,,中证有色金属矿业主题指数收益率×100%,L,nan,nan,,nan,nan,E,L
158049.SZ,广发创业板算力基础设施ETF,广发基金管理有限公司,国投证券股份有限公司,股票型,20260915,,20260922,nan,nan,nan,0.5,0.1,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
589480.SH,嘉实上证科创板芯片设计主题ETF,嘉实基金管理有限公司,国信证券股份有限公司,股票型,20260914,,20260924,20260824,nan,nan,0.5,0.1,,1.0,0.1,,上证科创板芯片设计主题指数收益率×100%,L,nan,股票型,,nan,nan,E,L
158031.SZ,易方达创业板人工智能ETF,易方达基金管理有限公司,中国银行股份有限公司,股票型,20260914,,20260922,nan,nan,nan,0.15,0.05,,nan,nan,,创业板人工智能指数收益率×100%,L,nan,nan,,nan,nan,E,L
158050.SZ,易方达创业板算力基础设施ETF,易方达基金管理有限公司,招商银行股份有限公司,股票型,20260911,,20260918,nan,nan,nan,0.5,0.1,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
158026.SZ,华夏国证大盘成长ETF,华夏基金管理有限公司,招商银行股份有限公司,股票型,20260911,,20260923,nan,nan,nan,0.15,0.05,,nan,nan,,国证大盘成长指数收益率×100%,L,nan,nan,,nan,nan,E,L
158041.SZ,华夏创业板算力基础设施ETF,华夏基金管理有限公司,中国建设银行股份有限公司,股票型,20260910,,20260917,nan,nan,nan,0.5,0.1,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
512470.SH,广发中证工业有色金属主题ETF,广发基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20260910,,20260924,nan,nan,nan,0.5,0.1,,nan,nan,,中证工业有色金属主题指数收益率×100%,L,nan,nan,,nan,nan,E,L
158022.SZ,国联创业板综合增强策略ETF,国联基金管理有限公司,中国农业银行股份有限公司,股票型,20260909,,20260918,20260820,nan,nan,0.8,0.1,,1.0,0.1,,创业板综合指数收益率×100%,L,nan,股票型,,nan,nan,E,L
589510.SH,易方达上证科创板新材料ETF,易方达基金管理有限公司,兴业证券股份有限公司,股票型,20260909,,20260917,20260824,nan,nan,0.5,0.1,,1.0,0.1,,上证科创板新材料指数收益率×100%,L,nan,股票型,,nan,nan,E,L
515940.SH,南方恒生A股电网设备ETF,南方基金管理股份有限公司,中国银行股份有限公司,股票型,20260909,,20260917,20260824,nan,nan,0.15,0.05,,1.0,0.1,,恒生A股电网设备指数收益率×100%,L,nan,股票型,,nan,nan,E,L
158061.SZ,天弘创业板算力基础设施ETF,天弘基金管理有限公司,广发证券股份有限公司,股票型,20260909,,20260916,nan,nan,nan,0.5,0.1,,nan,nan,,创业板算力基础设施指数收益率×100%,L,nan,nan,,nan,nan,E,L
158038.SZ,富国国证粮食产业ETF,富国基金管理有限公司,平安银行股份有限公司,股票型,20260907,,20260916,nan,nan,nan,0.5,0.1,,nan,nan,,国证粮食产业指数收益率×100%,L,nan,nan,,nan,nan,E,L
516040.SH,华夏沪深300自由现金流ETF,华夏基金管理有限公司,中国银行股份有限公司,股票型,20260907,,20260918,20260824,nan,nan,0.15,0.05,,1.0,0.1,,沪深300自由现金流指数收益率×100%,L,nan,股票型,,nan,nan,E,L
562170.SH,易方达沪深300自由现金流ETF,易方达基金管理有限公司,中国工商银行股份有限公司,股票型,20260904,,20260914,20260731,nan,nan,nan,nan,,1.0,0.1,,沪深300自由现金流指数收益率×100%,L,nan,股票型,,nan,nan,E,L
512740.SH,广发中证汽车零部件主题ETF,广发基金管理有限公司,中信建投证券股份有限公司,股票型,20260903,,20260914,20260819,nan,nan,0.5,0.1,,1.0,0.1,,中证汽车零部件主题指数收益率×100%,L,nan,股票型,,nan,nan,E,L
158032.SZ,景顺长城中证细分化工产业主题ETF,景顺长城基金管理有限公司,中信建投证券股份有限公司,股票型,20260902,,20260914,20260817,nan,nan,0.5,0.1,,1.0,0.1,,中证细分化工产业主题指数收益率×100%,L,nan,股票型,,nan,nan,E,L
158028.SZ,招商中证稀有金属主题ETF,招商基金管理有限公司,中国农业银行股份有限公司,股票型,20260902,,20260911,20260810,nan,nan,0.5,0.1,,1.0,0.1,,中证稀有金属主题指数收益率×100%,L,nan,股票型,,nan,nan,E,L
562110.SH,东方红中证云计算50ETF,上海东方证券资产管理有限公司,中国建设银行股份有限公司,股票型,20260902,,20260916,20260820,nan,nan,0.5,0.1,,1.0,0.1,,中证云计算50指数收益率×100%,L,nan,股票型,,nan,nan,E,L
159025.SZ,华安中证家电龙头ETF,华安基金管理有限公司,兴业银行股份有限公司,股票型,20260902,,20260914,20260817,nan,nan,0.5,0.1,,1.0,0.1,,中证家电龙头指数收益率×100%,L,nan,股票型,,nan,nan,E,L
515440.SH,南方中证A股ETF,南方基金管理股份有限公司,中国建设银行股份有限公司,股票型,20260902,,20260910,20260811,nan,nan,0.15,0.05,,1.0,0.1,,中证A股指数收益率×100%,L,nan,股票型,,nan,nan,E,L
561610.SH,鑫元中证绿色电力ETF,鑫元基金管理有限公司,上海浦东发展银行股份有限公司,股票型,20260902,,20260916,20260810,nan,nan,0.5,0.1,,1.0,0.1,,中证绿色电力指数收益率×100%,L,nan,股票型,,nan,nan,E,L
562150.SH,鹏华中证全指红利质量ETF,鹏华基金管理有限公司,中泰证券股份有限公司,股票型,20260831,,20260914,20260817,nan,nan,0.15,0.05,,1.0,0.1,,中证全指红利质量指数收益率×100%,L,nan,股票型,,nan,nan,E,L
589430.SH,华宝上证科创板芯片设计主题ETF,华宝基金管理有限公司,国信证券股份有限公司,股票型,20260827,,20260904,20260810,nan,nan,0.5,0.1,,1.0,0.1,,上证科创板芯片设计主题指数收益率×100%,L,nan,股票型,,nan,nan,E,L
158011.SZ,国泰创业板软件ETF,国泰基金管理有限公司,中国建设银行股份有限公司,股票型,20260826,,20260904,20260817,nan,nan,0.5,0.1,,1.0,0.1,,创业板软件指数收益率×100%,L,nan,股票型,,nan,nan,E,L
158013.SZ,易方达国证航天航空行业ETF,易方达基金管理有限公司,国泰海通证券股份有限公司,股票型,20260826,,20260907,20260727,nan,nan,0.15,0.05,,1.0,0.1,,国证航天航空行业指数收益率×100%,L,nan,股票型,,nan,nan,E,L
