symbol,year,bars,avg_daily_amount_yi,total_amount_yi
158057.SZ,2026,1,1.5946,1.59
158053.SZ,2026,1,1.9017,1.9
158049.SZ,2026,2,5.5631,11.13
158031.SZ,2026,2,0.7462,1.49
158050.SZ,2026,4,4.5035,18.01
158026.SZ,2026,1,1.1273,1.13
158041.SZ,2026,5,2.7885,13.94
158022.SZ,2026,4,0.392,1.57
589510.SH,2026,5,0.495,2.48
515940.SH,2026,5,0.3905,1.95
158061.SZ,2026,6,2.0558,12.34
158038.SZ,2026,6,0.2601,1.56
516040.SH,2026,4,0.2277,0.91
562170.SH,2026,8,0.1248,1.0
512740.SH,2026,8,0.2722,2.18
158032.SZ,2026,8,0.096,0.77
158028.SZ,2026,9,0.0702,0.63
562110.SH,2026,6,0.3772,2.26
159025.SZ,2026,8,0.1945,1.56
515440.SH,2026,10,0.2427,2.43
561610.SH,2026,6,0.1817,1.09
562150.SH,2026,8,0.088,0.7
589430.SH,2026,14,0.3198,4.48
158011.SZ,2026,14,0.1453,2.03
158013.SZ,2026,13,0.1595,2.07
561530.SH,2026,15,0.1851,2.78
526060.SH,2026,14,0.3203,4.48
158027.SZ,2026,16,0.0912,1.46
561690.SH,2026,13,0.1487,1.93
158023.SZ,2026,13,0.2133,2.77
562180.SH,2026,17,0.1325,2.25
561730.SH,2026,19,0.228,4.33
158001.SZ,2026,20,0.1032,2.06
158017.SZ,2026,20,0.2139,4.28
158010.SZ,2026,20,0.1423,2.85
158019.SZ,2026,20,0.0939,1.88
561830.SH,2026,16,0.0781,1.25
159096.SZ,2026,19,0.1383,2.63
158008.SZ,2026,19,0.0872,1.66
158005.SZ,2026,23,0.0836,1.92
158000.SZ,2026,21,0.1729,3.63
589460.SH,2026,24,0.1846,4.43
517230.SH,2026,25,0.07,1.75
159043.SZ,2026,23,0.0827,1.9
159082.SZ,2026,24,0.0886,2.13
159073.SZ,2026,25,0.2877,7.19
158012.SZ,2026,25,0.0895,2.24
561410.SH,2026,23,0.0714,1.64
158003.SZ,2026,26,0.25,6.5
159095.SZ,2026,27,0.1016,2.74
159083.SZ,2026,30,0.1074,3.22
159058.SZ,2026,30,0.1132,3.4
159098.SZ,2026,29,0.1013,2.94
520740.SH,2026,33,0.0631,2.08
561890.SH,2026,34,0.113,3.84
561810.SH,2026,34,0.093,3.16
561390.SH,2026,28,0.1082,3.03
158006.SZ,2026,34,0.067,2.28
158009.SZ,2026,35,0.1266,4.43
159077.SZ,2026,31,0.078,2.42
512420.SH,2026,34,0.0824,2.8
561620.SH,2026,36,0.1324,4.77
561020.SH,2026,37,0.0786,2.91
561450.SH,2026,38,0.0774,2.94
159099.SZ,2026,40,0.161,6.44
159093.SZ,2026,40,0.1155,4.62
561400.SH,2026,38,0.0828,3.15
159086.SZ,2026,40,0.1111,4.45
159087.SZ,2026,38,0.0792,3.01
159079.SZ,2026,38,0.0928,3.53
561490.SH,2026,39,0.1656,6.46
515840.SH,2026,45,0.0994,4.47
588530.SH,2026,41,0.0887,3.64
561630.SH,2026,46,0.0957,4.4
159085.SZ,2026,48,0.0766,3.68
159059.SZ,2026,48,0.1211,5.81
159069.SZ,2026,47,0.1516,7.13
589410.SH,2026,50,0.1059,5.29
159091.SZ,2026,50,0.1103,5.51
515040.SH,2026,49,0.0898,4.4
561250.SH,2026,46,0.0856,3.94
159072.SZ,2026,49,0.1685,8.26
159075.SZ,2026,49,0.0482,2.36
516440.SH,2026,55,0.0805,4.43
520750.SH,2026,54,0.3063,16.54
561420.SH,2026,56,0.1035,5.8
512410.SH,2026,56,0.2079,11.64
589390.SH,2026,54,0.3604,19.46
159078.SZ,2026,56,0.0976,5.47
589420.SH,2026,55,0.1673,9.2
159067.SZ,2026,53,0.0643,3.41
159076.SZ,2026,56,0.1557,8.72
560730.SH,2026,50,0.1453,7.27
589400.SH,2026,55,0.1606,8.83
159161.SZ,2026,57,0.0387,2.21
159068.SZ,2026,56,0.1002,5.61
561470.SH,2026,55,0.0741,4.08
515480.SH,2026,58,0.0852,4.94
159066.SZ,2026,58,0.0872,5.06
510140.SH,2026,59,0.1031,6.08
560920.SH,2026,59,0.0688,4.06
561460.SH,2026,59,0.2674,15.78
159049.SZ,2026,56,0.1176,6.58
589350.SH,2026,62,0.21,13.02
159040.SZ,2026,64,0.1652,10.57
526030.SH,2026,64,0.4453,28.5
561430.SH,2026,62,0.055,3.41
589290.SH,2026,64,0.1414,9.05
589310.SH,2026,59,0.087,5.13
589360.SH,2026,64,0.6737,43.12
159070.SZ,2026,64,0.068,4.35
159045.SZ,2026,66,0.091,6.01
159061.SZ,2026,66,0.074,4.88
159065.SZ,2026,64,0.0434,2.77
159071.SZ,2026,69,0.1284,8.86
159062.SZ,2026,69,0.1637,11.3
159063.SZ,2026,72,0.1487,10.71
159011.SZ,2026,71,0.0961,6.83
159036.SZ,2026,74,0.1917,14.19
159039.SZ,2026,69,0.5568,38.42
159023.SZ,2026,72,0.1007,7.25
159046.SZ,2026,74,0.1578,11.68
159052.SZ,2026,74,0.0993,7.34
159048.SZ,2026,75,0.2162,16.21
159051.SZ,2026,76,0.0505,3.84
159056.SZ,2026,76,0.0976,7.42
159057.SZ,2026,72,0.0391,2.81
159053.SZ,2026,76,0.2304,17.51
159050.SZ,2026,76,0.4504,34.23
159055.SZ,2026,76,0.1622,12.33
159037.SZ,2026,74,0.0493,3.65
159042.SZ,2026,76,0.0503,3.82
159060.SZ,2026,75,0.0612,4.59
159041.SZ,2026,75,0.0596,4.47
159033.SZ,2026,78,0.2959,23.08
560970.SH,2026,77,0.0643,4.95
560670.SH,2026,77,0.1646,12.68
517130.SH,2026,82,0.1265,10.37
510910.SH,2026,80,0.3372,26.97
520710.SH,2026,82,0.5621,46.09
589330.SH,2026,83,0.0853,7.08
560720.SH,2026,78,0.0757,5.9
561030.SH,2026,83,0.0734,6.09
159031.SZ,2026,82,0.0811,6.65
589320.SH,2026,84,0.1071,8.99
526070.SH,2026,83,0.0872,7.24
560490.SH,2026,86,0.1555,13.37
588470.SH,2026,84,0.3202,26.9
588510.SH,2026,83,0.224,18.6
560830.SH,2026,86,0.3811,32.77
560790.SH,2026,87,0.0606,5.27
560480.SH,2026,86,0.1252,10.77
560250.SH,2026,88,0.0623,5.48
561050.SH,2026,88,0.187,16.46
560910.SH,2026,89,0.1375,12.24
560870.SH,2026,87,0.1107,9.63
159038.SZ,2026,89,0.1735,15.44
159029.SZ,2026,89,0.2099,18.68
