symbol,trade_date,fd_share,close
159786.SZ,20260831,8570.1174,1.173
159692.SZ,20260831,150145.5969,1.229
159686.SZ,20260831,7781.5386,1.285
159507.SZ,20260831,84583.0902,0.88
159840.SZ,20260831,196757.4851,0.757
180302.SZ,20260831,60000.0,2.72
159811.SZ,20260831,7554.3393,3.017
159351.SZ,20260831,722312.3357,1.222
159328.SZ,20260831,9155.67,1.058
180601.SZ,20260831,100000.0,9.305
180105.SZ,20260831,80000.0,1.315
159993.SZ,20260831,324569.7982,1.192
159372.SZ,20260831,6245.1588,1.81
159307.SZ,20260831,709090.3552,1.029
180605.SZ,20260831,50000.0,4.251
159679.SZ,20260831,5528.9156,1.316
159230.SZ,20260831,31230.4228,0.971
159225.SZ,20260831,26474.4804,1.256
159208.SZ,20260831,33146.2783,1.062
159202.SZ,20260831,121940.19,0.8
180701.SZ,20260831,60000.0,3.838
159577.SZ,20260831,81166.5791,1.646
159812.SZ,20260831,16351.3149,9.086
159781.SZ,20260831,1583586.0533,1.085
159909.SZ,20260831,53156.1992,1.334
159808.SZ,20260831,4948.479,1.333
159747.SZ,20260831,31271.2278,1.17
180201.SZ,20260831,70000.0,7.358
159876.SZ,20260831,171537.7018,1.012
159881.SZ,20260831,19249.9166,0.948
159813.SZ,20260831,897372.482,0.748
159637.SZ,20260831,61576.8094,0.811
180503.SZ,20260831,40000.0,2.904
159936.SZ,20260831,10815.6094,1.93
159793.SZ,20260831,4375.8908,0.781
159385.SZ,20260831,4900.2525,1.856
159382.SZ,20260831,80005.5714,2.642
159643.SZ,20260831,30739.0617,0.552
159303.SZ,20260831,7399.1693,1.59
159315.SZ,20260831,18458.9621,1.819
159767.SZ,20260831,24187.3672,0.762
159622.SZ,20260831,112660.3238,1.177
159246.SZ,20260831,339565.5606,1.172
180606.SZ,20260831,50000.0,3.7
180901.SZ,20260831,100000.0,5.472
159650.SZ,20260831,4901.8196,107.99
159875.SZ,20260831,247966.2899,0.581
159790.SZ,20260831,154152.8485,0.69
159673.SZ,20260831,177752.8385,1.291
159270.SZ,20260831,9076.3649,1.143
159877.SZ,20260831,24779.2292,0.513
159306.SZ,20260831,2224.4616,1.163
159578.SZ,20260831,1999.8831,1.199
159591.SZ,20260831,33090.5682,1.379
159669.SZ,20260831,20225.4781,1.103
