symbol,name,best_band,top1000_years,n_snap_top1000,band_1001_1800_years,n_snap_1001_1800,delisted,in_project
000058.SZ,深赛格,1001_1800,,0,2014-2026,140,,N
002516.SZ,旷达科技,1001_1800,,0,2014-2026,140,,N
601069.SH,西部黄金,1001_1800,,0,2015-2026,135,,N
002726.SZ,ST龙大,1001_1800,,0,2014-2025,129,,N
603609.SH,禾丰股份,1001_1800,,0,2015-2025,126,,N
603636.SH,南威软件,1001_1800,,0,2015-2025,126,,N
603299.SH,苏盐井神,1001_1800,,0,2016-2026,123,,N
000885.SZ,城发环境,1001_1800,,0,2014-2026,119,,N
300263.SZ,隆华科技,1001_1800,,0,2014-2024,119,,N
601015.SH,陕西黑猫,1001_1800,,0,2015-2025,114,,N
603989.SH,艾华集团,1001_1800,,0,2015-2025,114,,N
002677.SZ,浙江美大,1001_1800,,0,2014-2024,113,,N
300366.SZ,ST创意,1001_1800,,0,2014-2025,113,,N
603919.SH,金徽酒,1001_1800,,0,2017-2026,111,,N
002060.SZ,广东建工,1001_1800,,0,2014-2026,110,,N
300109.SZ,新开源,1001_1800,,0,2016-2025,108,,N
000011.SZ,深物业A,1001_1800,,0,2014-2023,107,,N
300191.SZ,潜能恒信,1001_1800,,0,2014-2023,107,,N
601700.SH,风范股份,1001_1800,,0,2014-2023,107,,N
300276.SZ,三丰智能,1001_1800,,0,2015-2026,105,,N
002158.SZ,汉钟精机,1001_1800,,0,2014-2026,104,,N
300378.SZ,鼎捷数智,1001_1800,,0,2014-2026,104,,N
600217.SH,中再资环,1001_1800,,0,2014-2026,104,,N
300177.SZ,中海达,1001_1800,,0,2014-2023,101,,N
300219.SZ,鸿利智汇,1001_1800,,0,2014-2023,101,,N
300328.SZ,宜安科技,1001_1800,,0,2014-2023,101,,N
000791.SZ,甘肃能源,1001_1800,,0,2018-2026,99,,N
002911.SZ,佛燃能源,1001_1800,,0,2018-2026,99,,N
601949.SH,中国出版,1001_1800,,0,2018-2026,99,,N
603103.SH,横店影视,1001_1800,,0,2018-2026,99,,N
603533.SH,掌阅科技,1001_1800,,0,2018-2026,99,,N
603730.SH,岱美股份,1001_1800,,0,2017-2026,99,,N
300527.SZ,ST应急,1001_1800,,0,2017-2025,98,,N
002782.SZ,可立克,1001_1800,,0,2016-2024,96,,N
600876.SH,凯盛新能,1001_1800,,0,2016-2024,96,,N
300307.SZ,慈星股份,1001_1800,,0,2014-2022,95,,N
300311.SZ,任子行,1001_1800,,0,2014-2022,95,,N
600800.SH,渤海化学,1001_1800,,0,2014-2022,95,,N
002929.SZ,润建股份,1001_1800,,0,2018-2026,93,,N
300386.SZ,飞天诚信,1001_1800,,0,2014-2022,93,,N
300634.SZ,彩讯股份,1001_1800,,0,2018-2026,93,,N
600929.SH,雪天盐业,1001_1800,,0,2018-2026,93,,N
601619.SH,嘉泽新能,1001_1800,,0,2018-2026,93,,N
603013.SH,亚普股份,1001_1800,,0,2018-2026,93,,N
603508.SH,思维列控,1001_1800,,0,2016-2026,93,,N
603693.SH,江苏新能,1001_1800,,0,2018-2026,93,,N
603733.SH,仙鹤股份,1001_1800,,0,2018-2026,93,,N
300080.SZ,易成新能,1001_1800,,0,2014-2026,92,,N
002746.SZ,仙坛股份,1001_1800,,0,2017-2024,90,,N
300439.SZ,美康生物,1001_1800,,0,2015-2023,90,,N
300349.SZ,金卡智能,1001_1800,,0,2014-2022,89,,N
000567.SZ,海德股份,1001_1800,,0,2019-2026,87,,N
002913.SZ,奥士康,1001_1800,,0,2019-2026,87,,N
603337.SH,杰克科技,1001_1800,,0,2017-2026,87,,N
000019.SZ,深粮控股,1001_1800,,0,2019-2026,84,,N
000557.SZ,西部创业,1001_1800,,0,2019-2026,84,,N
300485.SZ,赛升药业,1001_1800,,0,2015-2023,84,,N
300755.SZ,华致酒行,1001_1800,,0,2019-2026,84,,N
603466.SH,风语筑,1001_1800,,0,2018-2025,84,,N
603801.SH,志邦家居,1001_1800,,0,2018-2025,84,,N
603959.SH,ST百利,1001_1800,,0,2016-2023,84,,N
000544.SZ,中原环保,1001_1800,,0,2014-2025,83,,N
002166.SZ,莱茵生物,1001_1800,,0,2014-2021,83,,N
002519.SZ,银河电子,1001_1800,,0,2014-2021,83,,N
002695.SZ,煌上煌,1001_1800,,0,2014-2023,83,,N
300198.SZ,*ST纳川,1001_1800,,0,2014-2021,83,,N
300206.SZ,理邦仪器,1001_1800,,0,2014-2024,83,,N
300209.SZ,行云科技,1001_1800,,0,2014-2021,83,,N
600318.SH,新力金融,1001_1800,,0,2014-2021,83,,N
000889.SZ,中嘉博创,1001_1800,,0,2014-2021,81,,N
002243.SZ,力合科创,1001_1800,,0,2019-2026,81,,N
300428.SZ,立中集团,1001_1800,,0,2019-2026,81,,N
300768.SZ,迪普科技,1001_1800,,0,2019-2026,81,,N
601882.SH,海天精工,1001_1800,,0,2017-2026,81,,N
603915.SH,国茂股份,1001_1800,,0,2019-2026,81,,N
601038.SH,一拖股份,1001_1800,,0,2014-2026,80,,N
601595.SH,上海电影,1001_1800,,0,2017-2026,80,,N
002034.SZ,旺能环境,1001_1800,,0,2019-2025,78,,N
002246.SZ,北化股份,1001_1800,,0,2014-2026,78,,N
