symbol,name,best_band,top1000_years,n_snap_top1000,band_1001_1800_years,n_snap_1001_1800,delisted,in_project
000830.SZ,鲁西化工,301_800,2007-2026,284,,0,,N
600563.SH,法拉电子,301_800,2007-2026,284,,0,,N
000563.SZ,陕国投A,301_800,2007-2026,281,2026-2026,3,,N
600580.SH,卧龙电驱,301_800,2007-2026,281,,0,,N
002056.SZ,横店东磁,301_800,2007-2026,278,,0,,N
600056.SH,中国医药,301_800,2007-2025,275,2025-2026,9,,N
000513.SZ,丽珠集团,301_800,2007-2026,270,,0,,N
000998.SZ,隆平高科,301_800,2007-2025,263,2026-2026,3,,N
000050.SZ,深天马A,301_800,2007-2026,260,,0,,N
600765.SH,中航重机,301_800,2009-2026,260,,0,,N
002048.SZ,宁波华翔,301_800,2007-2026,256,2023-2026,28,,N
600511.SH,国药股份,301_800,2007-2026,256,,0,,N
600416.SH,湘电股份,301_800,2007-2026,254,2026-2026,6,,N
600064.SH,南京高科,301_800,2007-2025,253,2023-2026,25,,N
000887.SZ,中鼎股份,301_800,2009-2026,248,,0,,N
002249.SZ,大洋电机,301_800,2009-2026,246,,0,,N
000683.SZ,博源化工,301_800,2007-2026,244,2014-2021,33,,N
600120.SH,浙江东方,301_800,2007-2026,241,2022-2026,20,,N
600388.SH,紫金龙净,301_800,2007-2026,241,,0,,N
000028.SZ,国药一致,301_800,2007-2023,240,2022-2026,44,,N
600195.SH,中牧股份,301_800,2007-2023,239,2023-2025,24,,N
600507.SH,方大特钢,301_800,2007-2023,238,2017-2026,34,,N
600323.SH,瀚蓝环境,301_800,2007-2026,237,2015-2023,18,,N
600409.SH,三友化工,301_800,2007-2023,237,2023-2026,33,,N
000987.SZ,越秀资本,301_800,2007-2026,236,2015-2017,24,,N
600499.SH,科达制造,301_800,2009-2026,236,2020-2020,6,,N
000090.SZ,天健集团,301_800,2007-2023,235,2022-2025,40,,N
000762.SZ,西藏矿业,301_800,2007-2026,235,2025-2026,13,,N
600755.SH,厦门国贸,301_800,2007-2025,235,,0,,N
600720.SH,中交设计,301_800,2007-2026,228,2018-2024,47,,N
000078.SZ,ST海王,301_800,2007-2021,227,,0,,N
000501.SZ,武商集团,301_800,2007-2021,227,,0,,N
002191.SZ,劲嘉股份,301_800,2008-2023,227,2023-2025,24,,N
000537.SZ,绿发电力,301_800,2007-2026,222,2014-2017,32,,N
600557.SH,康缘药业,301_800,2007-2023,220,2020-2026,64,,N
600776.SH,东方通信,301_800,2007-2022,215,2022-2026,51,,N
000062.SZ,深圳华强,301_800,2007-2026,214,2014-2025,23,,N
000006.SZ,深振业A,301_800,2007-2020,211,2020-2024,46,,N
002266.SZ,浙富控股,301_800,2009-2026,209,,0,,N
000158.SZ,常山北明,301_800,2007-2022,208,2015-2016,7,,N
002019.SZ,亿帆医药,301_800,2008-2025,208,2015-2026,14,,N
600366.SH,宁波韵升,301_800,2007-2025,206,2019-2026,78,,N
