to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无无无,升级,82371,0.004765563592408602,0.0008410428931875,0.06323092646734696,0.5039759138531765,-0.02771427899637375,0.031944233174458256,82119,0.007524193481730998,0.0,0.09013403756077551,0.49852043984948674,-0.041567412242822704,0.0457798932406835,81482,0.018259978871375128,0.0018382352941177,0.13836845029029254,0.5058663263051962,-0.060046189376443376,0.07303752418830245,80497,0.03857263040882093,0.006423944827586,0.2115765762218694,0.518305030001118,-0.0808356039963669,0.1133333333333332,82627
无无无,换挡,1408,0.007461795241903501,0.00214357112070935,0.06665883080061555,0.5213068181818182,-0.029759983864461426,0.0351771139502544,1406,0.011777051313692902,0.0008032820084178,0.09147081902708802,0.5049786628733998,-0.04050722955075932,0.04990432648825888,1405,0.030915265697679693,0.0037911927675706,0.1568653862027186,0.5124555160142349,-0.0596693026599567,0.0957324106113033,1399,0.05604459346934738,0.0195121951219512,0.2237248209507522,0.5553967119370979,-0.06817897094058135,0.12786175433581098,1409
无无无,降级,85393,0.004438864441578537,0.0,0.06544478705464706,0.494021758223742,-0.0294840294840295,0.0318396226415094,85153,0.009125327519898072,0.0011641443538998,0.09478756096484656,0.5041513510974364,-0.0419023136246787,0.048128342245989,84573,0.019670048727497787,0.0028943560057885,0.14825029409119037,0.5103520035945278,-0.0615716067581357,0.0762997974341659,83330,0.039546342512643495,0.0036315206763223,0.2262444350149801,0.5097563902556103,-0.0852111777650848,0.11499588324670976,85650
无无正,升级,14317,0.003765676326200071,-0.0004585052728105,0.08133816952350353,0.4936788433331005,-0.0398852971845672,0.0416666666666667,14307,0.007870484580078588,0.0,0.12221799502366562,0.49793807227231424,-0.056560750018839395,0.0595619319189445,14244,0.022328756798567898,-0.0022321873442949502,0.18495148524261754,0.4905925301881494,-0.07891372349470335,0.08600031387319522,14111,0.04435440236653059,-0.0021913805697588,0.26215442607002076,0.49337396357451635,-0.1026119402985076,0.1323328785811732,14327
无无正,换挡,711,0.007474088682674509,0.0,0.0786862420483429,0.4936708860759494,-0.0352424967411947,0.04451306594902055,711,0.006333311419207576,-0.0006410256410255,0.11509348232537549,0.49507735583684953,-0.054923334691234504,0.054330799061128754,710,0.010660704631501615,-0.008892122466190248,0.17311813705201756,0.47183098591549294,-0.0854842890688184,0.08933003214522076,709,0.028032575204997984,-0.0201196302338226,0.24899594183132184,0.45698166431593795,-0.1169354838709676,0.1073728171459575,712
无无正,降级,19286,0.004457324049348439,-0.0017953842186693,0.08426959543795738,0.48568910090220885,-0.044395558942642875,0.04487330241991917,19277,0.010616545487988896,-0.0012437810945272,0.12808794285814207,0.49276339679410697,-0.0595497458242556,0.0658965607771067,19214,0.023317665203938253,-0.0042724821335491,0.1935653078310816,0.485271156448423,-0.08554783435421408,0.09710517799352743,19144,0.04867232714731919,-0.002341024095285,0.2777782182331596,0.4934705390722942,-0.11118505408617363,0.14252900536474455,19297
无无负,升级,6128,0.006981085618667901,0.0018527767622832998,0.07828752601993194,0.5102806788511749,-0.031630277387383374,0.038821478292746674,6123,0.01629473625470621,0.0075528700906346,0.09995337014596767,0.5356851216723828,-0.0393643396616239,0.058605678667389347,6037,0.029521453396456444,0.0129779837775203,0.14213487469003097,0.5472917011760808,-0.0568499534016775,0.0956696878147032,5741,0.053158185314827244,0.0238532110091742,0.21391006719473696,0.5664518376589445,-0.0741379310344827,0.146551724137931,6131
无无负,换挡,367,0.005601798891973431,0.0072289156626503,0.07366415799474636,0.5449591280653951,-0.024663121506043703,0.038190469188189996,367,0.01752341007968419,0.0068285280728375,0.10846066982788674,0.5367847411444142,-0.033252775626965256,0.0628510363711525,366,0.028912845833779077,0.017317350889562398,0.14302898930026176,0.5491803278688525,-0.060672284707222954,0.10770430827392022,357,0.053069519799579565,0.0329593267882188,0.1881534962370389,0.5686274509803921,-0.078719723183391,0.1533586818757919,367
无无负,降级,4583,0.006936480344762473,0.0034682080924854,0.0727331067285988,0.5195286929958542,-0.030980066445182648,0.039980172695174246,4570,0.015144676149750656,0.010127767743661701,0.09767250198703702,0.5522975929978118,-0.03976698324971707,0.0641667774446232,4516,0.020952357896643663,0.0070921985815601,0.14474212854911947,0.524800708591674,-0.06325778129642307,0.08969633579502725,4323,0.03509821141072723,0.0090791180285343,0.2125556218425339,0.5244043488318297,-0.08657176565295165,0.11665731686278485,4589
无正无,升级,7435,0.00800520736884645,0.0007451564828615,0.0692991268146126,0.5034297242770679,-0.030901059270883602,0.03823308933768395,7417,0.013166440520299529,0.0018387181507748,0.09896497138444012,0.5089658891735203,-0.0422450211225106,0.053384912959381,7394,0.024618988328732508,0.00134431911516405,0.16201137401352894,0.5044630781714904,-0.06119646672044822,0.0806736583240317,7327,0.03355122822184121,-0.0053333333333331,0.2254175290519676,0.4850552750102361,-0.09574948586365295,0.1057488573370496,7459
无正无,换挡,613,0.00801432829249989,0.0021231422505307,0.058968577417804646,0.5220228384991843,-0.0246636771300448,0.0330788804071247,613,0.01551806432027177,0.0052092689060534,0.0887208759580258,0.5367047308319739,-0.0350877192982456,0.0533898305084745,613,0.03303684345791987,0.0151827071538859,0.13897082254883344,0.566068515497553,-0.0572755417956656,0.0991525423728814,599,0.0669088279696423,0.0197740112994349,0.24896453320531997,0.5609348914858097,-0.07151386234800519,0.1389905645030097,614
无正无,降级,13614,0.0033710038961847558,-0.0036546558880194997,0.06610607805473398,0.4624651094461584,-0.032694976984767275,0.0307271885762512,13558,0.008286843400373773,-0.00137409841018095,0.09440356183750373,0.4893789644490338,-0.04534193006220767,0.047152102517869623,13516,0.024013978850108513,0.0027235733282066,0.15430613118354716,0.5099141757916543,-0.060170866368933526,0.08019163474724544,13390,0.03968633216893835,-0.0022446817831344498,0.24175369521759496,0.4929798356982823,-0.09484651746452062,0.1190396542202965,13649
无正正,升级,11699,0.006292444918207743,-0.00164338537387,0.09004302086999587,0.4855970595777417,-0.0453124580259304,0.0457540296023438,11694,0.01153615260162731,-0.0034649181857395,0.13180452000299966,0.4835813237557722,-0.061352458198268046,0.06690467402194167,11677,0.023031148117366083,-0.0055594162612926,0.2042930068231886,0.479147041192087,-0.0892473118279568,0.0955315870570105,11636,0.0354043528299869,-0.016572986865209,0.285596670496999,0.46132691646613955,-0.12490018903016872,0.12281449328152817,11701
无正正,换挡,284,0.002545083370576279,-0.0019310958555810499,0.0802430513099512,0.4753521126760563,-0.04040253848740175,0.036177094143338195,283,0.010542104264087079,-0.0007955449482895,0.1180085540279249,0.4840989399293286,-0.05493496097658585,0.0547137375200278,282,0.01040455944198544,-0.0143404722776614,0.1685149728490553,0.45390070921985815,-0.0929156896569534,0.08034365409472487,281,0.028025776376855504,-0.0090763481046449,0.2439103845278901,0.47330960854092524,-0.1176531405460061,0.1385121249486232,284
无正正,降级,18602,0.008042064461869882,-0.002907570004746,0.09340814065341983,0.48059348457155143,-0.0458232390006801,0.0485487519604798,18596,0.016199479481070946,-0.00061003543173605,0.13613288648368638,0.4956442245644225,-0.06441078269125837,0.07281733268552112,18568,0.027502239964229444,-0.0031195774671442,0.2032398230494349,0.4883132270573029,-0.08659217877094966,0.10847448649332958,18516,0.04539335776238394,-0.0124103503381403,0.2912123771780158,0.472402246705552,-0.12429218118018916,0.14371257485029926,18612
