combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
无无无,121770,0.0030983932468627486,-0.0003327800288571159,0.06153786712374378,0.48963619939229697,-0.029585365515472334,0.030436253304109706,121325,0.005645422430205151,-0.001168224299065379,0.08944967001560197,0.4897094580671749,-0.043220059386341214,0.04424778761061954,120198,0.013817746674204736,-0.0020176546050102995,0.14047209748679912,0.48967536897452535,-0.06446018761642663,0.06957542984808296,118615,0.03262974358701421,0.0,0.2180752504444915,0.4983433798423471,-0.08846161744649444,0.10763905281243002,122282,0.24222421903619792
无无正,52868,0.004122472663656905,-0.0013181577324242744,0.0752168127963291,0.4868351365665431,-0.035813022039267145,0.037544736443562376,52829,0.006533959943816107,-0.0025706940874035134,0.10943481508480962,0.4837115977966647,-0.051587301587301515,0.05222437137330771,52661,0.01591295289733822,-0.00617760617760621,0.170864156012699,0.4738041434837926,-0.07644038790644614,0.07738542449286245,52421,0.03301828293558835,-0.0072289156626506035,0.24035190177210602,0.4792163445947235,-0.10256864481842343,0.11140939597315414,52932,0.10152986497128583
无无负,44649,0.004771133099245115,0.0011022320198401658,0.06391847836903683,0.5054312526596341,-0.028196721311475437,0.03197158081705154,44481,0.00843945290811604,0.002613240418118501,0.08851091718792288,0.5135900721656438,-0.040525739320920184,0.04817518248175179,43987,0.017722793693534803,0.00415094339622657,0.13651069761526397,0.5151749380498784,-0.059284444803696545,0.07685508780806216,43071,0.03564359413811082,0.008094186902134037,0.20972820952553414,0.5234844791158785,-0.07875323834196896,0.11243569644257023,44825,0.07676071931348723
无正无,41044,0.005328575786423908,0.0,0.06299184609008575,0.49956144625280186,-0.02835423558163247,0.031729409150695054,40917,0.010218640916805287,0.002016129032258007,0.09165347920077226,0.5105701786543491,-0.04117468967605198,0.048275862068965614,40593,0.01928433877362158,0.0016082346241457213,0.14368190293751504,0.5046929273520065,-0.060317460317460214,0.07266203184570519,39856,0.04052637778824155,0.001160106859030896,0.23017026259427012,0.501756322761943,-0.08866430692332256,0.11628997139263991,41148,0.05093658776392422
无正正,50606,0.006780176439488768,-0.001685630303555452,0.08308479355269521,0.48541674900209464,-0.03870335861957647,0.041110915905364254,50554,0.013825126556478258,0.0,0.12207320412425281,0.4997626300589469,-0.053077915991179614,0.061144136537206795,50439,0.02671738221013799,0.00028417163967042747,0.18633654374457945,0.5002279981760146,-0.07372854767657644,0.0927063863754315,50313,0.0404482143737213,-0.007177033492822837,0.26813522538760826,0.48088963091050024,-0.1099011140317937,0.12235855487389236,50672,0.07087703997231846
无正负,2021,0.007933332060658419,0.004709576138147709,0.06013711164944978,0.5393369619000494,-0.025041736227045197,0.03598971722365052,2020,0.011200951674882787,0.008123911092339231,0.08211114762459529,0.5460396039603961,-0.038146260448645414,0.05123929357171059,1994,0.008895982541522523,-0.001943958166699511,0.12500580018730723,0.4879638916750251,-0.06402116742666686,0.06402371541502,1853,0.03851609288074378,0.007572919020715663,0.20768830602974347,0.5196977873718295,-0.07437275985663083,0.11852704257767543,2021,0.001763275521280176
无负无,45524,0.0023020416383790657,0.0,0.06109848545009489,0.49325630436692736,-0.029494716107719865,0.029503865560777,45421,0.005031214346061884,-0.0008955223880596774,0.08690590814074202,0.4906541027278131,-0.042986425339366585,0.04324424647364511,45327,0.015956803185238067,0.001512859304084735,0.13314245511089762,0.5049749597370221,-0.06030751637642784,0.07005595160328326,44629,0.036263048670639036,0.006276150627614996,0.20657264945570875,0.517690291066347,-0.08028222730739887,0.10634146341463402,45684,0.05868849950263984
无负正,2401,0.0010503231114629087,-0.000674157303370726,0.08203054380416017,0.4914618908788005,-0.039326657959657396,0.03842531550197781,2401,0.00548221477112375,0.002083333333333437,0.11118767488697394,0.5072886297376094,-0.05284015852047552,0.05830637803765448,2401,0.021270272042402328,0.0,0.19116253443467404,0.49770928779675133,-0.07035663841807904,0.08181685157421281,2354,0.05688480566535696,0.012320222080813847,0.26173237271040883,0.5276125743415463,-0.08839943277623319,0.13322693984690376,2402,0.0021018460898823603
无负负,40995,0.0040283899657572704,0.001335113484646211,0.06383234986304563,0.507183802902793,-0.028959173337367472,0.03274184358882093,40875,0.009824370146029602,0.0022371364653244186,0.09214226865499854,0.5111192660550459,-0.04096727226870056,0.050498793166927736,40790,0.027001876482506237,0.011132664328153075,0.1448490846360656,0.5427310615346899,-0.05612490345721355,0.08718226731562073,40299,0.04714594524924695,0.018281535648994707,0.21413219714062315,0.5535621231296062,-0.06876684138655464,0.12195121951219512,41130,0.058236846364124524
正无无,31279,0.004139900568639849,-0.00037551633496057946,0.06576818597617073,0.4902650340484031,-0.028933092224231516,0.028491240058324818,31169,0.009584737946562356,0.0028180354267310914,0.09588820387364778,0.5159292887163528,-0.03998904409750759,0.04699378023496892,30843,0.0223978953935255,0.006646971935007295,0.15043293457122345,0.5249813571961223,-0.0597995497756047,0.08020953988751223,30440,0.039142689178088066,0.006570372918428213,0.22341698565332194,0.5180354796320631,-0.0854552811827638,0.11606463585959964,31371,0.0301009549721458
正无正,11220,0.002886090170361796,-0.0028537457024149226,0.07617710976398587,0.4727272727272727,-0.03801774922282311,0.03490892619813046,11205,0.00838673840016925,-0.0021939447125933764,0.11336703625577566,0.4875502008032129,-0.05316196923076921,0.05128205128205132,11128,0.013242895209909209,-0.007860471488981668,0.17692467947502274,0.47313084112149534,-0.08629441624365475,0.08019118206416354,11075,0.040584014754017295,-0.004300497244993817,0.2524315818391918,0.4870428893905192,-0.10304824632951332,0.12385701146979011,11230,0.010179462715593274
正无负,11904,0.012367497662264899,0.0021953923269713016,0.07713775702102027,0.5164650537634409,-0.02556928965953484,0.035146946665392365,11886,0.01659506082552766,0.009018611376375163,0.09189361629595677,0.5557799091367996,-0.03436240447840774,0.0542354498327145,11843,0.0327867571773218,0.016863406408094583,0.14652570612516844,0.562779701089251,-0.04815046635837367,0.09320578145494895,11538,0.04230052597794884,0.013059940901744893,0.22155026141081596,0.5387415496619865,-0.07360257839555959,0.12051908460703237,11913,0.011713864532498373
正正无,35346,0.007234339557500859,0.0,0.07047072758582369,0.4930119391161659,-0.029055690072639168,0.032211193656206505,35238,0.011331919126479332,0.0025559134419087526,0.09560414613198025,0.5133946307962994,-0.0404461190956662,0.048927674858576964,34911,0.022937710246894893,0.004542873367404887,0.14930251564284897,0.5186044513190685,-0.059900974931215545,0.07827184892402284,34344,0.047194985728217224,0.005927892416628611,0.24151539406490105,0.5151700442580945,-0.08656378204993406,0.12512564848912155,35422,0.04769172743444089
正正正,43567,0.009154444330323879,-0.0003918495297804414,0.09111349224206344,0.49372231275965756,-0.038961038961039085,0.04297529007932155,43512,0.017847034610188897,0.0017391304347826875,0.13242889542023203,0.507744989887847,-0.05188067444876787,0.06402086373845439,43392,0.028879427651380258,0.0018311665144327138,0.19029379844492111,0.5050239675516224,-0.07457485649536297,0.09603315689495773,43276,0.04858005463060861,-0.0022331402400102562,0.2798111965190362,0.49383029854884924,-0.10827755029375111,0.13380518075931458,43614,0.07350231616125981
正正负,2089,0.013724548596796369,0.0036784025223330907,0.08091762894582401,0.5232168501675443,-0.025757575757575757,0.03544303797468351,2089,0.015284729163779712,0.008152173913043681,0.08981142462823037,0.5557683101962662,-0.032815198618307284,0.05319522471910121,2065,0.021616204176408096,0.010638297872340496,0.13768181370317165,0.5399515738498789,-0.05631067961165048,0.0793871866295266,1950,0.03734841368066094,0.01183751299077973,0.26217430262747565,0.5348717948717949,-0.07095882950573992,0.1161013969225429,2089,0.0018959951841722323
正负无,2383,-0.0014478453900978751,-0.002799160251924393,0.05821508223503692,0.4649601342845153,-0.030742896017966148,0.022966508018278264,2383,0.0027159619351494117,-0.002714932126696934,0.08448858419634384,0.4842635333613093,-0.04205465403990771,0.03955211067232456,2383,0.02199915682550106,0.011848341232227444,0.13422287447123618,0.550986151909358,-0.055544824436750184,0.07550740632593766,2357,0.028544944967735388,0.00588581518540332,0.19927388622709646,0.5180313958421723,-0.0806910124644653,0.09636963696369616,2383,0.001786975461082329
