to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无无无,升级,53424,0.003469018985726662,0.0,0.05859220812988362,0.49653713686732553,-0.027237900428004624,0.029208794986794948,53162,0.004476464970133647,-0.0018077735898386002,0.08506703610839682,0.4842180504871901,-0.0416666666666666,0.04112012296375585,52701,0.013049753975085154,-0.0014224751066856,0.13183780584406668,0.4920210242689892,-0.0609473335541569,0.0662859120803045,52371,0.03236288872283646,0.0030075187969924,0.20326119747083846,0.5081820091271887,-0.08183068198153155,0.1052693990331389,53560
无无无,换挡,2997,0.006977719885449518,0.0003676470588236,0.06425402520923494,0.5001668335001669,-0.0271739130434781,0.0338114754098359,2977,0.011933119117006608,0.0031269543464664,0.08866077196975777,0.519650655021834,-0.0380673747228381,0.0507234908461156,2976,0.025372074709285607,0.00741662608917535,0.14074184413834598,0.5248655913978495,-0.055483201156626055,0.08491780842382735,2900,0.04297813094992065,0.0019817408855207497,0.21646257657938844,0.5041379310344828,-0.08293529041301212,0.11778498075677313,2998
无无无,降级,57190,0.004229396972440451,0.0,0.061443306047835586,0.4921314915194964,-0.028434554391062652,0.030245125272026524,57035,0.008389553042839224,0.0004731488052991,0.09085019938701881,0.5011659507320066,-0.040479760119940006,0.0453577731190737,56700,0.018590697266424323,0.0020997519977954,0.14418233826479665,0.5065432098765432,-0.060193534901974176,0.07380975466570153,56170,0.03912076117619624,0.0029325513196479,0.22235635386219907,0.5076197258322949,-0.08467511257104895,0.1139784946236557,57353
无无正,升级,13892,0.0031108171104103142,-0.0005429721004368,0.07455495503288315,0.4922257414339188,-0.03544594493161213,0.0371765399137196,13862,0.007857787565564081,0.0,0.10445038072465035,0.4992064637137498,-0.04960793634676975,0.05439606135983253,13826,0.02414719098801528,0.0015218840557892,0.16191654486824414,0.5042673224359902,-0.06679863557566727,0.08388300832825216,13523,0.05413498438075486,0.0098826436071648,0.2477988462198519,0.5264364416179842,-0.0861633584495427,0.1386092727202709,13920
无无正,换挡,1356,0.008383628981406724,-7.651109410855e-05,0.08104385601569829,0.4963126843657817,-0.036415349176361245,0.04648977609265657,1354,0.011538686072969222,0.0018642920377024,0.12151384765757826,0.5051698670605613,-0.051124689872918946,0.05743151151696875,1352,0.020299086889917134,0.0006104958321918,0.17739726875172684,0.5007396449704142,-0.0765489664631723,0.08179245780160338,1341,0.03232091653271147,-0.01018922852984,0.2420563629372565,0.46830723340790453,-0.1024630541871922,0.108130081300813,1356
无无正,降级,13928,0.0056757321959081545,-0.0016415606609456001,0.08953666404930022,0.4859276278001149,-0.04054345544854585,0.041811071398368725,13915,0.01028696411737527,-0.0013268465280849,0.12400914957622516,0.4927057132590729,-0.0571428571428571,0.060195669897635654,13861,0.02406762476190807,-0.0042744176106004,0.18544055347521243,0.48531851958733135,-0.0813093980992608,0.0929519918283963,13807,0.05397267777603653,0.0024401064773735,0.27038137287798375,0.5054682407474469,-0.1018574259803982,0.14177299981608144,13949
无无负,升级,6386,0.011457305458984926,0.00520151691395635,0.0743990737140056,0.5461948011274663,-0.027508323383307574,0.0417546965605236,6345,0.012872332533891105,0.0053956834532375,0.09871020414449928,0.5263987391646966,-0.0412125340599455,0.0551443375277573,6176,0.026225468415065633,0.012974064818531451,0.14689097086512073,0.5427461139896373,-0.060550611716177996,0.08952612628266388,6019,0.046010376543191324,0.0156833457804332,0.208242534108373,0.5471008473168301,-0.07481335497333635,0.1326718800912349,6391
无无负,换挡,903,0.00969423448310717,0.009933774834437,0.06524467759915824,0.5647840531561462,-0.026156545612063348,0.0408205459934819,893,0.016749049435397897,0.0134228187919465,0.08909117758066078,0.5666293393057111,-0.0360858977197255,0.0643722115997451,893,0.039681821130239776,0.0256501839530332,0.1525145374997981,0.5968645016797313,-0.0494382022471909,0.1128062117235344,837,0.04423878318347717,0.0198902606310011,0.20615439142276756,0.5459976105137395,-0.0723425196850393,0.1208791208791206,903
无无负,降级,7179,0.008875630864164529,0.005161895823557,0.0674122438120043,0.5374007521938988,-0.0273452534130858,0.0393212229501687,7140,0.01619982191105761,0.0104620829304776,0.09844651511343956,0.5634453781512605,-0.036094403317568025,0.06143574677109595,6939,0.02656133515795081,0.0123966942148761,0.15167408194064713,0.5523850698947975,-0.055501551204966054,0.091163919611078,6443,0.04744242867378654,0.0165394402035623,0.2235912023243749,0.5424491696414714,-0.0753071253071253,0.13112467704689384,7197
无正无,升级,8633,0.007985471598449104,0.0010593220338983,0.0681597866328427,0.5052704737634658,-0.0291152263374484,0.0369730476848653,8616,0.011814619984853295,0.0017060550768416,0.09744027459887629,0.5067316620241411,-0.04331446963949097,0.0534996880989426,8592,0.02465781564987704,0.0018706397908848,0.14919349283076486,0.5053538175046555,-0.060075953908354046,0.0823992827116313,8498,0.03363986072667725,-0.0059568428289457995,0.22419528085831636,0.48281948693810306,-0.0944789647098707,0.1076537256011337,8659
无正无,换挡,2845,0.001968462128028668,-0.0018942655415877,0.06586100463112642,0.4717047451669596,-0.0324074074074074,0.0299906279287722,2829,0.006255485809675673,-0.0014947683109118,0.09705079836668816,0.48851184164015554,-0.0472163495419308,0.046313799621928,2819,0.009466780422931117,-0.0062767475035663,0.13742477894537156,0.47818375310393757,-0.0698387552242177,0.0637875109070905,2808,0.026986394403517355,-0.00553485362375185,0.2282784665813894,0.48326210826210825,-0.09864134954149306,0.10513398427983493,2865
无正无,降级,15476,0.004990107379369364,-0.0029186615598992003,0.07146445689418325,0.47279658826570176,-0.03374371677836828,0.034712450489889454,15451,0.011683587118995815,-0.000469483568075,0.10322864640049065,0.4940780532004401,-0.04752124148585065,0.05335123061991385,15410,0.024291711716005117,0.00147098067782665,0.1554322786176291,0.5042829331602855,-0.06499223698809051,0.0842841366517826,15316,0.041560113099132455,-0.00284628974378475,0.24803397635729957,0.4915774353617132,-0.09884309703840924,0.12318643814791513,15517
无正正,升级,9072,0.008079614970655038,0.0,0.08692837533204803,0.49834656084656087,-0.0392455543169287,0.04689171860266115,9063,0.013012792608186498,0.0010934937124109,0.1274632663407644,0.5027032991283239,-0.055024805490559894,0.0682184120969393,9056,0.02827616473150696,0.0020292253742204003,0.20717294358877988,0.5053003533568905,-0.0809248343965253,0.1014509237646874,9000,0.03989386482041217,-0.0088079571609972,0.27928433250300516,0.4786666666666667,-0.11687228761372012,0.12410206203880547,9085
无正正,换挡,1498,0.005751682197157476,-0.00101780186525945,0.0847592371762765,0.49065420560747663,-0.0417528791375787,0.04531416727839615,1491,0.016028320561284583,0.002199413489736,0.11916476911624507,0.5083836351441985,-0.057973824812614094,0.0698740652992534,1490,0.034615594840332206,0.0058955142826109495,0.18640020158285955,0.5194630872483221,-0.07543413770657131,0.10912684462909583,1487,0.06021688841637039,0.0067746686303387,0.3082118578429861,0.5232010759919301,-0.1034992858600284,0.14140096144715394,1499
无正正,降级,14422,0.007157278934885533,-0.0029123485160339,0.09412211331906944,0.47926778532797115,-0.04690892332900938,0.04793125701929363,14400,0.015182947481594019,-0.0006975194050117,0.141112558873312,0.495625,-0.0648965194862332,0.07180622145395604,14374,0.02612902155905478,-0.0026610019472473,0.20784855152868045,0.49095589258383193,-0.08863472944505328,0.10845776919264072,14349,0.04691261851373335,-0.0106951871657754,0.2991957488065071,0.4749459892675448,-0.1234567901234567,0.1423690205011387,14427
无正负,升级,579,0.00563709081863227,0.0054446460980037,0.07221289127059032,0.5474956822107081,-0.0271457475168191,0.039142312561260245,574,0.009728107271984348,0.011566551602948349,0.09086830507193469,0.5627177700348432,-0.036985863248929024,0.051606354914532325,571,0.012973794565446565,0.0091463414634147,0.134673148299194,0.5306479859894921,-0.054793215170573645,0.0676448589907168,541,0.024047013013391322,-0.0052173913043478,0.19106995759743944,0.4787430683918669,-0.0790259569230769,0.0878378378378379,579
无正负,换挡,241,-0.0006132747953540469,0.0012953367875649,0.07047734735278613,0.5103734439834025,-0.0359947643979056,0.0359887763816029,239,0.011060449962996646,0.0114503816793891,0.09738020431617123,0.5564853556485355,-0.0372152388135618,0.0583034647550777,236,0.0036250456653714024,0.00024066675178755,0.13240828690988568,0.5,-0.0712330093327653,0.06782332132773147,231,0.01905417503814667,0.0082530949105916,0.17953214091842076,0.5281385281385281,-0.08298326387191804,0.08236877732809014,241
无正负,降级,921,0.009842394272078989,0.0081911262798635,0.07011777386076591,0.5570032573289903,-0.0281249999999999,0.0460829493087557,920,0.02301267162116691,0.0212398643667993,0.09696581554133374,0.616304347826087,-0.026936128954066173,0.07358088519520697,917,0.026097629104079697,0.0151515151515151,0.1489720118588634,0.5637949836423118,-0.0476155148514849,0.0801801801801802,803,0.054391215027435005,0.0160055671537926,0.22060553260764637,0.5454545454545454,-0.06146560527012425,0.126506968221054,921
