combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
正正正,16334,0.008899629365155896,-0.0019984894224406857,0.1033866289950259,0.48591894208399655,-0.050315332089180625,0.052004417396579794,16313,0.018018791076195216,-0.0013605442176870541,0.14948051915266222,0.4940844725065898,-0.06472261735419638,0.07333482843686912,16290,0.029063733866888847,-0.0010947986509285412,0.21230668596198615,0.4954573357888275,-0.09136641796606526,0.11208504788000884,16258,0.048219540277932314,-0.01205893332864244,0.2990613583366846,0.47484315413950057,-0.1253499575839653,0.14739546770796758,16344,0.028653579982259536
无正正,24992,0.00740783305633977,-0.0016977977631730812,0.09102504119164624,0.48687580025608196,-0.04420757958592092,0.04740103858890532,24954,0.01444528368597513,0.0,0.1350553697384997,0.4989580828724854,-0.06086842210549759,0.07005983181896602,24920,0.027416723114385047,0.0,0.2063848664617522,0.49787319422150883,-0.0852793411713561,0.10606453132359878,24836,0.04516574567210549,-0.008715696965395259,0.29272901229715403,0.4791834433886294,-0.11971830985915491,0.13589934565413964,25011,0.05673658071106077
正无正,11942,0.007545865982116294,-0.0003545528135987519,0.09015408152146148,0.4953944062971027,-0.04018821182325419,0.04254242398139385,11924,0.015886114655779843,0.0026985414976177236,0.12754683655650575,0.5117410265011741,-0.05565891223583369,0.06609678691816684,11873,0.027497845794067156,0.0,0.18829198848290837,0.4981049439905668,-0.08388256440982633,0.10320284697508897,11833,0.060328306040568117,0.007374631268436405,0.27497751317097524,0.5171131581171301,-0.10047869060773484,0.15372960372960387,11958,0.01509759705623111
正正无,19285,0.0031577419508871437,-0.0050448430493272856,0.08316908611012595,0.45595022037853256,-0.03905325443786989,0.03379416282642089,19236,0.011152647914367625,-0.0026205479527312003,0.1154745585141102,0.4847681430650863,-0.050965240393930966,0.051445265444845956,19190,0.022756251445414342,-0.0024397866023795345,0.16597813079104687,0.4899947889525795,-0.06901767676767681,0.08093355500995619,19080,0.0421965335547553,-0.004610952540408886,0.25611768746831803,0.48757861635220123,-0.10090461051368074,0.1221589883846157,19321,0.02994245900755615
负正正,8281,0.012113196028482315,0.005020080321285203,0.09345662123556406,0.5338727206859075,-0.03535353535353536,0.052565707133917394,8276,0.01239196774368046,0.003731810903014665,0.13323950467171256,0.5167955534074432,-0.05331044255504691,0.0683716235925591,8265,0.02809904396689537,0.004594594594594437,0.2036636049825476,0.5153055051421658,-0.07848949606908107,0.10429447852760743,8221,0.03644470422009164,-0.006662225183211246,0.2769988719754235,0.4837610996229169,-0.11674641148325349,0.11920895293576583,8292,0.007941903130344805
无无正,29176,0.004580314992501246,-0.0010083217682612666,0.08234535308670195,0.48940910337263505,-0.037658262239852164,0.03960396039603964,29131,0.009189218971883096,-0.00010152284263964528,0.11499664991818652,0.4963784284782534,-0.05348059834486496,0.057151982017961456,29039,0.023930051823419365,-0.0009532888465203504,0.17424227529250855,0.49505836977857365,-0.07387834255752423,0.08734282106592306,28671,0.05303653534599597,0.005460942363018972,0.2586978309452637,0.5136200341808796,-0.09487070907108952,0.13886757993112187,29225,0.08384364588241307
正负正,848,0.005037723446685353,-0.003032811386263934,0.08858897314692508,0.4716981132075472,-0.044275891431020176,0.041085200235514374,848,0.008360253647879966,-0.0010122779519332048,0.12081395296183976,0.49292452830188677,-0.058262545151860023,0.06510817557728305,847,0.012285288254999487,-0.006034788782392719,0.2532358411141484,0.47461629279811096,-0.10640961831586149,0.07968138744422837,831,0.030301551251602457,-0.01336675020885536,0.2806352983367896,0.4753309265944645,-0.12498160107831979,0.12162824265916294,848,0.0007722072595883568
无正无,26954,0.0056305465929647885,-0.0014970093428622322,0.06986594024346918,0.4830822883431031,-0.032154340836012874,0.0350856116745491,26896,0.011154619263856068,0.0,0.10077707309211618,0.4975461035098156,-0.046183452074253395,0.05250796656044587,26821,0.022850828963111934,0.0009103322712789019,0.15170888917362693,0.50188285298833,-0.0636067597061909,0.08143322475570058,26622,0.03749470453634936,-0.0042942098469480605,0.23865618210521783,0.4879047404402374,-0.09732434456133265,0.11601573706469737,27041,0.05523207173476396
正无无,59745,0.006515550228961358,0.0,0.06868933467978222,0.49420035149384883,-0.02863961813842486,0.030630630630630318,59567,0.01088444642785938,0.002105263157894832,0.09869538116819572,0.5108365370087464,-0.04039203040739875,0.046801584938124585,59174,0.02228519236255151,0.004348876794082468,0.1513359637850595,0.5165951262378747,-0.05970973610514918,0.0775358141588578,58716,0.043635459048907796,0.006248090653266369,0.22862058493817536,0.5169630083793174,-0.08379710742938806,0.1196787382490927,59864,0.08248265684103522
正正负,1494,0.002134620248201846,-0.004912054488718676,0.07501024421995595,0.46519410977242304,-0.040014813148714135,0.03402303427878084,1489,0.013038735892935815,0.0075949367088608,0.10223684106378568,0.544660846205507,-0.036782538399353304,0.05397301349325323,1482,0.027418209119768035,0.009119095106356223,0.15627634197954557,0.5492577597840755,-0.04561989029188318,0.08454924993502205,1366,0.056787108390722846,0.013198665793821562,0.3125048641940817,0.5329428989751098,-0.06387887740029555,0.1185832491738178,1494,0.0019588720873329303
负无正,14250,0.00378759651549626,0.0020044413679735085,0.07551579782861607,0.5128421052631579,-0.034292772221716394,0.04019157406193019,14220,0.008744151626774981,0.002023280518582138,0.10536475268686883,0.5086497890295358,-0.04704093555050179,0.05637023821611098,14190,0.027563639873197775,0.005404237174282733,0.1608626511382003,0.5214940098661028,-0.060643445435826976,0.08647745021475983,13928,0.056681913076413404,0.01270697146435984,0.24998167317791078,0.5341757610568638,-0.08306860494001489,0.13926923156396503,14271,0.01784057805629202
无负正,4724,0.0046716428745996,0.0026596967385781323,0.09161689709701944,0.5143945808636748,-0.039999999999999925,0.045384851380753766,4724,0.00986974116957439,0.006836589487980604,0.12461673899960798,0.5368331922099915,-0.05025689576076203,0.06431556075547379,4722,0.027164060533558864,0.008570785877254572,0.18413631660459495,0.5288013553578992,-0.06526976436908169,0.09091683926121019,4353,0.04186010875424678,0.0036859565057132393,0.25449516097303626,0.5097633815759246,-0.0943775100401607,0.12203876525484558,4727,0.00982936529884001
负正无,8177,0.014080690283587724,0.006116207951070374,0.06959527775167984,0.5502017854959032,-0.025000000000000022,0.04434072345390905,8168,0.01886663010171367,0.006434406999530684,0.10117667820136533,0.5329333986287953,-0.03921038300645885,0.06260831206478257,8147,0.03528901278607166,0.007441860465116301,0.16409472817885393,0.525960476248926,-0.056912156177392426,0.09404457088667617,8090,0.03809103610222588,-0.0028720802095609232,0.2257035921399585,0.49147095179233624,-0.09253450601232849,0.11903985844663817,8204,0.007689168025438733
无无无,113611,0.003944339101354823,0.0,0.06019959617117561,0.4944151534622528,-0.0278207908990043,0.029868578255675127,113174,0.006644643506034149,-1.3726708086858608e-07,0.08814686817811311,0.4936911304716631,-0.04098360655737718,0.043398165786048604,112377,0.016171769255114977,0.0002913117018712441,0.13847050044373638,0.5002180161420932,-0.06047879042419124,0.07039537126325945,111441,0.03604532066587146,0.002932551319647869,0.21346490947006186,0.5077933615096778,-0.08333333333333326,0.11023054755043238,113911,0.3467798677236268
正负无,7504,0.006091997042571435,-0.0007068806546706163,0.07018186887994794,0.48880597014925375,-0.028496383993875413,0.030669126078323006,7503,0.011991703660802325,0.002889576883384981,0.09014397594950095,0.5141943222710915,-0.037941521911003195,0.04981274256389012,7502,0.030243425702678475,0.012685906465897179,0.1406985071636232,0.5502532657957878,-0.05186603559419595,0.08800694410956267,7411,0.043944527254060596,0.012748852017937295,0.21061979361629768,0.5328565645661854,-0.07374758327509906,0.12061185236527461,7507,0.007266309290360431
