combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
无无无,169172,0.004623096006612235,0.0,0.06438705737264731,0.49909559501572365,-0.028642021959182,0.031926781278471095,168678,0.008367936500167185,0.0006277466378314944,0.09252687333750846,0.5014169008406549,-0.04174028882539185,0.04707948563999087,167460,0.019078290802181406,0.0023913913723098146,0.1436087505718804,0.508187029738445,-0.06085376930063574,0.07491968901179308,165226,0.0392116503326417,0.0051767491148762,0.21920378963271198,0.514307675547432,-0.08295213940375246,0.11423326701016706,169686,0.48425538362732273
无无正,34314,0.004231253034659962,-0.001215441536560502,0.08294525949208383,0.48918808649530804,-0.04225624294595193,0.0435361908105939,34295,0.009382159343292108,-0.0006700167504188892,0.1254161939728819,0.4949701122612626,-0.05820975409889367,0.0630787807413784,34168,0.02264240023869225,-0.003432394304503872,0.1896150210885712,0.4872102552095528,-0.08261959140145717,0.09226841906240951,33964,0.04644750613952229,-0.002567432172331019,0.2708267894634516,0.4926687080438111,-0.10774550310397815,0.13728553937360033,34336,0.06177252740989522
无无负,11078,0.006916938281693228,0.0025638778344120317,0.07587947395358856,0.5152554612745983,-0.031191766368009688,0.039362354799128196,11060,0.015860301228858117,0.008346858783973787,0.09930622659571069,0.5425858951175407,-0.03940886699507387,0.06111509073543453,10919,0.02595695246733341,0.010238907849829282,0.14329736104213942,0.5380529352504808,-0.0596553798708897,0.09299521240491071,10421,0.04566323082136522,0.017857142857143016,0.21268398865254065,0.5490835812302083,-0.08007117437722422,0.13385826771653542,11087,0.01745864709733832
无正无,21662,0.0050929898935156035,-0.0021889894072399385,0.06706554298332275,0.47821069153356105,-0.031824484970496614,0.033194394709230635,21588,0.01016866247867592,0.0,0.09586888147684404,0.49745228830831945,-0.044228502357410854,0.04936965644535002,21523,0.024478805133132914,0.002590673575129543,0.1565878114080074,0.509640849323979,-0.06028805386108449,0.0807944541709461,21316,0.03834247630312116,-0.0026637684483704627,0.23653232222997553,0.4921655094764496,-0.09447223764824136,0.11472361700370798,21722,0.024817302118419645
无正正,30585,0.00732177864623376,-0.0023255813953488857,0.09202263752968388,0.48245872159555336,-0.04553734061930792,0.047534795942439256,30573,0.01436341557780269,-0.0018552875695732052,0.13435080490420223,0.4909233637523305,-0.06308411214953269,0.06997005172883197,30527,0.025634041798569655,-0.004273504273504147,0.2033615340381664,0.48448914076063815,-0.08759903924137513,0.10388828042062515,30433,0.041413718825614454,-0.014285714285714457,0.2887089307496218,0.46817599316531394,-0.12446581196581175,0.13612565445026203,30597,0.04118956234526112
无正负,82,0.012752346969312798,0.008238033254304056,0.050864160775248066,0.6585365853658537,-0.018291323805713078,0.05030471913076606,82,0.022905216697481474,0.024514973183204725,0.06331492192242066,0.6463414634146342,-0.012016534659189448,0.05514064196425589,82,0.010616025054855465,0.01726499798984482,0.08633393196735678,0.573170731707317,-0.03631086638301764,0.04764141710706593,53,0.03177939348553413,0.03065693430656946,0.1285986899351833,0.5660377358490566,-0.033975084937712396,0.10764872521246471,82,7.228677833120411e-05
无负无,20370,0.005824953527615439,0.0029421382679952757,0.06251114930300429,0.5236622484045165,-0.026915113871635588,0.03406921817458042,20349,0.01117485662993296,0.003355704697986406,0.09064983921982885,0.5195341294412502,-0.038245219347581516,0.050232558139534866,20337,0.02577189642318959,0.010242290748898819,0.14259023940151738,0.5418203274819295,-0.05135135135135149,0.0820748522652659,20040,0.045989344875230306,0.019290339342100005,0.2160337205049997,0.5596307385229541,-0.0655694794672349,0.11730238671559812,20383,0.02230950696246787
无负正,1434,0.001998401093087607,0.0,0.0980673495909349,0.49721059972105996,-0.04608048036093432,0.04573301316161604,1433,0.0013247144982105913,0.002600780234070177,0.14074813298490035,0.5052337752965806,-0.0699300699300699,0.07508532423208192,1433,0.012778145890556541,-0.0054551653596998095,0.17706514449101493,0.47871598046057223,-0.085515766969535,0.09983291562238916,1409,0.029639269397506062,-0.0085201793721974,0.2666435273547778,0.47338537970191624,-0.1160501567398119,0.11177170035671824,1434,0.0014214082854549271
无负负,9357,0.0072585929892176404,0.0032102728731941976,0.07034869504683684,0.5207865768943037,-0.029339182890046556,0.039024390243902474,9356,0.01780748525950202,0.009224543552705744,0.09814943957155112,0.5476699444206926,-0.038018477144681095,0.062030752901639785,9351,0.03927418373731221,0.023809523809523503,0.14124675178679952,0.5888140305849642,-0.04594936002637906,0.10131163210734395,9019,0.055220912273956174,0.031540386078886096,0.20755398115196308,0.5908637321210777,-0.05671590007930216,0.1331687122935411,9360,0.011169002317347297
正无无,68084,0.006026544556356405,0.0,0.06628044692853831,0.49546148874919216,-0.027779273458252624,0.030273398157812936,67918,0.010840949897100778,0.0031044427331393676,0.09275305072366194,0.5187137430430814,-0.038746725924840436,0.0475218123148618,67373,0.023236769751077767,0.00688288664094272,0.14750369295752408,0.5274219642883647,-0.05741626794258359,0.0796370967741935,66388,0.043552075007744835,0.008735744265909173,0.22181490959063552,0.5241158040609749,-0.07981310734707547,0.11934326816120466,68228,0.0783964012305434
