to_combo,direction,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events
无无无,升级,75741,0.0034190412342255294,0.0,0.06214099915524436,0.49366921482420356,-0.0287461773700306,0.0305447140675376,75529,0.005284159176725088,-0.001270002540005,0.08755835240550482,0.4882098266890863,-0.0426524491836054,0.0437336814621409,74793,0.014175019848399278,-0.0009466708740928,0.13694060892355386,0.4939365983447649,-0.0627537836840161,0.0689799331103677,73773,0.03332766345410879,0.0021770682148041,0.21138306386287053,0.5056592520298754,-0.0853269537480062,0.1075197889182058,76008
无无无,换挡,2062,0.00916679192200074,0.0053675508002024,0.06543583608873264,0.546556741028128,-0.02509889899298695,0.036532800961232424,2058,0.013988739874613304,0.0054191313913865505,0.09320803858973872,0.533041788143829,-0.03783307565214957,0.05227341310301628,2051,0.02704764548526552,0.0075282308657464,0.14926921472418925,0.5275475377864456,-0.0550740235814473,0.08371196510749371,2012,0.03773255305218661,0.00311850130410255,0.21983830961988193,0.5099403578528827,-0.08529333206655662,0.11279145508712696,2065
无无无,降级,78602,0.003915055613014398,0.0,0.06335292754831526,0.4930663341899697,-0.0301183030209175,0.03195876288659795,78363,0.007588705397629393,0.0004230118443315,0.09302512284737943,0.5008358536554242,-0.0436380518274667,0.04732757524871045,77724,0.016950553781357916,0.0,0.14833181087432523,0.4985075394987391,-0.06473268202208424,0.0742750533049039,76606,0.03581091663566848,0.0008166904993116,0.22371578614526047,0.5013445422029607,-0.08978952750202362,0.1116596583132785,78839
无无正,升级,19191,0.00392496453391169,0.0,0.07484807848602608,0.4960137564483352,-0.03533771925956635,0.0382387150373857,19179,0.006480985468286441,-0.0009771986970683,0.11271293220173971,0.49204859481724805,-0.0515834422014491,0.0537230791303562,19124,0.01681307710893947,-0.0056015908544175,0.17345123992003048,0.4766785191382556,-0.07584638484425704,0.07746973135839186,19029,0.03471463440230916,-0.0051395007342144,0.23827026225574702,0.48473382731620157,-0.1019938650306748,0.1136783733826247,19205
无无正,换挡,1262,0.009066643761521762,-0.0007000889582141,0.07912183150882457,0.4936608557844691,-0.03177730542838465,0.03899101870293048,1261,0.011453219493398495,0.0017799928800283,0.12634028339082337,0.5059476605868358,-0.0529411764705881,0.0593065693430656,1258,0.024967309114094408,-0.0018811522167879,0.19835602225102278,0.48966613672496023,-0.07146971575594208,0.0854732371596552,1255,0.027203711163873538,-0.0142857142857144,0.2534108523734042,0.46215139442231074,-0.1125068295950156,0.10137753372652711,1263
无无正,降级,23562,0.006642896582212846,-0.0009271422228863001,0.08238622577843877,0.49083269671504964,-0.03851874525384855,0.04299046834665135,23547,0.010897454865274674,-0.0021505376344088,0.12391311014152828,0.48766297192848346,-0.05589592989435365,0.05986315766494825,23498,0.01899390250266423,-0.00570344266738935,0.1852865921313116,0.4777853434334837,-0.08177668640670893,0.08657871487310685,23441,0.034984312045151435,-0.0089649551752242,0.25942493119122917,0.47344396570112196,-0.1105394609494641,0.1161751563896336,23582
无无负,升级,14164,0.005732444134833301,0.0012827564807762,0.06905735189365679,0.507060152499294,-0.02917262827526485,0.033544541248072005,14136,0.010513870212285831,0.0031067037090382497,0.0945829288878362,0.5156338426711942,-0.040590405904059,0.05076906525116035,14022,0.02572323307597705,0.01131268769623315,0.14798715820840014,0.543859649122807,-0.056539442700157025,0.08681651029315737,13768,0.04519877981069052,0.0158120859859479,0.21276609475736083,0.5483004067402673,-0.0712257693278942,0.12348834693015712,14202
无无负,换挡,1177,0.007854748630220234,0.0039236201935652,0.07256710707902018,0.5284621920135939,-0.0252427184466019,0.0338600451467268,1172,0.009212370747880685,0.004396799033670551,0.08648644196087582,0.5281569965870307,-0.03816830250102497,0.049541487819437575,1163,0.027119843359876973,0.0116391852570318,0.13046034576655777,0.5391229578675838,-0.0497439036870192,0.089477575913077,1156,0.03985612988952335,0.01061922530396525,0.19601635063780798,0.5242214532871973,-0.07489841569528807,0.11497778950609142,1177
无无负,降级,14498,0.004924872362362659,0.0019685039370078,0.061989594008476374,0.5133121809904815,-0.027683838043705427,0.0342577312771333,14446,0.01013426695159963,0.0052417842536277,0.08759887117737038,0.5306659282846463,-0.038948596134147875,0.0529404622460933,14331,0.01771034453849635,0.0056497175141243,0.1315525579145785,0.521038308561859,-0.0575689171625967,0.07812807881773395,13948,0.031247118185092647,0.0064630609772832505,0.19625637725040754,0.5197160883280757,-0.0771950987238906,0.10902755559110537,14542
无正无,升级,9927,0.006840133761361152,0.0005991611743558,0.0649891688475063,0.5024680165206004,-0.028790540181336997,0.03421476396304775,9907,0.011694660496409942,0.0030911901081915,0.09577028880624183,0.51630160492581,-0.0415016049479371,0.051093284211710305,9836,0.020999993835771273,0.0010315585631597,0.1479660989360966,0.5030500203334689,-0.05991243004962425,0.07548176078012457,9650,0.03782482560511065,-0.0017982742725456999,0.22695782868623307,0.4933678756476684,-0.09230813930926753,0.11446416213329841,9946
