combo,1w_n,1w_mean,1w_median,1w_std,1w_win,1w_p25,1w_p75,2w_n,2w_mean,2w_median,2w_std,2w_win,2w_p25,2w_p75,1m_n,1m_mean,1m_median,1m_std,1m_win,1m_p25,1m_p75,2m_n,2m_mean,2m_median,2m_std,2m_win,2m_p25,2m_p75,events,day_share
无无无,156405,0.0037440921221111793,0.0,0.06280031695388522,0.49406348901889324,-0.029383274136260962,0.03135689851767376,155950,0.006557036269286665,0.0,0.09043198076828332,0.49514588008977234,-0.04308626852432479,0.04569276556554214,154568,0.015741497738949003,0.0,0.14295783694996234,0.4966810724082604,-0.06362251262658414,0.07167844258359507,152391,0.034634136481373486,0.0015552099533437946,0.2177828992200558,0.5035467973830475,-0.08756436953868885,0.10969024361881519,156912,0.3944638294904445
无无正,44015,0.005527343588945558,-0.0005165289256197081,0.07910406522589028,0.4931727820061343,-0.036929057337220406,0.0408551333164735,43987,0.008987739554642597,-0.0014655593551536894,0.11924977911159677,0.49009934753449885,-0.05410501496084752,0.05719518004446911,43880,0.01821469650192555,-0.005555555555555647,0.18062478930231696,0.4776435733819508,-0.07864703463006209,0.08268130424830622,43725,0.03464362936998506,-0.007653061224489721,0.2502589504177644,0.4780331618067467,-0.10673575129533674,0.11477838934169271,44050,0.08770196580843542
无无负,29839,0.005423780199506753,0.0017259978425026024,0.06586792585087325,0.5109420556989175,-0.028207797472958762,0.033898305084745894,29754,0.010278301681125125,0.004146714387231576,0.0909394308233077,0.523425421792028,-0.03978043136595355,0.05196039701743138,29516,0.021887738839953867,0.008735260643660148,0.13961590029217513,0.5325924922076162,-0.056801501962792295,0.08263417557454039,28872,0.03824484937072418,0.010814005902414436,0.204394263410525,0.5335272928789139,-0.07433465304406939,0.11583422964670542,29921,0.052298318590842205
无正无,30531,0.005322212318387152,0.0,0.06382677706915235,0.4929743539353444,-0.029358787350660387,0.03240600533907623,30455,0.01126252353130652,0.001512859304084735,0.09397596406816641,0.5068133311443113,-0.04147445252227078,0.050027012634301204,30291,0.02181085499367156,0.002178649237472907,0.1465907411604391,0.5070482981743752,-0.0597705160452196,0.07567567567567557,29734,0.042241659046589594,0.0,0.23341491466354392,0.49926010627564404,-0.08997334516307604,0.11985451563939942,30596,0.033256432671518156
无正正,32143,0.007382631578422934,-0.002057613168724437,0.09096673683841143,0.4835267398811561,-0.041126365383791164,0.043337814266758756,32117,0.015496836359304182,0.001232032854209475,0.129699579233662,0.5042500856244356,-0.05487812500000011,0.0652304009575102,32074,0.029285835734333618,0.0018606425425148343,0.19443697799882903,0.5051443536821101,-0.073848337385651,0.09913793103448282,32014,0.041613923665770165,-0.008753139186886472,0.2804857494130386,0.4783532204660461,-0.11370484379393522,0.12332255055039865,32166,0.03885706701733549
无正负,76,0.017114696626402567,0.004050589419359096,0.07045962207608242,0.5526315789473685,-0.019809340197936204,0.02932061006443193,76,0.009296633845282955,0.009366145468904685,0.08599096120944952,0.5657894736842105,-0.04784949857000409,0.046207172911240324,76,-0.0020852827795289877,-0.0190632317865167,0.11496682529229119,0.40789473684210525,-0.07110801336344805,0.04312044834677292,67,0.008510756167931654,-0.0021620378974309684,0.1689401675422143,0.4925373134328358,-0.09008627497433463,0.08918437200320684,76,5.687985552516697e-05
无负无,30068,0.0042397521429191065,0.0015949125596183,0.06362696061872346,0.5118398297193029,-0.027304863814093083,0.031006943546231458,30027,0.008352389781788665,0.0019550342130985054,0.08932708662121192,0.5098411429713258,-0.03963072764794329,0.04642383478590373,29995,0.020335343834124088,0.006992825325042196,0.13276049994995298,0.528621436906151,-0.05572654288814105,0.07412038891845496,29314,0.03559087353858437,0.008196721311475308,0.19804587146503191,0.5235723545063792,-0.07713029795094584,0.10682706533909142,30106,0.032798685262768
无负正,99,-0.012768901328885742,-0.004555808656036331,0.09086790257288954,0.46464646464646464,-0.04646294876184309,0.0388561226483809,99,-0.009641156738289003,-0.009575923392612928,0.10834910709802618,0.45454545454545453,-0.05943219242140163,0.041579807888820874,99,0.0030265019929739153,-0.007366482504604144,0.15605230883397822,0.47474747474747475,-0.09293182045887188,0.08461827477128636,99,0.023157873772669108,0.03157048059521417,0.20242667893242633,0.5454545454545454,-0.08722309768334874,0.10681217180000291,99,7.245410168086744e-05
无负负,19840,0.005601766982116079,0.003106685166869627,0.06598974727773431,0.5211693548387096,-0.028613440504377113,0.03555134938705973,19819,0.014216958160877218,0.00588235294117645,0.09439448837463757,0.5325192996619406,-0.039601346618294286,0.05582822085889583,19808,0.0345592213991325,0.018372671466005408,0.14940384020061673,0.5707289983844911,-0.05093618861517751,0.09641868167357237,19519,0.0537835453212785,0.02577364020343076,0.22337471783092688,0.578871868435883,-0.061476909602102114,0.1282901899389065,19868,0.023613265736590745
正无无,53987,0.005130694125726528,-0.00022527596305454978,0.06758859389861226,0.4904143590123548,-0.02895537917809632,0.029342257616542522,53806,0.00996017511682449,0.0030446035109574776,0.0952123215704771,0.5176560234918038,-0.04029714067027501,0.047418301832347465,53276,0.022704552981012524,0.006644518272425293,0.1497047252069121,0.5256963736016217,-0.059971058782519904,0.07992103801094813,52505,0.04048808365390799,0.006711102908277589,0.22569519153659356,0.5179125797543092,-0.08489388264669173,0.11735769501054105,54108,0.056149897379260655
