factor,quintile,mean_5d,median_5d,n_5d,mean_10d,median_10d,n_10d,mean_20d,median_20d,n_20d
趋势值（用户现行做法：越大越好）,Q1,0.87,0.19,265,1.35,-0.19,265,4.16,2.24,265
趋势值（用户现行做法：越大越好）,Q2,0.73,0.0,229,0.81,-0.3,229,2.83,1.41,229
趋势值（用户现行做法：越大越好）,Q3,0.52,0.1,235,0.86,0.12,235,2.97,1.97,235
趋势值（用户现行做法：越大越好）,Q4,0.96,0.16,229,1.93,0.49,229,3.48,1.46,229
趋势值（用户现行做法：越大越好）,Q5,0.71,-0.07,250,1.15,0.85,250,2.28,0.54,250
趋势产生新鲜度（天）,Q1,0.43,0.0,265,1.16,-0.24,265,3.2,1.62,265
趋势产生新鲜度（天）,Q2,0.26,-0.23,229,0.69,-0.52,229,3.03,1.35,229
趋势产生新鲜度（天）,Q3,1.08,0.2,235,1.18,-0.24,235,3.23,1.43,235
趋势产生新鲜度（天）,Q4,1.22,0.26,229,1.68,0.92,229,3.41,2.3,229
趋势产生新鲜度（天）,Q5,0.85,0.18,250,1.38,0.91,250,2.93,0.97,250
趋势质量 ER,Q1,0.57,0.15,265,0.92,-0.25,265,3.48,2.03,265
趋势质量 ER,Q2,0.81,-0.18,229,0.73,-0.43,229,3.1,0.37,229
趋势质量 ER,Q3,0.67,0.1,235,0.98,0.2,235,2.81,2.34,235
趋势质量 ER,Q4,0.64,0.19,229,1.22,0.54,229,3.24,2.05,229
趋势质量 ER,Q5,1.11,0.18,250,2.21,1.14,250,3.11,1.36,250
12-1 动量（跳过近 21 日）,Q1,0.54,0.15,226,1.42,1.19,226,3.82,2.08,226
12-1 动量（跳过近 21 日）,Q2,1.06,0.27,192,1.1,0.31,192,3.04,1.75,192
12-1 动量（跳过近 21 日）,Q3,0.82,0.19,191,1.06,0.13,191,3.18,1.71,191
12-1 动量（跳过近 21 日）,Q4,1.34,0.25,192,1.32,-0.05,192,3.67,1.31,192
12-1 动量（跳过近 21 日）,Q5,0.86,0.32,210,1.31,-0.34,210,3.45,0.96,210
波动调整动量 ret/σ,Q1,1.06,0.19,253,1.87,0.91,253,4.07,2.46,253
波动调整动量 ret/σ,Q2,0.57,0.1,221,0.9,-0.24,221,3.28,1.53,221
波动调整动量 ret/σ,Q3,0.87,0.23,221,1.12,0.28,221,3.68,1.12,221
波动调整动量 ret/σ,Q4,0.68,-0.07,221,0.95,0.0,221,2.57,1.15,221
波动调整动量 ret/σ,Q5,0.38,-0.03,240,0.52,-0.38,240,1.41,0.45,240
52 周新高距离（越近越强）,Q1,0.68,-0.14,256,1.21,0.18,256,3.38,2.41,256
52 周新高距离（越近越强）,Q2,0.6,-0.31,224,1.17,0.17,224,3.46,0.6,224
52 周新高距离（越近越强）,Q3,0.76,0.05,224,0.97,-0.09,224,3.72,1.23,224
52 周新高距离（越近越强）,Q4,0.49,0.14,224,0.43,0.32,224,1.78,0.81,224
52 周新高距离（越近越强）,Q5,0.92,0.22,244,1.65,0.21,244,2.63,1.16,244
回归斜率×R²（Clenow）,Q1,0.53,-0.41,263,1.29,0.73,263,3.18,2.26,263
回归斜率×R²（Clenow）,Q2,0.54,-0.23,228,1.02,0.16,228,3.36,1.61,228
回归斜率×R²（Clenow）,Q3,0.81,0.42,231,1.29,0.08,231,3.43,1.62,231
回归斜率×R²（Clenow）,Q4,1.15,0.3,228,1.35,0.24,228,3.1,1.65,228
回归斜率×R²（Clenow）,Q5,0.79,0.2,248,1.13,0.25,248,2.78,1.03,248
止损宽度 ATR%（越小越好）,Q1,1.31,0.29,265,1.69,0.0,265,3.64,1.31,265
止损宽度 ATR%（越小越好）,Q2,1.0,0.22,229,1.42,0.03,229,3.64,1.22,229
止损宽度 ATR%（越小越好）,Q3,0.53,0.0,235,1.1,0.35,235,2.94,2.27,235
止损宽度 ATR%（越小越好）,Q4,0.74,0.18,229,1.15,0.09,229,3.08,1.17,229
止损宽度 ATR%（越小越好）,Q5,0.2,-0.06,250,0.72,0.44,250,2.48,2.05,250
过热 bias_atr（越小越好）,Q1,0.99,0.15,265,1.79,0.69,265,3.35,1.65,265
过热 bias_atr（越小越好）,Q2,0.7,0.2,229,0.82,0.3,229,2.25,1.1,229
过热 bias_atr（越小越好）,Q3,0.52,0.1,235,0.85,0.23,235,2.95,1.61,235
过热 bias_atr（越小越好）,Q4,0.7,-0.08,229,0.93,-0.25,229,3.13,1.53,229
过热 bias_atr（越小越好）,Q5,0.87,0.12,250,1.59,-0.03,250,4.0,1.97,250
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q1,1.15,0.43,265,2.0,0.35,265,4.36,2.49,265
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q2,0.34,-0.16,229,0.75,-0.17,229,3.08,0.67,229
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q3,0.37,-0.16,235,0.61,0.33,235,2.49,1.71,235
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q4,1.04,0.19,229,1.2,0.71,229,2.76,2.13,229
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q5,0.84,0.11,250,1.43,0.24,250,2.95,0.65,250
