factor,quintile,mean_5d,median_5d,n_5d,mean_10d,median_10d,n_10d,mean_20d,median_20d,n_20d
趋势值（用户现行做法：越大越好）,Q1,0.62,-0.1,6652,1.04,0.17,6652,2.26,0.49,6652
趋势值（用户现行做法：越大越好）,Q2,0.52,-0.14,6015,1.1,0.14,6015,2.38,0.43,6015
趋势值（用户现行做法：越大越好）,Q3,0.54,0.0,6042,1.13,0.09,6042,2.22,0.19,6042
趋势值（用户现行做法：越大越好）,Q4,0.61,-0.01,6015,1.09,0.12,6015,1.95,0.09,6015
趋势值（用户现行做法：越大越好）,Q5,0.76,-0.03,6414,1.53,0.06,6414,2.51,0.0,6414
趋势产生新鲜度（天）,Q1,0.44,-0.18,6641,0.86,0.0,6641,1.93,0.41,6641
趋势产生新鲜度（天）,Q2,0.71,0.03,6008,1.35,0.26,6008,2.74,0.71,6008
趋势产生新鲜度（天）,Q3,0.65,0.0,6030,1.15,0.15,6030,2.16,0.24,6030
趋势产生新鲜度（天）,Q4,0.69,-0.12,6008,1.39,0.16,6008,2.46,0.0,6008
趋势产生新鲜度（天）,Q5,0.61,-0.12,6407,1.18,0.1,6407,2.09,-0.2,6407
趋势质量 ER,Q1,0.66,-0.07,6652,1.13,0.23,6652,2.23,0.4,6652
趋势质量 ER,Q2,0.64,0.0,6015,1.09,0.2,6015,2.3,0.2,6015
趋势质量 ER,Q3,0.56,0.0,6042,0.96,0.06,6042,2.15,0.25,6042
趋势质量 ER,Q4,0.49,-0.18,6015,1.28,0.07,6015,2.44,0.0,6015
趋势质量 ER,Q5,0.71,-0.09,6414,1.43,0.0,6414,2.23,0.25,6414
12-1 动量（跳过近 21 日）,Q1,0.52,-0.18,5860,0.89,0.0,5860,1.87,0.05,5860
12-1 动量（跳过近 21 日）,Q2,0.52,-0.16,5320,1.07,0.07,5320,2.08,0.19,5320
12-1 动量（跳过近 21 日）,Q3,0.64,0.0,5323,1.15,0.21,5323,2.41,0.65,5323
12-1 动量（跳过近 21 日）,Q4,0.76,0.04,5320,1.34,0.22,5320,2.43,0.38,5320
12-1 动量（跳过近 21 日）,Q5,0.5,-0.15,5675,1.17,-0.11,5675,2.11,-0.33,5675
波动调整动量 ret/σ,Q1,0.57,-0.1,6363,0.99,0.15,6363,1.97,0.23,6363
波动调整动量 ret/σ,Q2,0.7,0.0,5753,1.12,0.18,5753,2.18,0.19,5753
波动调整动量 ret/σ,Q3,0.69,0.0,5780,1.24,0.15,5780,2.5,0.37,5780
波动调整动量 ret/σ,Q4,0.54,-0.21,5753,1.22,0.0,5753,2.23,0.0,5753
波动调整动量 ret/σ,Q5,0.27,-0.3,6150,0.89,-0.21,6150,1.54,-0.4,6150
52 周新高距离（越近越强）,Q1,0.64,-0.15,6386,1.09,0.0,6386,2.22,0.04,6386
52 周新高距离（越近越强）,Q2,0.58,-0.06,5779,1.08,0.13,5779,2.26,0.45,5779
52 周新高距离（越近越强）,Q3,0.53,-0.06,5803,1.15,0.18,5803,2.17,0.28,5803
52 周新高距离（越近越强）,Q4,0.6,-0.03,5779,1.1,0.08,5779,1.99,0.0,5779
52 周新高距离（越近越强）,Q5,0.5,-0.13,6175,1.06,-0.06,6175,1.84,-0.37,6175
回归斜率×R²（Clenow）,Q1,0.64,-0.06,6540,1.0,0.17,6540,2.04,0.53,6540
回归斜率×R²（Clenow）,Q2,0.54,0.0,5921,1.0,0.06,5921,2.2,0.37,5921
回归斜率×R²（Clenow）,Q3,0.79,0.12,5936,1.45,0.33,5936,2.57,0.53,5936
回归斜率×R²（Clenow）,Q4,0.62,-0.13,5921,1.3,0.08,5921,2.23,0.0,5921
回归斜率×R²（Clenow）,Q5,0.52,-0.24,6324,1.17,-0.14,6324,2.18,-0.56,6324
止损宽度 ATR%（越小越好）,Q1,1.03,-0.04,6652,1.98,0.13,6652,3.56,0.14,6652
止损宽度 ATR%（越小越好）,Q2,0.71,-0.05,6015,1.37,0.31,6015,2.54,0.25,6015
止损宽度 ATR%（越小越好）,Q3,0.59,-0.05,6042,1.13,0.07,6042,2.21,0.27,6042
止损宽度 ATR%（越小越好）,Q4,0.37,-0.14,6015,0.73,0.0,6015,1.45,0.2,6015
止损宽度 ATR%（越小越好）,Q5,0.35,0.0,6414,0.64,0.09,6414,1.48,0.27,6414
过热 bias_atr（越小越好）,Q1,0.64,-0.13,6652,1.35,-0.05,6652,2.28,-0.47,6652
过热 bias_atr（越小越好）,Q2,0.76,0.05,6015,1.37,0.33,6015,2.37,0.18,6015
过热 bias_atr（越小越好）,Q3,0.58,0.0,6042,1.14,0.19,6042,2.28,0.31,6042
过热 bias_atr（越小越好）,Q4,0.54,-0.08,6015,1.02,0.06,6015,2.12,0.47,6015
过热 bias_atr（越小越好）,Q5,0.54,-0.17,6414,1.02,0.08,6414,2.27,0.65,6414
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q1,0.46,-0.23,6652,0.93,-0.19,6652,2.01,0.1,6652
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q2,0.49,-0.04,6015,0.99,0.18,6015,2.33,0.67,6015
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q3,0.67,0.06,6042,1.18,0.24,6042,2.05,0.42,6042
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q4,0.8,0.0,6015,1.46,0.37,6015,2.53,0.29,6015
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q5,0.66,-0.13,6414,1.36,-0.1,6414,2.43,-0.44,6414
