factor,quintile,mean_5d,median_5d,n_5d,mean_10d,median_10d,n_10d,mean_20d,median_20d,n_20d
趋势值（用户现行做法：越大越好）,Q1,0.45,0.14,958,0.8,0.44,958,0.61,0.07,958
趋势值（用户现行做法：越大越好）,Q2,0.32,0.21,846,0.93,0.24,846,0.97,0.23,846
趋势值（用户现行做法：越大越好）,Q3,0.41,0.26,856,1.16,0.57,856,1.41,0.63,856
趋势值（用户现行做法：越大越好）,Q4,0.29,0.12,846,1.01,0.52,846,0.96,0.28,846
趋势值（用户现行做法：越大越好）,Q5,0.59,0.0,917,1.44,0.54,917,1.6,0.69,917
金叉新鲜度（天，越小越新鲜）,Q1,0.66,0.2,958,1.25,0.34,958,1.42,0.56,958
金叉新鲜度（天，越小越新鲜）,Q2,0.2,0.0,846,1.01,0.15,846,0.92,0.1,846
金叉新鲜度（天，越小越新鲜）,Q3,0.44,0.16,856,1.01,0.67,856,1.07,0.47,856
金叉新鲜度（天，越小越新鲜）,Q4,0.38,0.28,846,0.96,0.51,846,1.04,0.28,846
金叉新鲜度（天，越小越新鲜）,Q5,0.37,0.22,917,1.06,0.55,917,1.04,0.32,917
趋势质量 ER,Q1,0.14,0.04,958,0.69,0.09,958,0.67,-0.24,958
趋势质量 ER,Q2,0.59,0.12,846,1.11,0.31,846,0.93,-0.33,846
趋势质量 ER,Q3,0.56,0.34,856,1.26,0.69,856,1.5,0.89,856
趋势质量 ER,Q4,0.25,0.23,846,0.93,0.52,846,0.91,0.45,846
趋势质量 ER,Q5,0.57,0.15,917,1.35,0.66,917,1.54,1.05,917
12-1 动量（跳过近 21 日）,Q1,0.32,-0.08,806,0.84,0.08,806,0.74,0.0,806
12-1 动量（跳过近 21 日）,Q2,0.56,0.27,715,0.82,0.54,715,0.87,0.36,715
12-1 动量（跳过近 21 日）,Q3,0.53,0.16,713,1.16,0.45,713,1.18,0.48,713
12-1 动量（跳过近 21 日）,Q4,0.24,0.05,715,1.05,0.5,715,0.8,-0.14,715
12-1 动量（跳过近 21 日）,Q5,-0.07,-0.11,764,0.77,-0.0,764,0.32,-0.31,764
波动调整动量 ret/σ,Q1,0.41,0.16,912,0.95,0.19,912,1.03,0.13,912
波动调整动量 ret/σ,Q2,0.8,0.21,799,1.5,0.77,799,2.1,0.74,799
波动调整动量 ret/σ,Q3,0.65,0.33,810,1.28,0.5,810,1.6,0.93,810
波动调整动量 ret/σ,Q4,0.3,0.26,799,0.9,0.43,799,0.49,-0.07,799
波动调整动量 ret/σ,Q5,-0.16,-0.1,867,0.28,0.04,867,-0.35,-0.28,867
52 周新高距离（越近越强）,Q1,0.15,-0.09,917,0.45,0.0,917,0.14,-0.43,917
52 周新高距离（越近越强）,Q2,0.37,0.0,805,0.78,0.1,805,0.65,-0.16,805
52 周新高距离（越近越强）,Q3,0.31,0.16,812,1.0,0.56,812,1.45,0.41,812
52 周新高距离（越近越强）,Q4,0.53,0.4,805,1.18,0.71,805,1.08,0.62,805
52 周新高距离（越近越强）,Q5,0.65,0.31,876,1.48,0.82,876,1.46,0.81,876
回归斜率×R²（Clenow）,Q1,0.47,0.22,940,0.87,0.2,940,0.88,0.28,940
回归斜率×R²（Clenow）,Q2,0.42,0.2,822,0.92,0.43,822,1.01,0.12,822
回归斜率×R²（Clenow）,Q3,0.51,0.26,842,1.39,0.64,842,1.64,0.84,842
回归斜率×R²（Clenow）,Q4,0.43,0.13,822,1.22,0.64,822,1.05,0.23,822
回归斜率×R²（Clenow）,Q5,0.24,0.08,898,0.83,0.51,898,0.46,0.1,898
止损宽度 ATR%（越小越好）,Q1,0.72,0.45,958,1.73,0.73,958,1.81,0.68,958
止损宽度 ATR%（越小越好）,Q2,0.25,0.0,846,0.94,0.28,846,0.57,-0.37,846
止损宽度 ATR%（越小越好）,Q3,0.47,0.0,856,0.97,0.35,856,1.2,0.17,856
止损宽度 ATR%（越小越好）,Q4,0.29,0.19,846,0.77,0.31,846,0.92,0.12,846
止损宽度 ATR%（越小越好）,Q5,0.33,0.21,917,0.84,0.62,917,0.94,0.81,917
过热 bias_atr（越小越好）,Q1,0.71,0.24,958,1.73,0.96,958,2.18,0.82,958
过热 bias_atr（越小越好）,Q2,0.44,0.19,846,1.01,0.56,846,1.07,0.5,846
过热 bias_atr（越小越好）,Q3,0.45,0.23,856,0.95,0.44,856,1.1,0.47,856
过热 bias_atr（越小越好）,Q4,0.31,0.2,846,0.88,0.31,846,0.82,0.06,846
过热 bias_atr（越小越好）,Q5,0.16,0.0,917,0.7,0.08,917,0.29,-0.15,917
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q1,0.27,0.15,958,0.57,0.3,958,0.31,0.07,958
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q2,0.18,0.2,846,0.84,0.41,846,0.58,-0.18,846
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q3,0.4,0.12,856,1.13,0.58,856,1.47,0.8,856
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q4,0.33,0.0,846,1.01,0.31,846,1.01,0.45,846
近 20 日涨幅（不跳过，对照组——文献预期它在 A 股无效或反向）,Q5,0.89,0.34,917,1.78,0.74,917,2.17,0.5,917
