factor,quintile,mean_5d,median_5d,n_5d,mean_10d,median_10d,n_10d,mean_20d,median_20d,n_20d
趋势值（用户现行做法：越大越好）,Q1,0.69,0.0,13869,1.13,0.15,13869,2.16,0.11,13869
趋势值（用户现行做法：越大越好）,Q2,0.63,-0.1,12912,1.25,0.27,12912,2.45,0.29,12912
趋势值（用户现行做法：越大越好）,Q3,0.71,-0.03,12897,1.13,0.18,12897,2.17,0.2,12897
趋势值（用户现行做法：越大越好）,Q4,0.83,-0.13,12912,1.33,0.14,12912,2.5,0.23,12912
趋势值（用户现行做法：越大越好）,Q5,0.88,-0.17,13533,1.58,-0.14,13533,2.7,0.0,13533
金叉新鲜度（天，越小越新鲜）,Q1,0.68,-0.19,13869,1.16,-0.04,13869,2.2,-0.08,13869
金叉新鲜度（天，越小越新鲜）,Q2,0.83,-0.06,12912,1.36,0.11,12912,2.6,0.26,12912
金叉新鲜度（天，越小越新鲜）,Q3,0.75,-0.09,12897,1.33,0.19,12897,2.54,0.31,12897
金叉新鲜度（天，越小越新鲜）,Q4,0.74,-0.09,12912,1.24,0.13,12912,2.29,0.4,12912
金叉新鲜度（天，越小越新鲜）,Q5,0.74,0.0,13533,1.34,0.24,13533,2.36,0.0,13533
趋势质量 ER,Q1,0.7,0.0,13869,1.04,0.12,13869,2.06,0.0,13869
趋势质量 ER,Q2,0.79,0.0,12912,1.28,0.26,12912,2.4,0.13,12912
趋势质量 ER,Q3,0.72,-0.1,12897,1.29,0.09,12897,2.38,0.24,12897
趋势质量 ER,Q4,0.75,-0.14,12912,1.31,0.0,12912,2.43,0.16,12912
趋势质量 ER,Q5,0.79,-0.22,13533,1.51,0.1,13533,2.72,0.29,13533
12-1 动量（跳过近 21 日）,Q1,0.72,-0.17,12292,1.01,0.0,12292,1.83,-0.16,12292
12-1 动量（跳过近 21 日）,Q2,0.83,0.0,11405,1.29,0.18,11405,2.45,0.36,11405
12-1 动量（跳过近 21 日）,Q3,0.81,0.0,11420,1.45,0.2,11420,2.39,0.21,11420
12-1 动量（跳过近 21 日）,Q4,0.66,-0.13,11405,1.34,0.18,11405,2.54,0.39,11405
12-1 动量（跳过近 21 日）,Q5,0.67,-0.23,11971,1.16,-0.07,11971,2.14,-0.53,11971
波动调整动量 ret/σ,Q1,0.62,-0.14,13237,0.86,0.0,13237,1.52,-0.2,13237
波动调整动量 ret/σ,Q2,0.83,-0.06,12287,1.39,0.22,12287,2.5,0.17,12287
波动调整动量 ret/σ,Q3,0.77,-0.11,12327,1.44,0.18,12327,2.67,0.33,12327
波动调整动量 ret/σ,Q4,0.8,-0.12,12287,1.43,0.02,12287,2.48,0.05,12287
波动调整动量 ret/σ,Q5,0.5,-0.22,12899,0.94,-0.09,12899,1.74,-0.44,12899
52 周新高距离（越近越强）,Q1,0.7,-0.17,13326,0.93,0.0,13326,1.55,-0.41,13326
