kind,date,pool_size,eval_pool,rho_bar,n_eff,top_category_l1_share,top_category_l2_share,n_categories_l1,n_categories_l2
state,2015-01-08,32,25,0.3336143029092876,2.7756980798778303,0.84375,0.15625,2,16
state,2015-01-15,21,16,0.420050903144659,2.191551595476934,0.9523809523809523,0.23809523809523808,2,11
state,2015-01-22,26,21,0.409833317158442,2.283436107867338,0.9615384615384616,0.5,2,9
state,2015-01-29,29,20,0.43790397291192135,2.1458823421820323,1.0,0.27586206896551724,1,10
state,2015-02-05,15,11,0.5077909253369898,1.809832878617108,0.9333333333333333,0.26666666666666666,2,8
state,2015-02-12,18,16,0.40404606256605663,2.266067179456496,1.0,0.4444444444444444,1,8
state,2015-02-26,41,32,0.3794223066801961,2.5074259953575933,0.8048780487804879,0.24390243902439024,2,15
state,2015-03-05,32,25,0.37957759391183227,2.4728329004082705,0.90625,0.21875,2,14
state,2015-03-12,19,16,0.39917999828452616,2.2897376903587414,0.8947368421052632,0.21052631578947367,2,12
state,2015-03-19,39,33,0.3404376700919651,2.774506885700142,0.7948717948717948,0.28205128205128205,2,15
state,2015-03-26,30,24,0.35727759856455577,2.60377543161312,0.8333333333333334,0.23333333333333334,2,14
state,2015-04-02,31,24,0.3476230916930629,2.6680507598154373,0.8387096774193549,0.16129032258064516,2,15
state,2015-04-10,33,27,0.2955822246804791,3.108758950305682,0.7575757575757576,0.30303030303030304,2,15
state,2015-04-17,19,14,0.3744843830012422,2.3857006641042857,0.7368421052631579,0.2631578947368421,2,12
state,2015-04-24,23,17,0.3031210001778118,2.906014696867183,0.8695652173913043,0.2608695652173913,2,11
state,2015-05-04,15,10,0.26679452533650166,2.9401813679091267,0.8666666666666667,0.2,2,9
state,2015-05-11,13,7,0.3000141926691657,2.4999239701560403,1.0,0.46153846153846156,1,5
state,2015-05-18,16,10,0.34930494489515873,2.4132762022877414,1.0,0.375,1,6
state,2015-05-25,36,29,0.3496489605579323,2.687631204410874,0.8333333333333334,0.2777777777777778,2,14
state,2015-06-01,36,26,0.3721287499980203,2.5234832561547713,0.9166666666666666,0.2777777777777778,2,14
state,2015-06-08,26,20,0.4541538223237846,2.0770755753955967,0.8076923076923077,0.2692307692307692,2,12
state,2015-06-15,13,10,0.506538688860513,1.7989338151848466,0.8461538461538461,0.38461538461538464,2,6
state,2015-07-14,8,6,0.5777746534838355,1.5428633404610421,0.75,0.25,2,7
state,2015-07-21,34,20,0.6472885059420124,1.5039310939530075,0.8235294117647058,0.23529411764705882,2,16
state,2015-07-28,35,14,0.6864471272686751,1.4107481154092347,0.9142857142857143,0.17142857142857143,2,14
state,2015-08-04,29,18,0.7179067913057099,1.3631803744106674,0.7931034482758621,0.2413793103448276,2,13
state,2015-08-11,29,13,0.6562194769201689,1.4648491876624614,0.896551724137931,0.2413793103448276,2,12
state,2015-08-18,38,18,0.6640312302882244,1.464780462746368,0.8157894736842105,0.23684210526315788,2,13
state,2015-09-10,18,9,0.6654884360114275,1.4231707242631149,0.7777777777777778,0.2777777777777778,2,11
state,2015-09-17,28,14,0.7870868614924119,1.2464244090734076,0.7857142857142857,0.21428571428571427,2,15
state,2015-09-24,46,23,0.6826405645682969,1.4358763450859418,0.8913043478260869,0.30434782608695654,2,17
state,2015-10-08,33,20,0.7200762020137308,1.3622634647707288,0.7878787878787878,0.21212121212121213,2,13
state,2015-10-15,40,33,0.7096687017024415,1.3918531110504453,0.85,0.125,2,19
state,2015-10-22,43,34,0.6747354413414294,1.4613429929574064,0.8837209302325582,0.3488372093023256,2,15
state,2015-10-29,34,25,0.6936501916663576,1.4166228543000396,0.7941176470588235,0.20588235294117646,2,13
state,2015-11-05,31,30,0.7526320427389813,1.314271764212428,0.7419354838709677,0.1935483870967742,2,19
state,2015-11-12,45,34,0.6967858903987794,1.4170247970613394,0.9333333333333333,0.3333333333333333,2,15
state,2015-11-19,20,15,0.7577613399291352,1.2921389379596115,0.75,0.15,2,11
state,2015-11-26,16,12,0.6912878351791557,1.3946732012419283,1.0,0.5625,1,6
state,2015-12-10,8,5,0.4956561994490201,1.6763757894370748,1.0,0.25,1,6
state,2015-12-17,15,11,0.5411146912042607,1.715761649345105,0.8666666666666667,0.2,2,9
state,2015-12-24,28,27,0.5221875726993895,1.8522486128823268,0.75,0.21428571428571427,2,17
state,2015-12-31,15,11,0.48035262586724187,1.8953993675073502,0.9333333333333333,0.4,2,8
state,2016-01-22,7,6,0.5529175841937733,1.5937999393186757,1.0,0.42857142857142855,1,5
state,2016-01-29,8,5,0.5213698489440242,1.6204937251711382,1.0,0.5,1,5
state,2016-02-05,34,30,0.6024985662313992,1.6240393842957692,0.8529411764705882,0.23529411764705882,2,15
state,2016-02-19,46,41,0.6723937095359248,1.469758023315235,0.8695652173913043,0.2826086956521739,2,17
state,2016-02-26,37,32,0.6642563905351193,1.4820339434881897,0.8108108108108109,0.21621621621621623,2,14
state,2016-03-04,26,21,0.6780256872157043,1.4422568028000076,0.8076923076923077,0.19230769230769232,2,15
state,2016-03-11,35,30,0.6822565472697065,1.4433180238881482,0.8285714285714286,0.17142857142857143,2,17
state,2016-03-18,33,31,0.7599275153014265,1.3026400270626612,0.8181818181818182,0.2727272727272727,2,12
state,2016-03-25,36,33,0.6869525905523103,1.435876190876659,0.8333333333333334,0.19444444444444445,2,14
state,2016-04-01,48,37,0.7020972580818067,1.4081558174781919,0.875,0.2708333333333333,2,17
state,2016-04-11,30,27,0.7330431259061809,1.3460210759874036,0.8666666666666667,0.26666666666666666,2,12
state,2016-04-18,22,15,0.7139188518068665,1.3642733645378877,0.8636363636363636,0.2727272727272727,2,9
state,2016-04-25,8,6,0.5155687013269284,1.676987824893343,0.875,0.25,2,6
state,2016-05-03,13,7,0.5005373825482279,1.7485905069663388,0.8461538461538461,0.3076923076923077,2,6
state,2016-05-17,10,7,0.4696952801164421,1.8333382009473005,1.0,0.3,1,5
state,2016-05-24,13,10,0.563593570996998,1.64681102795886,0.8461538461538461,0.46153846153846156,2,7
state,2016-05-31,32,27,0.5161330269552409,1.8724697341401673,0.84375,0.25,2,15
state,2016-06-07,47,36,0.5269867681717534,1.8514197695239958,0.9148936170212766,0.2978723404255319,2,14
state,2016-06-16,26,21,0.5325473683884486,1.802428535390532,0.8076923076923077,0.19230769230769232,2,14
state,2016-06-23,32,25,0.5174101253821868,1.8631906769895812,0.78125,0.15625,2,13
state,2016-06-30,39,34,0.5395469190278738,1.8080251327788528,0.8974358974358975,0.28205128205128205,2,17
state,2016-07-07,29,23,0.5397609797772057,1.7864436269706532,0.7931034482758621,0.13793103448275862,2,13
state,2016-07-14,26,21,0.47256318673490816,2.009326387035863,0.6923076923076923,0.15384615384615385,2,16
state,2016-07-21,18,17,0.4691024259706433,1.9986740994644643,0.9444444444444444,0.2222222222222222,2,11
state,2016-07-28,6,5,0.35478231913967373,2.066859364834232,1.0,0.3333333333333333,1,5
state,2016-08-11,13,12,0.350067416088004,2.4738485465763773,0.8461538461538461,0.3076923076923077,2,9
state,2016-08-18,38,35,0.43261937242621634,2.228013832781068,0.8947368421052632,0.2894736842105263,2,14
state,2016-08-25,26,24,0.487245720825147,1.9661411522002863,0.9230769230769231,0.19230769230769232,2,10
state,2016-09-01,17,14,0.40647631587760613,2.227812225174055,1.0,0.4117647058823529,1,8
state,2016-09-08,33,30,0.39423077909334053,2.4129929839321584,0.9393939393939394,0.2727272727272727,2,9
state,2016-10-10,30,27,0.3588898815108521,2.613458732659605,0.8,0.23333333333333334,2,14
state,2016-10-17,29,28,0.40687389045331834,2.3361376636973374,0.896551724137931,0.2413793103448276,2,15
state,2016-10-24,36,28,0.415200691240798,2.293123665259363,0.7777777777777778,0.25,2,14
state,2016-10-31,27,26,0.3871513112864981,2.434734419678401,0.8148148148148148,0.2222222222222222,2,11
state,2016-11-07,17,16,0.3386397646560498,2.631753617098063,1.0,0.23529411764705882,1,9
state,2016-11-14,24,22,0.41354874275102116,2.271665691956446,0.7083333333333334,0.20833333333333334,2,13
state,2016-11-21,35,32,0.3817180873887704,2.4935206044266636,0.8571428571428571,0.2857142857142857,2,12
state,2016-11-28,22,21,0.3831514381474138,2.4240944564119284,0.8181818181818182,0.22727272727272727,2,14
state,2016-12-05,8,8,0.4753415905039859,1.8486889105117725,0.75,0.25,2,6
state,2016-12-12,7,7,0.1476302334548709,3.711989097619228,0.8571428571428571,0.2857142857142857,2,5
state,2016-12-26,11,11,0.3998905032144415,2.2004818913875734,0.8181818181818182,0.5454545454545454,2,5
state,2017-01-03,31,28,0.3938436006267926,2.4067849571048185,0.9032258064516129,0.22580645161290322,2,12
state,2017-01-10,41,38,0.3767739083503262,2.543399326371711,0.8048780487804879,0.24390243902439024,2,17
state,2017-01-17,17,17,0.24003043609535332,3.5120433293036175,0.8235294117647058,0.23529411764705882,2,10
state,2017-01-24,17,17,0.29898819391859904,2.9392384533566727,0.8823529411764706,0.23529411764705882,2,9
state,2017-02-07,33,31,0.4277215476988369,2.241237162526064,0.7575757575757576,0.3333333333333333,2,16
state,2017-02-14,57,52,0.3785190660835351,2.5610121283507845,0.8421052631578947,0.19298245614035087,2,20
state,2017-02-21,38,32,0.3663525409982997,2.589640240966353,0.868421052631579,0.2894736842105263,2,11
state,2017-02-28,34,30,0.47995855058798587,2.0108858680341064,0.7941176470588235,0.2647058823529412,2,15
state,2017-03-07,39,34,0.4466654551095355,2.1601071387595847,0.9230769230769231,0.3076923076923077,2,11
state,2017-03-14,30,28,0.4558228203429436,2.104121529697866,0.9333333333333333,0.3,2,11
state,2017-03-21,25,18,0.26390521977479414,3.2808466307403363,0.84,0.28,2,10
state,2017-03-28,14,13,0.21024389226656298,3.6901136698177037,0.7857142857142857,0.21428571428571427,2,11
state,2017-04-06,11,9,0.27725543550095005,2.7967303874936524,0.8181818181818182,0.2727272727272727,2,9
state,2017-04-13,18,16,0.3084630507828462,2.843460853805124,0.7222222222222222,0.2222222222222222,2,12
state,2017-04-27,9,8,0.2661219851494794,2.794414346833459,0.7777777777777778,0.2222222222222222,2,7
state,2017-05-05,23,23,0.2743315863453414,3.269230405866261,0.8695652173913043,0.34782608695652173,2,9
state,2017-05-12,18,16,0.202308472405091,3.9656701000240004,0.8888888888888888,0.2777777777777778,2,9
state,2017-05-19,34,31,0.3393319634590741,2.772818779283733,0.9117647058823529,0.3235294117647059,2,10
state,2017-05-26,35,33,0.25326698853418284,3.624563880395853,0.7428571428571429,0.2,2,16
state,2017-06-06,32,30,0.27223895677719107,3.3727079195509653,0.78125,0.15625,2,17
state,2017-06-13,36,29,0.3329674559832152,2.809236717136042,0.9166666666666666,0.25,2,14
state,2017-06-20,45,41,0.327018347626314,2.9117800447381548,0.8222222222222222,0.17777777777777778,2,15
state,2017-06-27,45,41,0.3247886879453867,2.930340617990584,0.8666666666666667,0.3333333333333333,2,14
state,2017-07-04,40,33,0.332076386624396,2.838357019926819,0.875,0.175,2,14
state,2017-07-11,38,35,0.3409225585591712,2.7796823033578706,0.8947368421052632,0.3684210526315789,2,14
state,2017-07-18,15,15,0.18524530269971934,4.1742798135078205,0.7333333333333333,0.3333333333333333,2,7
state,2017-07-25,15,13,0.2675819090765035,3.0871652251232202,0.8,0.3333333333333333,2,8
state,2017-08-01,35,32,0.35004607246382313,2.700096506071186,0.8571428571428571,0.22857142857142856,2,13
state,2017-08-08,43,38,0.35154401530849916,2.7129043486553224,0.8837209302325582,0.23255813953488372,2,16
state,2017-08-15,24,22,0.4081733802395068,2.2984564542703505,0.9166666666666666,0.3333333333333333,2,9
state,2017-08-22,41,32,0.497469773365329,1.9486573872433088,0.9024390243902439,0.36585365853658536,2,10
state,2017-08-29,36,31,0.39807601444986473,2.3952502157014646,0.8611111111111112,0.3333333333333333,2,13
state,2017-09-05,39,33,0.32617839228486195,2.8851932925857726,0.8717948717948718,0.3076923076923077,2,15
state,2017-09-12,44,40,0.3514573415438505,2.719823565659183,0.9090909090909091,0.22727272727272727,2,14
state,2017-09-19,23,18,0.29738279851830457,2.9725006166078947,0.8695652173913043,0.17391304347826086,2,13
state,2017-09-26,15,13,0.29307542629825356,2.878076839640115,0.7333333333333333,0.3333333333333333,2,8
state,2017-10-10,29,28,0.2368729935006965,3.78604987557831,0.896551724137931,0.3793103448275862,2,11
state,2017-10-17,19,19,0.1773138828675937,4.532821321265419,0.7368421052631579,0.21052631578947367,2,12
state,2017-10-24,14,12,0.15484990350795366,4.438938617472757,0.6428571428571429,0.35714285714285715,2,9
state,2017-10-31,22,19,0.1987612425079578,4.150553811596589,0.8636363636363636,0.4090909090909091,2,9
state,2017-11-07,34,34,0.22363717832834656,4.057266219697537,0.8823529411764706,0.3235294117647059,2,14
state,2017-11-14,39,35,0.2398623556413688,3.8229138521680848,0.7948717948717948,0.3076923076923077,2,12
state,2017-11-21,15,12,0.20779601325700153,3.652127384815293,0.8,0.2,2,11
state,2017-11-28,18,15,0.19716675390556773,3.989006771043718,0.7222222222222222,0.16666666666666666,2,12
state,2017-12-05,9,8,0.34009585822566896,2.366394121777447,1.0,0.4444444444444444,1,4
state,2017-12-12,27,25,0.3166752868679993,2.906906814543266,0.8518518518518519,0.4074074074074074,2,9
