,trend_score,price_direction,confidence,er,vol_ratio,bias_atr,atr_pct,ret20,ret60,dist_ma200,macd_hist_norm,days_in_golden,trend_age
trend_score,1.0,0.8129880253968564,0.730901778433385,0.6306721798899019,0.606205477856772,0.7240897164917038,0.04471660367436894,0.4942621303221618,0.45441605213165576,0.37990924331025444,0.44052867435569415,,0.3118426335905561
price_direction,0.8129880253968564,1.0,0.29991018072550396,0.17498941454185332,0.6804528666275096,0.7399312391632539,0.010635615447770811,0.4915881953953667,0.3537435540506607,0.30391955221419686,0.5152273996403851,,0.11043324112453179
confidence,0.730901778433385,0.29991018072550396,1.0,0.9756884590909385,0.3192888476173501,0.3956581552340545,0.05764225710696216,0.2690200695375745,0.3332112050600323,0.2660924028924941,0.19740233973625784,,0.35672243888530003
er,0.6306721798899019,0.17498941454185332,0.9756884590909385,1.0,0.1303349468549059,0.30901342112873015,0.055546924647904464,0.21322883335073206,0.30546890459247755,0.24829355431852757,0.13039718284196564,,0.36845975898218747
vol_ratio,0.606205477856772,0.6804528666275096,0.3192888476173501,0.1303349468549059,1.0,0.5024199984575164,0.03057122561184035,0.3321660231454577,0.2068609557812243,0.14951358126610564,0.3720536060796444,,0.022140603412007003
bias_atr,0.7240897164917038,0.7399312391632539,0.3956581552340545,0.30901342112873015,0.5024199984575164,1.0,0.04652444879242393,0.8258983120559346,0.7426724105151669,0.642672376570835,0.29863612497212,,0.4304655017925629
atr_pct,0.04471660367436894,0.010635615447770811,0.05764225710696216,0.055546924647904464,0.03057122561184035,0.04652444879242393,1.0,-0.006441069058207961,0.11857185696909861,0.19976150652093919,0.3836427814376341,,0.0850257769214453
ret20,0.4942621303221618,0.4915881953953667,0.2690200695375745,0.21322883335073206,0.3321660231454577,0.8258983120559346,-0.006441069058207961,1.0,0.6376092304960451,0.5580318578689822,0.07288061239787312,,0.3146325302670126
ret60,0.45441605213165576,0.3537435540506607,0.3332112050600323,0.30546890459247755,0.2068609557812243,0.7426724105151669,0.11857185696909861,0.6376092304960451,1.0,0.7673236849572947,0.07630935146817759,,0.5555184135752266
dist_ma200,0.37990924331025444,0.30391955221419686,0.2660924028924941,0.24829355431852757,0.14951358126610564,0.642672376570835,0.19976150652093919,0.5580318578689822,0.7673236849572947,1.0,0.10009719655242241,,0.46414582899309187
macd_hist_norm,0.44052867435569415,0.5152273996403851,0.19740233973625784,0.13039718284196564,0.3720536060796444,0.29863612497212,0.3836427814376341,0.07288061239787312,0.07630935146817759,0.10009719655242241,1.0,,0.09430265275287229
days_in_golden,,,,,,,,,,,,,
trend_age,0.3118426335905561,0.11043324112453179,0.35672243888530003,0.36845975898218747,0.022140603412007003,0.4304655017925629,0.0850257769214453,0.3146325302670126,0.5555184135752266,0.46414582899309187,0.09430265275287229,,1.0
