kind,group_by,group,feature,target,days,mean_ic,ic_ir,pos_pct,concentration,half1,half2
event,asset_type,etf,trend_score,ret_net_pct,607,0.002329949787256776,0.005261775804613587,0.500823723228995,0.11511477029549634,-0.008328006582517342,0.012952847090025055
event,asset_type,stock,trend_score,ret_net_pct,1967,-0.026577729262342198,-0.08238481354293815,0.4646670055922725,0.1556511070279198,-0.028300749185839802,-0.0248564603753522
event,asset_type,etf,trend_score,fwd20,595,0.00497635958934318,0.010363036989677008,0.49411764705882355,0.11431726954681645,0.0019700156652841423,0.00797261511097249
event,asset_type,stock,trend_score,fwd20,1949,-0.024314230589009677,-0.07477528600128175,0.4684453565931247,0.14988718081455685,-0.0216593415758446,-0.02696639663908433
event,asset_type,etf,price_direction,ret_net_pct,607,0.026382269027765762,0.055559128840850895,0.5189456342668863,0.1154954910583616,0.039480803741342635,0.013326821599430924
event,asset_type,stock,price_direction,ret_net_pct,1967,-0.012122307077390225,-0.03790168133561627,0.48449415353329944,0.15573615944891567,-0.0192055867535924,-0.00504622585614354
event,asset_type,etf,price_direction,fwd20,595,0.00882441662169133,0.017784860619785976,0.5058823529411764,0.10874607272133475,0.013824277607815605,0.003841333692567478
event,asset_type,stock,price_direction,fwd20,1949,-0.016818940610280338,-0.05105928511832709,0.48127244740892766,0.15104233309177204,-0.010943659120108857,-0.022688196170718305
event,asset_type,etf,confidence,ret_net_pct,607,-0.014754100870533615,-0.032401421609913585,0.49093904448105435,0.11894307059823543,-0.044479262370278015,0.014873280492698461
event,asset_type,stock,confidence,ret_net_pct,1967,-0.01695495467148414,-0.05290079887928438,0.48398576512455516,0.15047366612944607,-0.016115833024055014,-0.017793223553011404
event,asset_type,etf,confidence,fwd20,595,-0.00940216001094216,-0.020715735501156223,0.492436974789916,0.11624663326715311,-0.021164934656334462,0.002321142236311247
event,asset_type,stock,confidence,fwd20,1949,-0.007131882998072392,-0.02234702250972668,0.48383786557208824,0.1571629766987136,-0.005682223498816496,-0.008580055667072643
event,asset_type,etf,er,ret_net_pct,607,-0.012242378668684854,-0.026364395111152333,0.48599670510708404,0.11554174841157391,-0.02581310917808348,0.0012837112798276
event,asset_type,stock,er,ret_net_pct,1967,-0.014502649281719732,-0.04526565889198872,0.4804270462633452,0.15242246232171655,-0.016017205247399788,-0.012989632498931626
