feature,target,days,mean_ic,std_ic,ic_ir,pos_pct
trend_score,ret_net_pct,2758,-0.015019136116176949,0.21576360124561986,-0.06960922059823957,0.46374184191443074
trend_score,r_multiple,2758,-0.04000493766818252,0.21407643041606417,-0.18687221937712473,0.4191443074691806
trend_score,holding_days,2755,-0.06777084084489862,0.2083056826689638,-0.3253432166447375,0.36152450090744104
trend_score,fwd20,2738,-0.0067610737288770475,0.22273406631977316,-0.03035491535080386,0.48794740686632576
trend_score,fwd60,2698,-0.005519998589586539,0.20753285732420707,-0.02659819105638399,0.4911045218680504
price_direction,ret_net_pct,2758,-0.006436172189895697,0.2179927192733655,-0.02952471170298426,0.4945612762871646
price_direction,r_multiple,2758,-0.03642159894391744,0.21264260576495278,-0.17128081558677152,0.4325598259608412
price_direction,holding_days,2755,-0.060863429145070376,0.21247599143289422,-0.28644850053231885,0.3782214156079855
price_direction,fwd20,2738,-0.0006433746416004551,0.22518990964849145,-0.002857031394544836,0.5073046018991965
price_direction,fwd60,2698,-0.0029852778757426634,0.21046399935796986,-0.014184268496509576,0.49147516679021497
confidence,ret_net_pct,2758,-0.028856593063566676,0.19742282040361175,-0.1461664512976371,0.4361856417693981
confidence,r_multiple,2758,-0.028004874836560247,0.2025732042332846,-0.13824570205400738,0.44887599709934733
confidence,holding_days,2755,-0.06109867318941064,0.20069955323208305,-0.30442854608030906,0.35571687840290384
confidence,fwd20,2738,-0.003197874076851241,0.20763580432308468,-0.015401361471720441,0.49196493791088386
confidence,fwd60,2698,0.001561193466662448,0.1966376292955686,0.007939444104646916,0.5
er,ret_net_pct,2758,-0.02187331865900361,0.197526137107958,-0.11073632573014243,0.45322697606961565
er,r_multiple,2758,-0.021722844718736856,0.20043091471460847,-0.10838070938142348,0.4557650471356055
er,holding_days,2755,-0.04373826394381683,0.20119050875685254,-0.21739725305171537,0.3912885662431942
er,fwd20,2738,0.005540221232857464,0.20754278841960805,0.02669435673985596,0.5168005843681519
er,fwd60,2698,0.010086387128724242,0.19596137116605072,0.05147130308747123,0.5214974054855448
vol_ratio,ret_net_pct,2758,-0.03210866799505345,0.19228088889286798,-0.16698834803568674,0.42965917331399567
vol_ratio,r_multiple,2758,-0.04037988435787307,0.1895860310944323,-0.212989765779526,0.4086294416243655
vol_ratio,holding_days,2755,-0.09945129026824401,0.18589658800289569,-0.5349817946453911,0.2715063520871143
vol_ratio,fwd20,2738,-0.030996086772221515,0.19759051031972333,-0.15687032095856432,0.43133674214755297
vol_ratio,fwd60,2698,-0.02591186346414851,0.18936416373265297,-0.1368361518535854,0.43439584877687176
bias_atr,ret_net_pct,2758,-0.05677604103756557,0.2182413227315392,-0.2601525702234051,0.39521392313270487
bias_atr,r_multiple,2758,-0.04079012019594922,0.22184055425631163,-0.18387134098493488,0.42857142857142855
bias_atr,holding_days,2755,-0.05157888995561488,0.2232698370784373,-0.2310159340399152,0.39673321234119785
bias_atr,fwd20,2738,-0.02379514157182867,0.23273180108591215,-0.1022427595232023,0.47260774287801316
bias_atr,fwd60,2698,-0.013080097996691171,0.22073403934615976,-0.05925727647369641,0.4903632320237213
atr_pct,ret_net_pct,2758,-0.25704663906474967,0.32331419998312216,-0.7950366518951787,0.22153734590282814
atr_pct,r_multiple,2758,0.14834578323197814,0.3084513540576981,0.4809373707733148,0.6874546773023931
atr_pct,holding_days,2755,0.02054737488730185,0.24383759341550618,0.08426664075661434,0.5444646098003629
atr_pct,fwd20,2738,-0.05532527074612188,0.2887536661872896,-0.19160023654985267,0.4196493791088386
atr_pct,fwd60,2698,-0.05659369682565735,0.271378817236548,-0.20854132021780947,0.4028910303928836
ret20,ret_net_pct,2758,-0.1155633139469711,0.23508147297302598,-0.4915883522655621,0.30348078317621463
ret20,r_multiple,2758,0.0010178798711548396,0.238891874095702,0.004260839239542609,0.5036258158085569
ret20,holding_days,2755,-0.022527335743094436,0.2244208527067791,-0.1003798687661521,0.4613430127041742
ret20,fwd20,2738,-0.042444447772013935,0.24802658256206964,-0.17112862393042907,0.43279766252739227
ret20,fwd60,2698,-0.039559748803456724,0.2351535108301414,-0.1682294628041167,0.45181616011860637
ret60,ret_net_pct,2758,-0.08593029007055326,0.2408809127027924,-0.35673349584396985,0.3723712835387962
ret60,r_multiple,2758,0.009802499581007963,0.2315204386178661,0.04233967264197952,0.5221174764321972
ret60,holding_days,2755,0.00022609155656067392,0.23018536281283167,0.0009822151756213686,0.49328493647912885
ret60,fwd20,2738,-0.03397187105694271,0.25542486842662215,-0.1330014233390985,0.4510591672753835
ret60,fwd60,2698,-0.026371882933981603,0.24106732363651362,-0.10939634014332728,0.4681245366938473
dist_ma200,ret_net_pct,2751,-0.08669360756655084,0.2556100936141356,-0.33916347488774035,0.3635041802980734
dist_ma200,r_multiple,2751,0.03616681192182229,0.24620398055839227,0.14689775461710944,0.5685205379861868
dist_ma200,holding_days,2748,0.016783093873600195,0.24047464874568292,0.06979153087920453,0.5338427947598253
dist_ma200,fwd20,2731,-0.018028634385237684,0.2726344891522529,-0.06612748974385842,0.47308678139875504
dist_ma200,fwd60,2691,-0.0031251496747962035,0.261937763223623,-0.011930886315648129,0.5287997027127462
macd_hist_norm,ret_net_pct,2758,-0.11758401482078965,0.20149982584959056,-0.5835440022095114,0.24437998549673676
macd_hist_norm,r_multiple,2758,0.020386389889971022,0.2125773662481356,0.09590103711311654,0.5551124002900653
macd_hist_norm,holding_days,2755,-0.043033636453568065,0.19953770692666525,-0.21566668834870356,0.39818511796733214
macd_hist_norm,fwd20,2738,-0.027892328081545983,0.21914222902364128,-0.12727956727380432,0.4382761139517896
macd_hist_norm,fwd60,2698,-0.03837719512500974,0.21338125798976124,-0.17985269881036697,0.4229058561897702
days_in_golden,ret_net_pct,2753,-0.0350518212303795,0.19779614778213944,-0.17721184979288357,0.4239011986923356
days_in_golden,r_multiple,2753,-0.03382600267634335,0.1891038685857417,-0.17887525479684346,0.41917907737014165
days_in_golden,holding_days,2750,-0.023939449422426786,0.19723944288181372,-0.1213725260660534,0.44145454545454543
days_in_golden,fwd20,2733,-0.02269745711936235,0.20522910952985557,-0.11059570044112312,0.4643249176728869
days_in_golden,fwd60,2693,-0.012791934431462051,0.20727750710399684,-0.061714049971876524,0.4708503527664315
trend_age,ret_net_pct,2755,-0.051774452960335456,0.20071107487543646,-0.25795513771458434,0.39600725952813065
trend_age,r_multiple,2755,-0.023952064533545217,0.19927949315855034,-0.12019332322613108,0.4515426497277677
trend_age,holding_days,2752,-0.01947414873725184,0.19867425269982913,-0.09802049572409735,0.45203488372093026
trend_age,fwd20,2735,-0.01831827353585118,0.21087625208256142,-0.08686740851539453,0.46142595978062156
trend_age,fwd60,2695,-0.0021568471725188837,0.20574641902017968,-0.010483036267607358,0.5061224489795918
