,random,rank:trend_score,rank:trend_score:asc,random_sub:0.2|random,pct:trend_score:0.2|rank:trend_score,pct:trend_score:0.5|rank:trend_score,young_golden:20|pct:trend_score:0.2|rank:trend_score,rank:er,rank:atr_pct
2019-01-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2019-01-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2019-01-04,99955.20640000001,99955.20640000001,99955.20640000001,99955.20640000001,99955.20640000001,99955.20640000001,99955.20640000001,99955.20640000001,99955.20640000001
2019-01-07,100545.48622161837,100545.48743813674,100545.48622161837,100680.0796503,100680.09390894369,100635.63665669376,100680.09390894369,100545.48743813674,100545.5458762183
2019-01-08,99662.6478629073,99662.19425891573,99662.6478629073,100190.2901660673,99931.84355868264,99889.27266212252,99931.84355868264,99662.19425891573,99662.2704504433
2019-01-09,99853.92797881312,99852.53660159025,99853.92797881312,100490.14967132706,100481.68289464223,100037.73430478906,100481.68289464223,99852.53660159025,99852.51084962908
2019-01-10,99472.40768140722,99470.64489918077,99472.40768140722,100161.96990622306,100449.62627393998,99780.75539953496,100449.62627393998,99470.59689918076,99470.88947930053
2019-01-11,100245.72472148223,100310.2304464819,100245.72472148223,101456.27525872015,101315.65704335767,100601.80771529711,101315.65704335767,100242.98244648191,100243.09245829144
2019-01-14,99275.76611853222,99704.40333630578,99275.76611853222,100275.76635667527,100391.37598541948,100037.20511101445,100391.37598541948,99271.55533630577,99271.6389229375
2019-01-15,100948.24229755317,100974.75078339205,100948.24229755317,102434.72267396939,101490.69736727327,101170.7506164535,101490.69736727327,100945.10278339205,100945.17406041033
2019-01-16,100948.85144347706,100889.69280250944,100948.85144347706,102170.30022541287,101506.03426424891,101245.24699798098,101506.03426424891,100947.24480250943,100947.16579021022
2019-01-17,100352.5392164118,100521.21344863763,100352.5392164118,101359.41224104608,101086.82415036303,100538.91200014738,101086.82415036303,100350.76544863763,100350.936717873
2019-01-18,101887.68028793111,101702.49084439944,101887.68028793111,102954.1512365461,102291.54381874684,101584.96732565115,102291.54381874684,101888.04284439943,101887.61483497618
2019-01-21,102308.30226829267,102272.47995156751,102308.30226829267,103626.6276231669,103142.76283544913,102251.95993768077,103142.76283544913,102309.2319515675,102308.69298960167
2019-01-22,100841.4683830661,100953.676868905,100841.4683830661,102134.4316373484,101818.13312781994,100874.33584874224,101818.13312781994,100840.828868905,100840.44732669921
2019-01-23,100749.50755910408,100915.84857303154,100749.50755910408,102120.11325288667,101583.96276080866,100957.42830388606,101583.96276080866,100748.60057303154,100747.88200599319
2019-01-24,101823.51701553895,101749.86113541055,101823.51701553895,102988.00712795818,102093.1862662394,101547.91387110943,102093.1862662394,101822.61313541053,101821.92065622797
2019-01-25,101927.94633932854,101937.32540302299,101927.94633932854,103309.15128738225,102599.25059798629,101400.24922094287,102599.25059798629,101926.077403023,101924.85726094944
2019-01-28,101504.10775633513,101941.62003832796,101504.10775633513,103314.5110723986,102679.46799351217,101375.98558557243,102679.46799351217,101500.77203832795,101499.51867795605
2019-01-29,100925.92984131671,101295.00925011607,100925.92984131671,102748.74210610993,102009.88617300506,100462.25733477314,102009.88617300506,100922.16125011607,100920.81435332561
2019-01-30,100374.21181404291,100791.59978880959,100374.21181404291,101902.84997775237,101742.03245754458,100106.61718727229,101742.03245754458,100370.67498880958,100369.15137752384
2019-01-31,101014.48973862271,101401.3808193335,101014.48973862271,102574.36506524848,102538.98625547683,100366.87098520454,102538.98625547683,101010.05601933348,101007.82701869548
2019-02-01,101458.70363895578,102051.62040731232,101458.70363895578,103603.84552001483,103437.59425340909,100898.09998313681,103437.59425340909,101453.33980731231,101451.43135468848
2019-02-11,102542.55840131149,103319.72689018799,102542.55840131149,105949.79886475403,105099.6482138059,102332.45926680563,105099.6482138059,102536.4305488056,102534.71138495213
2019-02-12,102975.9754138916,103934.91484308142,102975.89989718646,106605.75686766021,105778.60292606117,102900.60664355854,105778.60292606117,102969.48123329715,102967.68480404421
2019-02-13,105085.68083471394,105819.03184191912,105201.80930713881,108496.99750248666,107329.4869182762,104651.59958822538,107329.4869182762,105079.02539409629,105098.0008608384
2019-02-14,105053.91675925217,105665.66278586417,105081.81973303581,109093.61241495304,107247.28050004001,104769.04810158731,107247.28050004001,105047.66028331983,105145.78510785667
2019-02-15,103743.18246226598,104468.88392778605,103901.172686729,107740.73215535362,106161.06203743964,103895.89625527014,106161.06203743964,103737.65471826827,103759.35366513066
2019-02-18,107767.14644526434,108126.7190582613,107758.27890681927,111755.53071985702,109416.54506625171,107628.30113426427,109416.54506625171,107761.92732888919,107719.2878134048
2019-02-19,108189.63463710083,108227.17504095312,107974.19259729699,111217.22957920947,108828.65111476308,107639.42675801774,108828.65111476308,108184.41897177466,107926.51476338122
2019-02-20,108174.72084099523,108379.29678089006,108431.1190437183,111639.43945872734,109108.17979398218,107631.02797143777,109108.17979398218,108168.93873907236,108018.6655641756
2019-02-21,108039.04754368865,108486.70571556222,108479.13299709107,111553.42177555981,109261.6520255075,107474.76393586263,109261.6520255075,108032.49866006414,108283.08384423303
2019-02-22,112645.06525954002,112671.36649792413,112809.91445954557,114544.23122176444,111321.29363431182,109858.10675771214,111321.29363431182,112635.10041286223,113278.42283202805
2019-02-25,121543.60463685283,121261.67168084414,122410.55704405784,122248.52693603907,117196.47957371446,116544.36477402246,117196.47957371446,121531.46325730837,122339.18783788393
2019-02-26,118278.43189663906,119135.25463443401,119301.68230927906,120075.91232149198,116530.8917242017,115695.44642417657,116530.8917242017,118268.34181063173,119745.26463192659
2019-02-27,118219.42693748025,119092.34815762396,118521.81160895212,119373.46962815468,116270.59474010943,115791.10133714837,116270.59474010943,118210.53685147292,119231.53269230372
2019-02-28,118028.28004856236,118655.55028238645,118318.92647207234,119395.56772806078,116107.33733864606,115429.70766858451,116107.33733864606,118019.08996255502,118989.66167718197
2019-03-01,119724.45864518947,119723.19625412236,120030.75606598196,121419.59703680067,117086.60682749879,116432.49293855122,117086.60682749879,119715.66855918213,120840.22671350473
2019-03-04,121423.92333374122,121168.22634514369,121803.97374638122,123431.17789022333,119342.87171960421,118711.20107756965,119342.87171960421,121416.23324773388,122906.7121732204
2019-03-05,123406.07781037099,122677.44925954554,123514.80471893474,125388.4155385174,121669.61482319774,121311.68363394812,121669.61482319774,123400.08772436366,125043.32396581823
2019-03-06,124808.0589172976,124061.57847017652,125462.37906023576,126739.63259521485,123205.30146240164,122565.38514352153,123205.30146240164,124802.66883129027,126892.19379584867
2019-03-07,124384.67504585756,123894.87532733203,125775.51192724638,126127.15153495988,122405.6482457415,121909.53101611696,122405.6482457415,124378.48495985023,127081.4588177407
2019-03-08,121357.45563489977,120909.37919104776,121919.92944923117,122908.27277614104,118941.11598973288,118429.02296676644,118941.11598973288,121349.06554889244,123640.99751945041
2019-03-11,124213.12390768982,122954.02682746934,124025.19772202123,125703.283386978,121630.7196134438,121922.65238593792,121630.7196134438,124207.53382168249,126461.76579224048
2019-03-12,126051.91752863668,123961.25170834336,125059.99134296809,126932.88529664157,122900.45324950162,124022.5969470868,122900.45324950162,126049.32744262935,128689.05941318732
2019-03-13,123627.95850829393,122111.72030495007,123172.03232262534,124497.84961534098,120582.10650293037,121145.46567932874,120582.10650293037,123623.3684222866,125847.10039284459
2019-03-14,121881.36231010628,120995.80073739223,122015.0361244377,123092.78659796546,119192.64774458078,119123.7861326919,119192.64774458078,121874.57222409896,123921.60419465692
2019-03-15,122219.70130482949,121341.06750175211,122380.17511916091,123955.17019162864,120098.1955564954,120024.92423256068,120098.1955564954,122212.81121882217,124074.74318938015
2019-03-18,124040.84713560114,122653.97415789512,123750.42159151251,126298.79048921337,122505.01459685566,122894.20023819938,122505.01459685566,124035.45704959381,126154.83340956258
2019-03-19,123722.29988899994,121813.73328970397,122902.07665909026,125620.68620429278,122038.2067331514,122783.81496961924,122038.2067331514,123718.00980299262,125798.18097522382
