kind,feature,days,point_pp,lo95_pp,hi95_pp,p_le_0,verdict
event,trend_score,1555,0.007237064219080462,0.0024692431579030256,0.011905800335699495,0.002,显著为正
event,price_direction,1555,0.007969610276703235,0.003651026293969838,0.01236413641950814,0.0005,显著为正
event,er,1555,0.0012287962344339858,-0.0028914430587466803,0.005491811511946144,0.2775,不显著
event,confidence,1555,0.004291281026610743,5.949086054783323e-05,0.008355758347289953,0.023,显著为正
event,bias_atr,1555,0.006396676495595658,0.001848108364567999,0.011122130039735887,0.0025,显著为正
event,atr_pct,1555,0.015153478646999634,0.00941612995419023,0.02179476003823431,0.0,显著为正
event,ret20,1555,0.0067485156520241734,0.0012685499348179688,0.011989443067309705,0.0035,显著为正
event,macd_hist_norm,1555,0.009456409032603696,0.005010544286911983,0.014189022634703879,0.0,显著为正
state,trend_score,2666,0.006300499001153059,0.0017779608175507843,0.011084966521445411,0.001,显著为正
state,price_direction,2666,0.013144636276910216,0.008419891332249555,0.01809864588170053,0.0,显著为正
state,er,2666,0.006529620894993886,0.0024858405702095658,0.010831898587916123,0.0,显著为正
state,confidence,2666,0.004875183119572496,0.0003451871449540995,0.009753890776181714,0.017,显著为正
state,bias_atr,2666,0.009739365086861431,0.005085085678407573,0.01441457014267523,0.0,显著为正
state,atr_pct,2666,0.015286428264731018,0.009455903905236384,0.021185674975772045,0.0,显著为正
state,ret20,2666,0.009760092456548264,0.004365479937181632,0.015390127499605475,0.0005,显著为正
state,macd_hist_norm,2666,0.011159844192617459,0.0059564324640721394,0.01654752064749322,0.0,显著为正
state,days_in_golden,2652,-0.005064128939335302,-0.008805643547952149,-0.0012103797749986424,0.997,显著为负
