date,n_ready,macd_state,macd_event,trend_state,trend_event,macd_state_pct,trend_state_pct
2015-01-05,117,31,13,32,5,0.26495726495726496,0.27350427350427353
2015-01-06,117,49,18,38,4,0.4188034188034188,0.3247863247863248
2015-01-07,118,64,14,29,17,0.5423728813559322,0.2457627118644068
2015-01-08,117,62,7,20,25,0.5299145299145299,0.17094017094017094
2015-01-09,119,57,4,8,11,0.4789915966386555,0.06722689075630252
2015-01-12,117,48,5,17,2,0.41025641025641024,0.1452991452991453
2015-01-13,116,54,9,25,4,0.46551724137931033,0.21551724137931033
2015-01-14,116,59,10,14,2,0.5086206896551724,0.1206896551724138
2015-01-15,115,62,4,17,4,0.5391304347826087,0.14782608695652175
2015-01-16,116,66,5,24,17,0.5689655172413793,0.20689655172413793
2015-01-19,116,63,1,11,7,0.5431034482758621,0.09482758620689655
2015-01-20,115,65,4,34,3,0.5652173913043478,0.2956521739130435
2015-01-21,115,71,6,52,11,0.6173913043478261,0.45217391304347826
2015-01-22,116,78,6,63,8,0.6724137931034483,0.5431034482758621
2015-01-23,114,77,2,19,2,0.6754385964912281,0.16666666666666666
2015-01-26,113,79,4,49,24,0.6991150442477876,0.4336283185840708
2015-01-27,114,86,6,44,9,0.7543859649122807,0.38596491228070173
2015-01-28,114,85,2,13,0,0.7456140350877193,0.11403508771929824
2015-01-29,114,82,0,9,0,0.7192982456140351,0.07894736842105263
2015-01-30,114,78,1,3,2,0.6842105263157895,0.02631578947368421
2015-02-02,112,66,0,9,1,0.5892857142857143,0.08035714285714286
2015-02-03,112,62,2,24,5,0.5535714285714286,0.21428571428571427
2015-02-04,113,61,2,14,5,0.5398230088495575,0.12389380530973451
2015-02-05,113,56,3,11,8,0.49557522123893805,0.09734513274336283
2015-02-06,114,47,0,10,1,0.41228070175438597,0.08771929824561403
2015-02-09,115,30,0,5,4,0.2608695652173913,0.043478260869565216
2015-02-10,114,35,7,8,0,0.30701754385964913,0.07017543859649122
2015-02-11,114,35,1,12,3,0.30701754385964913,0.10526315789473684
2015-02-12,115,41,6,15,14,0.3565217391304348,0.13043478260869565
2015-02-13,115,54,14,25,31,0.46956521739130436,0.21739130434782608
2015-02-16,116,78,23,61,40,0.6724137931034483,0.5258620689655172
2015-02-17,117,90,11,45,5,0.7692307692307693,0.38461538461538464
2015-02-25,118,91,5,33,1,0.7711864406779662,0.2796610169491525
2015-02-26,118,104,14,59,2,0.8813559322033898,0.5
2015-02-27,118,105,3,69,0,0.8898305084745762,0.5847457627118644
2015-03-02,118,108,3,92,1,0.9152542372881356,0.7796610169491526
2015-03-03,118,108,1,45,0,0.9152542372881356,0.3813559322033898
2015-03-04,118,103,1,61,3,0.8728813559322034,0.5169491525423728
2015-03-05,118,105,2,62,6,0.8898305084745762,0.5254237288135594
2015-03-06,118,96,0,17,0,0.8135593220338984,0.1440677966101695
2015-03-09,118,94,2,26,0,0.7966101694915254,0.22033898305084745
2015-03-10,118,88,1,41,4,0.7457627118644068,0.3474576271186441
2015-03-11,118,77,0,33,1,0.652542372881356,0.2796610169491525
2015-03-12,118,73,5,16,7,0.6186440677966102,0.13559322033898305
2015-03-13,119,76,5,25,16,0.6386554621848739,0.21008403361344538
2015-03-16,119,87,11,74,20,0.7310924369747899,0.6218487394957983
2015-03-17,119,93,7,80,8,0.7815126050420168,0.6722689075630253
2015-03-18,119,101,8,94,10,0.8487394957983193,0.7899159663865546
2015-03-19,118,103,4,78,0,0.8728813559322034,0.6610169491525424
2015-03-20,118,105,4,76,3,0.8898305084745762,0.6440677966101694
2015-03-23,117,102,2,89,1,0.8717948717948718,0.7606837606837606
2015-03-24,117,103,4,62,0,0.8803418803418803,0.5299145299145299
2015-03-25,117,103,2,71,0,0.8803418803418803,0.6068376068376068
2015-03-26,115,101,2,43,1,0.8782608695652174,0.3739130434782609
2015-03-27,115,97,0,47,1,0.8434782608695652,0.40869565217391307
2015-03-30,112,93,2,54,1,0.8303571428571429,0.48214285714285715
2015-03-31,115,96,2,39,2,0.8347826086956521,0.3391304347826087
2015-04-01,115,97,3,67,6,0.8434782608695652,0.5826086956521739
2015-04-02,114,99,4,79,13,0.868421052631579,0.6929824561403509
2015-04-03,115,105,6,90,3,0.9130434782608695,0.782608695652174
2015-04-07,114,107,3,98,3,0.9385964912280702,0.8596491228070176
2015-04-08,114,103,0,46,1,0.9035087719298246,0.40350877192982454
2015-04-09,115,92,1,34,0,0.8,0.2956521739130435
2015-04-10,115,82,1,53,0,0.7130434782608696,0.4608695652173913
2015-04-13,113,81,5,66,1,0.7168141592920354,0.584070796460177
2015-04-14,113,80,4,47,1,0.7079646017699115,0.415929203539823
2015-04-15,115,68,0,16,2,0.591304347826087,0.1391304347826087
2015-04-16,115,61,5,25,5,0.5304347826086957,0.21739130434782608
2015-04-17,115,57,3,24,7,0.4956521739130435,0.20869565217391303
2015-04-20,117,43,0,13,1,0.36752136752136755,0.1111111111111111
2015-04-21,117,39,4,30,6,0.3333333333333333,0.2564102564102564
2015-04-22,115,50,14,55,30,0.43478260869565216,0.4782608695652174
2015-04-23,117,65,14,64,19,0.5555555555555556,0.5470085470085471
2015-04-24,117,67,12,41,5,0.5726495726495726,0.3504273504273504
2015-04-27,117,69,5,35,15,0.5897435897435898,0.29914529914529914
2015-04-28,121,56,2,17,0,0.4628099173553719,0.14049586776859505
2015-04-29,121,57,9,30,0,0.47107438016528924,0.24793388429752067
2015-04-30,119,49,0,25,3,0.4117647058823529,0.21008403361344538
2015-05-04,117,44,4,23,3,0.37606837606837606,0.19658119658119658
2015-05-05,117,28,1,9,2,0.23931623931623933,0.07692307692307693
2015-05-06,118,24,3,7,13,0.2033898305084746,0.059322033898305086
2015-05-07,119,20,1,7,2,0.16806722689075632,0.058823529411764705
2015-05-08,119,25,5,21,6,0.21008403361344538,0.17647058823529413
2015-05-11,118,31,7,50,11,0.2627118644067797,0.423728813559322
2015-05-12,119,48,16,50,24,0.40336134453781514,0.42016806722689076
2015-05-13,118,54,8,48,18,0.4576271186440678,0.4067796610169492
2015-05-14,118,66,14,33,21,0.559322033898305,0.2796610169491525
2015-05-15,118,59,3,21,0,0.5,0.17796610169491525
2015-05-18,119,66,9,39,0,0.5546218487394958,0.3277310924369748
2015-05-19,118,70,5,56,1,0.5932203389830508,0.4745762711864407
2015-05-20,118,77,7,71,8,0.652542372881356,0.6016949152542372
2015-05-21,119,90,13,88,9,0.7563025210084033,0.7394957983193278
2015-05-22,120,96,7,90,11,0.8,0.75
2015-05-25,120,110,16,91,3,0.9166666666666666,0.7583333333333333
2015-05-26,121,116,5,107,3,0.9586776859504132,0.8842975206611571
2015-05-27,123,115,0,93,0,0.9349593495934959,0.7560975609756098
2015-05-28,122,103,0,18,0,0.8442622950819673,0.14754098360655737
2015-05-29,121,92,0,32,0,0.7603305785123967,0.2644628099173554
