sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
交通运输,物流,快递,1,002352.SZ,顺丰控股,1621.19,5.9608,30.79,2010-02-05,0,True
交通运输,物流,快递,2,600233.SS,XD圆通速,579.53,3.9694,16.92,2000-06-08,0,False
交通运输,物流,跨境物流,3,601156.SS,东航物流,289.57,1.6769,18.24,2021-06-09,0,False
交通运输,物流,原材料供应链服务,4,600704.SS,物产中大,253.9,2.0985,4.91,1996-06-06,0,False
交通运输,物流,原材料供应链服务,5,600153.SS,建发股份,238.92,2.2191,8.24,1998-06-16,0,False
交通运输,物流,快递,6,002468.SZ,申通快递,218.29,1.9277,14.26,2010-09-08,0,False
交通运输,物流,快递,7,002120.SZ,韵达股份,193.96,1.8737,6.69,2007-03-06,0,False
交通运输,物流,跨境物流,8,603871.SS,嘉友国际,171.96,1.6613,12.57,2018-02-06,0,False
交通运输,物流,原材料供应链服务,9,600057.SS,厦门象屿,168.07,1.3788,5.92,1997-06-04,0,False
交通运输,物流,仓储物流,10,603713.SS,密尔克卫,115.66,1.2756,66.45,2018-07-13,0,False
交通运输,物流,中间产品及消费品供应链服务,11,300873.SZ,海晨股份,47.95,1.6242,14.88,2020-08-24,0,False
交通运输,物流,原材料供应链服务,12,000626.SZ,远大控股,44.43,2.3301,8.77,1996-11-28,0,False
交通运输,物流,公路货运,13,002682.SZ,龙洲股份,28.91,1.4703,5.14,2012-06-12,0,False
交通运输,航空机场,航空运输,1,601111.SS,中国国航,1174.22,3.1373,5.73,2006-08-18,0,True
交通运输,航空机场,航空运输,2,600029.SS,南方航空,877.05,2.4981,4.84,2003-07-25,0,True
交通运输,航空机场,航空运输,3,600115.SS,中国东航,735.52,5.2163,3.33,1997-11-05,0,True
交通运输,航空机场,机场,4,600009.SS,上海机场,568.58,1.8326,22.85,1998-02-18,0,True
交通运输,航空机场,航空运输,5,600221.SS,海航控股,535.87,2.3862,1.24,1999-11-25,0,False
交通运输,航空机场,航空运输,6,601021.SS,春秋航空,409.92,1.6593,41.9,2015-01-21,0,True
交通运输,航空机场,航空运输,7,603885.SS,吉祥航空,215.17,1.1982,9.92,2015-05-27,0,False
交通运输,航空机场,航空运输,8,002928.SZ,华夏航空,80.02,1.2766,6.26,2018-03-02,0,False
交通运输,航运港口,航运,1,601919.SS,中远海控,2496.34,15.3189,16.35,2007-06-26,0,True
交通运输,航运港口,航运,2,601872.SS,招商轮船,1606.83,26.0891,19.9,2006-12-01,0,True
交通运输,航运港口,港口,3,600018.SS,上港集团,1273.41,3.0991,5.47,2000-07-19,0,False
交通运输,航运港口,航运,4,600026.SS,中远海能,1134.73,14.6929,20.74,2002-05-23,0,True
交通运输,航运港口,港口,5,601018.SS,宁波港,678.96,1.8715,3.49,2010-09-28,0,False
交通运输,航运港口,港口,6,601880.SS,辽港股份,341.79,1.1671,1.45,2010-12-06,0,False
交通运输,航运港口,航运,7,601866.SS,中远海发,323.05,1.7989,2.46,2007-12-12,0,False
交通运输,航运港口,航运,8,600428.SS,中远海特,301.83,5.1087,11.0,2002-04-18,0,False
交通运输,航运港口,港口,9,601000.SS,唐山港,272.59,1.8847,4.6000000000000005,2010-07-05,0,False
交通运输,航运港口,港口,10,000582.SZ,北部湾港,271.09,5.8479,10.77,1995-11-02,0,False
交通运输,航运港口,航运,11,603565.SS,中谷物流,244.87,3.9802,11.66,2020-09-25,0,True
交通运输,航运港口,港口,12,000088.SZ,盐 田 港,235.54,1.4741,4.53,1997-07-28,0,False
交通运输,航运港口,航运,13,601975.SS,招商南油,208.28,9.2582,4.45,2019-01-08,0,True
交通运输,航运港口,航运,14,600179.SS,安通控股,192.96,1.7176,4.5600000000000005,1998-11-04,0,False
交通运输,航运港口,航运,15,603162.SS,海通发展,181.93,8.596,13.23,2023-03-29,0,False
交通运输,航运港口,航运,16,601083.SS,锦江航运,155.42,2.2817,12.01,2023-12-05,0,False
交通运输,航运港口,航运,17,002320.SZ,海峡股份,149.2,4.1113,6.67,2009-12-16,0,False
交通运输,航运港口,港口,18,000905.SZ,厦门港务,143.59,1.466,9.31,1999-04-29,0,False
交通运输,航运港口,港口,19,600017.SS,日照港,87.66,1.2119,2.85,2006-10-17,0,False
交通运输,航运港口,港口,20,601008.SS,连云港,54.34,1.2257,4.38,2007-04-26,0,False
交通运输,航运港口,港口,21,002040.SZ,南 京 港,43.7,3.0541,8.99,2005-03-25,0,False
交通运输,航运港口,航运,22,600798.SS,宁波海运,40.9,1.2134,3.39,1997-04-23,0,False
