symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
600233.SS,圆通速递,股票,交通运输,物流,快递,579.53,3.9694,2000-06-08,1亿以上,XD圆通速
601156.SS,东航物流,股票,交通运输,物流,跨境物流,289.57,1.6769,2021-06-09,1亿以上,
600704.SS,物产中大,股票,交通运输,物流,原材料供应链服务,253.9,2.0985,1996-06-06,1亿以上,
600153.SS,建发股份,股票,交通运输,物流,原材料供应链服务,238.92,2.2191,1998-06-16,1亿以上,
002468.SZ,申通快递,股票,交通运输,物流,快递,218.29,1.9277,2010-09-08,1亿以上,
002120.SZ,韵达股份,股票,交通运输,物流,快递,193.96,1.8737,2007-03-06,1亿以上,
603871.SS,嘉友国际,股票,交通运输,物流,跨境物流,171.96,1.6613,2018-02-06,1亿以上,
600221.SS,海航控股,股票,交通运输,航空机场,航空运输,535.87,2.3862,1999-11-25,1亿以上,
603885.SS,吉祥航空,股票,交通运输,航空机场,航空运输,215.17,1.1982,2015-05-27,1亿以上,
002928.SZ,华夏航空,股票,交通运输,航空机场,航空运输,80.02,1.2766,2018-03-02,1亿以上,
600018.SS,上港集团,股票,交通运输,航运港口,港口,1273.41,3.0991,2000-07-19,1亿以上,
601018.SS,宁波港,股票,交通运输,航运港口,港口,678.96,1.8715,2010-09-28,1亿以上,
601880.SS,辽港股份,股票,交通运输,航运港口,港口,341.79,1.1671,2010-12-06,1亿以上,
601816.SS,京沪高铁,股票,交通运输,铁路公路,铁路运输,2323.97,5.7858,2020-01-16,1亿以上,
600377.SS,宁沪高速,股票,交通运输,铁路公路,高速公路,645.34,1.322,2001-01-16,1亿以上,
600350.SS,山东高速,股票,交通运输,铁路公路,高速公路,492.64,1.5216,2002-03-18,1亿以上,
000429.SZ,粤高速Ａ,股票,交通运输,铁路公路,高速公路,266.37,1.1522,1998-02-20,1亿以上,
601333.SS,广深铁路,股票,交通运输,铁路公路,铁路运输,221.71,2.1932,2006-12-22,1亿以上,
600611.SS,大众交通,股票,交通运输,铁路公路,公交,105.68,4.9747,1992-08-07,1亿以上,
601928.SS,凤凰传媒,股票,传媒,出版,教育出版,211.74,1.0928,2011-11-30,1亿以上,
601098.SS,中南传媒,股票,传媒,出版,教育出版,184.09,1.1631,2010-10-28,1亿以上,
300364.SZ,中文在线,股票,传媒,出版,大众出版,173.6,19.0605,2015-01-21,1亿以上,
601858.SS,中国科传,股票,传媒,出版,大众出版,157.63,2.6014,2017-01-18,1亿以上,
601949.SS,中国出版,股票,传媒,出版,大众出版,116.33,3.7735,2017-08-21,1亿以上,
601900.SS,南方传媒,股票,传媒,出版,教育出版,108.66,1.6652,2016-02-15,1亿以上,
002181.SZ,粤 传 媒,股票,传媒,出版,大众出版,106.82,6.0663,2007-11-16,1亿以上,
605577.SS,龙版传媒,股票,传媒,出版,教育出版,61.69,2.7863,2021-08-24,1亿以上,
301171.SZ,易点天下,股票,传媒,广告营销,营销代理,209.43,25.0531,2022-08-19,1亿以上,
002400.SZ,省广集团,股票,传媒,广告营销,营销代理,111.4,4.856,2010-05-06,1亿以上,
605168.SS,三人行,股票,传媒,广告营销,营销代理,107.16,3.7344,2020-05-28,1亿以上,
600986.SS,浙文互联,股票,传媒,广告营销,营销代理,104.71,3.6775,2004-04-26,1亿以上,
000676.SZ,智度股份,股票,传媒,广告营销,营销代理,83.27,3.6278,1996-12-24,1亿以上,
600556.SS,天下秀,股票,传媒,广告营销,营销代理,83.16,1.9398,2001-08-07,1亿以上,
600977.SS,中国电影,股票,传媒,影视院线,影视动漫制作,235.8,2.945,2016-08-09,1亿以上,
002739.SZ,儒意电影,股票,传媒,影视院线,院线,178.87,4.4575,2015-01-22,1亿以上,
