l1,l2,现有,含ST,有效现有,1亿以上候选,放宽档候选,候选池,新增,补齐后,达标,新增名单,放宽档数
交通运输,物流,1,0,1,13,8,21,7,8,是,XD圆通速(600233)、东航物流(601156)、物产中大(600704)、建发股份(600153)、申通快递(002468)、韵达股份(002120)、嘉友国际(603871),0
交通运输,航空机场,5,0,5,8,3,11,3,8,是,海航控股(600221)、吉祥航空(603885)、华夏航空(002928),0
交通运输,航运港口,5,0,5,23,7,30,3,8,是,上港集团(600018)、宁波港(601018)、辽港股份(601880),0
交通运输,铁路公路,2,0,2,11,4,15,6,8,是,京沪高铁(601816)、宁沪高速(600377)、山东高速(600350)、粤高速Ａ(000429)、广深铁路(601333)、大众交通(600611),0
传媒,出版,0,0,0,15,6,21,8,8,是,凤凰传媒(601928)、中南传媒(601098)、中文在线(300364)、中国科传(601858)、中国出版(601949)、南方传媒(601900)、粤 传 媒(002181)、龙版传媒(605577),0
传媒,广告营销,2,0,2,16,1,17,6,8,是,易点天下(301171)、省广集团(002400)、三人行(605168)、浙文互联(600986)、智度股份(000676)、天下秀(600556),0
传媒,影视院线,1,0,1,16,2,18,7,8,是,中国电影(600977)、儒意电影(002739)、华策影视(300133)、捷成股份(300182)、奥飞娱乐(002292)、上海电影(601595)、博纳影业(001330),0
传媒,数字媒体,0,0,0,9,3,12,8,8,是,芒果超媒(300413)、人民网(603000)、新华网(603888)、视觉中国(000681)、掌阅科技(603533)、风语筑(603466)、值得买(300785)、返利科技(600228),0
传媒,游戏,11,0,11,21,1,22,0,11,是,,0
传媒,电视广播,0,0,0,8,2,10,8,8,是,东方明珠(600637)、歌华有线(600037)、电广传媒(000917)、贵广网络(600996)、无线传媒(301551)、海看股份(301262)、吉视传媒(601929)、北投科技(600936),0
公用事业,燃气,1,0,1,13,3,16,7,8,是,九丰能源(605090)、深圳燃气(601139)、胜通能源(001331)、大众公用(600635)、新天然气(603393)、首华燃气(300483)、贵州燃气(600903),0
公用事业,电力,15,0,15,82,10,92,0,15,是,,0
农林牧渔,养殖业,5,0,5,15,2,17,3,8,是,神农集团(605296)、益生股份(002458)、京基智农(000048),0
农林牧渔,农业综合,0,0,0,1,1,2,2,2,否,大禹节水(300021)、辉隆股份(002556),1
农林牧渔,农产品加工,0,0,0,14,1,15,8,8,是,金龙鱼(300999)、中粮糖业(600737)、安德利(605198)、中粮科技(000930)、冠农股份(600251)、深粮控股(000019)、金健米业(600127)、国投中鲁(600962),0
农林牧渔,动物保健,1,0,1,2,2,4,3,4,否,绿康生化(002868)、瑞普生物(300119)、回盛生物(300871),2
农林牧渔,林业,0,0,0,1,0,1,1,1,否,福建金森(002679),0
农林牧渔,渔业,0,0,0,4,0,4,4,4,否,中水渔业(000798)、好当家(600467)、国联水产(300094)、大湖股份(600257),0
农林牧渔,种植业,0,0,0,18,0,18,8,8,是,海南橡胶(601118)、北大荒(600598)、隆平高科(000998)、苏垦农发(601952)、诺 普 信(002215)、登海种业(002041)、农发种业(600313)、亚盛集团(600108),0
农林牧渔,饲料,3,0,3,14,2,16,5,8,是,乖宝宠物(301498)、天康生物(002100)、中宠股份(002891)、傲农生物(603363)、天马科技(603668),0
医药生物,中药,11,0,11,38,7,45,0,11,是,,0
医药生物,化学制药,14,0,14,95,12,107,0,14,是,,0
医药生物,医疗器械,10,0,10,48,12,60,0,10,是,,0
医药生物,医疗服务,7,0,7,41,3,44,1,8,是,百奥赛图(688796),0
医药生物,医药商业,0,0,0,18,0,18,8,8,是,上海医药(601607)、益丰药房(603939)、九州通(600998)、大参林(603233)、国药股份(600511)、中国医药(600056)、百洋医药(301015)、老百姓(603883),0
医药生物,生物制品,8,0,8,35,7,42,0,8,是,,0
商贸零售,一般零售,0,0,0,32,9,41,8,8,是,小商品城(600415)、万辰集团(300972)、供销大集(000564)、永辉超市(601933)、百联股份(600827)、居然智家(000785)、XD浙江东(600113)、农 产 品(000061),0
商贸零售,专业连锁,0,0,0,4,0,4,4,4,否,爱施德(002416)、天音控股(000829)、孩子王(301078)、博士眼镜(300622),0
商贸零售,互联网电商,0,0,0,13,0,13,8,8,是,国联股份(603613)、焦点科技(002315)、赛维时代(301381)、若羽臣(003010)、吉宏股份(002803)、华凯易佰(300592)、南极电商(002127)、壹网壹创(300792),0
商贸零售,旅游零售,1,0,1,2,0,2,1,2,否,珠免集团(600185),0
商贸零售,贸易,0,0,0,4,1,5,5,5,否,中信金属(601061)、苏美达(600710)、怡 亚 通(002183)、凯瑞德(002072)、江苏国泰(002091),1
国防军工,军工电子,13,0,13,37,5,42,0,13,是,,0
国防军工,地面兵装,1,0,1,11,0,11,7,8,是,长城军工(601606)、内蒙一机(600967)、中兵红箭(000519)、光电股份(600184)、国科军工(688543)、北方长龙(301357)、银河电子(002519),0
国防军工,航天装备,4,0,4,7,1,8,4,8,是,航天环宇(688523)、中天火箭(003009)、星网宇达(002829)、新余国科(300722),1
国防军工,航海装备,5,0,5,9,1,10,3,8,是,松发股份(603268)、海兰信(300065)、江龙船艇(300589),0
国防军工,航空装备,8,0,8,34,2,36,0,8,是,,0
基础化工,农化制品,8,0,8,39,3,42,0,8,是,,0
基础化工,化学制品,16,0,16,76,19,95,0,16,是,,0
基础化工,化学原料,4,0,4,34,5,39,4,8,是,君正集团(601216)、龙佰集团(002601)、振华股份(603067)、鲁西化工(000830),0
基础化工,化学纤维,3,0,3,13,0,13,5,8,是,华峰化学(002064)、中复神鹰(688295)、XD天富龙(603406)、新乡化纤(000949)、吉林化纤(000420),0
基础化工,塑料,4,0,4,40,7,47,4,8,是,上纬新材(688585)、蓝晓科技(300487)、金发科技(600143)、国恩股份(002768),0
基础化工,橡胶,1,0,1,7,0,7,6,7,否,科创新源(300731)、黑猫股份(002068)、天铁科技(300587)、震安科技(300767)、阳谷华泰(300121)、三 力 士(002224),0
基础化工,非金属材料,1,0,1,5,1,6,5,6,否,石英股份(603688)、力量钻石(301071)、坤彩科技(603826)、索通发展(603612)、长江材料(001296),1
家用电器,其他家电,0,0,0,0,1,1,1,1,否,奥佳华(002614),1
家用电器,厨卫电器,0,0,0,4,1,5,5,5,否,老板电器(002508)、日出东方(603366)、万和电气(002543)、亿田智能(300911)、火星人(300894),1
家用电器,家电零部件,3,0,3,14,2,16,5,8,是,盾安环境(002011)、海立股份(600619)、华翔股份(603112)、同星科技(301252)、金海高科(603311),0
家用电器,小家电,3,0,3,6,1,7,4,7,否,莱克电气(603355)、九阳股份(002242)、爱仕达(002403)、彩虹集团(003023),0
家用电器,照明设备,0,0,0,5,0,5,5,5,否,民爆光电(301362)、立达信(605365)、联域股份(001326)、勤上股份(002638)、海洋王(002724),0
