symbol,name,category_l1,category_l2,category_l3,sw_l3,mktcap_yi,avg_amount_20d_yi,listing_date,档位,行情名
002556.SZ,辉隆股份,股票,农林牧渔,农业综合,农业综合Ⅲ,48.06,0.9938,2011-03-02,放宽档(0.75-1亿),
300119.SZ,瑞普生物,股票,农林牧渔,动物保健,动物保健Ⅲ,80.91,0.9623,2010-09-17,放宽档(0.75-1亿),
300871.SZ,回盛生物,股票,农林牧渔,动物保健,动物保健Ⅲ,43.75,0.9973,2020-08-24,放宽档(0.75-1亿),
002091.SZ,江苏国泰,股票,商贸零售,贸易,贸易Ⅲ,126.31,0.7525,2006-12-08,放宽档(0.75-1亿),
300722.SZ,新余国科,股票,国防军工,航天装备,航天装备Ⅲ,60.86,0.9856,2017-11-10,放宽档(0.75-1亿),
001296.SZ,长江材料,股票,基础化工,非金属材料,非金属材料Ⅲ,28.42,0.7577,2021-12-24,放宽档(0.75-1亿),
002614.SZ,奥佳华,股票,家用电器,其他家电,其他家电Ⅲ,34.06,0.9166,2011-09-09,放宽档(0.75-1亿),
300894.SZ,火星人,股票,家用电器,厨卫电器,厨房电器,42.53,0.8197,2020-12-31,放宽档(0.75-1亿),
001914.SZ,招商积余,股票,房地产,房地产服务,物业管理,92.2,0.7962,1994-09-28,放宽档(0.75-1亿),
000800.SZ,一汽解放,股票,汽车,商用车,商用载货车,292.82,0.9105,1997-06-18,放宽档(0.75-1亿),
601965.SS,中国汽研,股票,汽车,汽车服务,汽车综合服务,132.55,0.8198,2012-06-11,放宽档(0.75-1亿),
600335.SS,国机汽车,股票,汽车,汽车服务,汽车经销商,75.86,0.943,2001-03-05,放宽档(0.75-1亿),
300979.SZ,华利集团,股票,纺织服饰,纺织制造,纺织鞋类制造,388.73,0.7981,2021-04-26,放宽档(0.75-1亿),
603055.SS,台华新材,股票,纺织服饰,纺织制造,其他纺织,83.6,0.8958,2017-09-21,放宽档(0.75-1亿),
300888.SZ,稳健医疗,股票,美容护理,个护用品,生活用纸,164.86,0.8586,2020-09-17,放宽档(0.75-1亿),
300658.SZ,延江股份,股票,美容护理,个护用品,生活用纸,33.54,0.7666,2017-06-02,放宽档(0.75-1亿),
301371.SZ,敷尔佳,股票,美容护理,化妆品,品牌化妆品,106.67,0.8732,2023-08-01,放宽档(0.75-1亿),
300132.SZ,诺斯贝尔,股票,美容护理,化妆品,化妆品制造及其他,31.15,0.909,2010-10-26,放宽档(0.75-1亿),
688363.SS,华熙生物,股票,美容护理,医疗美容,医美耗材,164.64,0.7921,2019-11-06,放宽档(0.75-1亿),
002678.SZ,珠江钢琴,股票,轻工制造,文娱用品,娱乐用品,58.95,0.7789,2012-05-30,放宽档(0.75-1亿),
002301.SZ,齐心集团,股票,轻工制造,文娱用品,文化用品,56.33,0.918,2009-10-21,放宽档(0.75-1亿),
001368.SZ,通达创智,股票,轻工制造,文娱用品,娱乐用品,34.23,0.7911,2023-03-13,放宽档(0.75-1亿),
002899.SZ,英派斯,股票,轻工制造,文娱用品,娱乐用品,29.47,0.815,2017-09-15,放宽档(0.75-1亿),
600567.SS,山鹰国际,股票,轻工制造,造纸,大宗用纸,81.91,0.8222,2001-12-18,放宽档(0.75-1亿),
600433.SS,冠豪高新,股票,轻工制造,造纸,特种纸,57.06,0.8601,2003-06-19,放宽档(0.75-1亿),
300783.SZ,三只松鼠,股票,食品饮料,休闲食品,零食,65.96,0.9825,2019-07-12,放宽档(0.75-1亿),
002695.SZ,煌上煌,股票,食品饮料,休闲食品,熟食,59.48,0.8838,2012-09-05,放宽档(0.75-1亿),
603886.SS,元祖股份,股票,食品饮料,休闲食品,烘焙食品,27.67,0.8572,2016-12-28,放宽档(0.75-1亿),
