l1,l2,现有,含ST,有效现有,1亿以上候选,放宽档候选,候选池,新增,补齐后,达标,新增名单,放宽档数
农林牧渔,农业综合,0,0,0,1,1,2,2,2,否,大禹节水(300021)、辉隆股份(002556),1
农林牧渔,动物保健,1,0,1,2,2,4,3,4,否,绿康生化(002868)、瑞普生物(300119)、回盛生物(300871),2
农林牧渔,林业,0,0,0,1,0,1,1,1,否,福建金森(002679),0
农林牧渔,渔业,0,0,0,4,0,4,4,4,否,中水渔业(000798)、好当家(600467)、国联水产(300094)、大湖股份(600257),0
商贸零售,专业连锁,0,0,0,4,0,4,4,4,否,爱施德(002416)、天音控股(000829)、孩子王(301078)、博士眼镜(300622),0
商贸零售,旅游零售,1,0,1,2,0,2,1,2,否,珠免集团(600185),0
商贸零售,贸易,0,0,0,4,1,5,5,5,否,中信金属(601061)、苏美达(600710)、怡 亚 通(002183)、凯瑞德(002072)、江苏国泰(002091),1
基础化工,橡胶,1,0,1,7,0,7,6,7,否,科创新源(300731)、黑猫股份(002068)、天铁科技(300587)、震安科技(300767)、阳谷华泰(300121)、三 力 士(002224),0
基础化工,非金属材料,1,0,1,5,1,6,5,6,否,石英股份(603688)、力量钻石(301071)、坤彩科技(603826)、索通发展(603612)、长江材料(001296),1
家用电器,其他家电,0,0,0,0,1,1,1,1,否,奥佳华(002614),1
家用电器,厨卫电器,0,0,0,4,1,5,5,5,否,老板电器(002508)、日出东方(603366)、万和电气(002543)、亿田智能(300911)、火星人(300894),1
家用电器,小家电,3,0,3,6,1,7,4,7,否,莱克电气(603355)、九阳股份(002242)、爱仕达(002403)、彩虹集团(003023),0
家用电器,照明设备,0,0,0,5,0,5,5,5,否,民爆光电(301362)、立达信(605365)、联域股份(001326)、勤上股份(002638)、海洋王(002724),0
家用电器,白色家电,3,0,3,5,0,5,2,5,否,海信家电(000921)、TCL智家(002668),0
建筑装饰,房屋建设,1,0,1,5,0,5,4,5,否,高新发展(000628)、上海建工(600170)、浙江建投(002761)、宁波建工(601789),0
房地产,房地产服务,0,0,0,3,1,4,4,4,否,我爱我家(000560)、世联行(002285)、特发服务(300917)、招商积余(001914),1
汽车,汽车服务,0,0,0,1,2,3,3,3,否,阿尔特(300825)、中国汽研(601965)、国机汽车(600335),2
煤炭,焦炭,1,0,1,6,0,6,5,6,否,山西焦化(600740)、陕西黑猫(601015)、宝泰隆(601011)、云煤能源(600792)、安泰集团(600408),0
石油石化,油气开采,2,1,1,3,0,3,2,3,否,新潮能源(600777)、蓝焰控股(000968),0
社会服务,体育,0,0,0,1,0,1,1,1,否,中体产业(600158),0
社会服务,教育,0,0,0,7,0,7,7,7,否,中公教育(002607)、科德教育(300192)、国脉科技(002093)、创业黑马(300688)、博瑞传播(600880)、学大教育(000526)、传智教育(003032),0
社会服务,酒店餐饮,2,0,2,5,0,5,3,5,否,华天酒店(000428)、西安饮食(000721)、君亭酒店(301073),0
美容护理,个护用品,0,0,0,1,2,3,3,3,否,百亚股份(003006)、稳健医疗(300888)、延江股份(300658),2
美容护理,医疗美容,1,0,1,1,1,2,1,2,否,华熙生物(688363),1
钢铁,冶钢原料,2,0,2,6,0,6,4,6,否,方大炭素(600516)、海南矿业(601969)、河钢资源(000923)、宝地矿业(601121),0
银行,国有大型银行,4,0,4,6,0,6,2,6,否,建设银行(601939)、邮储银行(601658),0
非银金融,保险,4,0,4,5,0,5,1,5,否,中国人保(601319),0
食品饮料,休闲食品,0,0,0,3,3,6,6,6,否,盐津铺子(002847)、来伊份(603777)、桂发祥(002820)、三只松鼠(300783)、煌上煌(002695)、元祖股份(603886),3
食品饮料,调味发酵品,2,0,2,7,0,7,5,7,否,中炬高新(600872)、天味食品(603317)、涪陵榨菜(002507)、千禾味业(603027)、安记食品(603696),0
食品饮料,非白酒,3,0,3,7,0,7,4,7,否,百润股份(002568)、会稽山(601579)、古越龙山(600059)、威龙股份(603779),0
