sw_l1,sw_l2,symbol,name,组内排名,mktcap_yi,avg_amount_20d_yi,listing_date,sw_l3
交通运输,物流,600233.SS,XD圆通速,2,579.53,3.9694,2000-06-08,快递
交通运输,物流,601156.SS,东航物流,3,289.57,1.6769,2021-06-09,跨境物流
交通运输,物流,600704.SS,物产中大,4,253.9,2.0985,1996-06-06,原材料供应链服务
交通运输,物流,600153.SS,建发股份,5,238.92,2.2191,1998-06-16,原材料供应链服务
交通运输,物流,002468.SZ,申通快递,6,218.29,1.9277,2010-09-08,快递
交通运输,物流,002120.SZ,韵达股份,7,193.96,1.8737,2007-03-06,快递
交通运输,物流,603871.SS,嘉友国际,8,171.96,1.6613,2018-02-06,跨境物流
交通运输,航空机场,600221.SS,海航控股,5,535.87,2.3862,1999-11-25,航空运输
交通运输,航空机场,603885.SS,吉祥航空,7,215.17,1.1982,2015-05-27,航空运输
交通运输,航空机场,002928.SZ,华夏航空,8,80.02,1.2766,2018-03-02,航空运输
交通运输,航运港口,600018.SS,上港集团,3,1273.41,3.0991,2000-07-19,港口
交通运输,航运港口,601018.SS,宁波港,5,678.96,1.8715,2010-09-28,港口
交通运输,航运港口,601880.SS,辽港股份,6,341.79,1.1671,2010-12-06,港口
交通运输,铁路公路,601816.SS,京沪高铁,1,2323.97,5.7858,2020-01-16,铁路运输
交通运输,铁路公路,600377.SS,宁沪高速,4,645.34,1.322,2001-01-16,高速公路
交通运输,铁路公路,600350.SS,山东高速,5,492.64,1.5216,2002-03-18,高速公路
交通运输,铁路公路,000429.SZ,粤高速Ａ,6,266.37,1.1522,1998-02-20,高速公路
交通运输,铁路公路,601333.SS,广深铁路,7,221.71,2.1932,2006-12-22,铁路运输
交通运输,铁路公路,600611.SS,大众交通,8,105.68,4.9747,1992-08-07,公交
传媒,出版,601928.SS,凤凰传媒,1,211.74,1.0928,2011-11-30,教育出版
传媒,出版,601098.SS,中南传媒,2,184.09,1.1631,2010-10-28,教育出版
传媒,出版,300364.SZ,中文在线,3,173.6,19.0605,2015-01-21,大众出版
传媒,出版,601858.SS,中国科传,4,157.63,2.6014,2017-01-18,大众出版
传媒,出版,601949.SS,中国出版,5,116.33,3.7735,2017-08-21,大众出版
传媒,出版,601900.SS,南方传媒,6,108.66,1.6652,2016-02-15,教育出版
传媒,出版,002181.SZ,粤 传 媒,7,106.82,6.0663,2007-11-16,大众出版
传媒,出版,605577.SS,龙版传媒,8,61.69,2.7863,2021-08-24,教育出版
传媒,广告营销,301171.SZ,易点天下,3,209.43,25.0531,2022-08-19,营销代理
传媒,广告营销,002354.SZ,天娱数科,4,125.91,21.5586,2010-02-09,营销代理
传媒,广告营销,002400.SZ,省广集团,5,111.4,4.856,2010-05-06,营销代理
