sw_l1,sw_l2,symbol,name,组内排名,mktcap_yi,avg_amount_20d_yi,listing_date,sw_l3
交通运输,物流,600233.SS,XD圆通速,2,579.53,3.9694,2000-06-08,快递
交通运输,物流,601156.SS,东航物流,3,289.57,1.6769,2021-06-09,跨境物流
交通运输,物流,600704.SS,物产中大,4,253.9,2.0985,1996-06-06,原材料供应链服务
交通运输,物流,600153.SS,建发股份,5,238.92,2.2191,1998-06-16,原材料供应链服务
交通运输,铁路公路,601816.SS,京沪高铁,1,2323.97,5.7858,2020-01-16,铁路运输
交通运输,铁路公路,600377.SS,宁沪高速,4,645.34,1.322,2001-01-16,高速公路
交通运输,铁路公路,600350.SS,山东高速,5,492.64,1.5216,2002-03-18,高速公路
传媒,出版,601928.SS,凤凰传媒,1,211.74,1.0928,2011-11-30,教育出版
传媒,出版,601098.SS,中南传媒,2,184.09,1.1631,2010-10-28,教育出版
传媒,出版,300364.SZ,中文在线,3,173.6,19.0605,2015-01-21,大众出版
传媒,出版,601858.SS,中国科传,4,157.63,2.6014,2017-01-18,大众出版
传媒,出版,601949.SS,中国出版,5,116.33,3.7735,2017-08-21,大众出版
传媒,广告营销,301171.SZ,易点天下,3,209.43,25.0531,2022-08-19,营销代理
传媒,广告营销,002354.SZ,天娱数科,4,125.91,21.5586,2010-02-09,营销代理
传媒,广告营销,002400.SZ,省广集团,5,111.4,4.856,2010-05-06,营销代理
传媒,影视院线,600977.SS,中国电影,2,235.8,2.945,2016-08-09,影视动漫制作
传媒,影视院线,002739.SZ,儒意电影,3,178.87,4.4575,2015-01-22,院线
传媒,影视院线,300133.SZ,华策影视,4,132.17,5.8416,2010-10-26,影视动漫制作
传媒,影视院线,300182.SZ,捷成股份,5,131.33,6.6756,2011-02-22,影视动漫制作
传媒,数字媒体,300413.SZ,芒果超媒,1,314.47,19.9753,2015-01-21,视频媒体
传媒,数字媒体,603000.SS,人民网,2,187.3,3.7632,2012-04-27,门户网站
传媒,数字媒体,603888.SS,新华网,3,130.78,2.6431,2016-10-28,门户网站
传媒,数字媒体,000681.SZ,视觉中国,4,112.16,5.0273,1997-01-21,图片媒体
传媒,数字媒体,603533.SS,掌阅科技,5,102.22,7.59,2017-09-21,文字媒体
传媒,电视广播,600637.SS,东方明珠,1,280.72,3.1359,1993-03-16,电视广播Ⅲ
传媒,电视广播,600037.SS,歌华有线,2,96.59,1.1252,2001-02-08,电视广播Ⅲ
传媒,电视广播,000917.SZ,电广传媒,3,95.4,2.2663,1999-03-25,电视广播Ⅲ
传媒,电视广播,600996.SS,贵广网络,4,85.28,1.1365,2016-12-26,电视广播Ⅲ
传媒,电视广播,301551.SZ,无线传媒,5,83.36,1.3709,2024-09-26,电视广播Ⅲ
