项目L2,symbol,name,sw_l2,mktcap_yi,avg_amount_20d_yi
商贸零售,600415.SS,小商品城,一般零售,627.87,6.7006
商贸零售,601061.SS,中信金属,贸易,551.25,2.4521
商贸零售,300972.SZ,万辰集团,一般零售,341.45,3.5014
商贸零售,000564.SZ,供销大集,一般零售,269.07,7.4396
商贸零售,601933.SS,永辉超市,一般零售,266.86,6.5495
商贸零售,600710.SS,苏美达,贸易,146.36,1.2668
商贸零售,603613.SS,国联股份,互联网电商,140.22,2.2179
建筑装饰,601868.SS,中国能建,基础建设,1070.61,4.7136
建筑装饰,601390.SS,中国中铁,基础建设,1052.39,3.7524
环保,600292.SS,电投水电,环境治理,568.37,1.042
环保,603568.SS,伟明环保,环境治理,282.07,1.18
环保,000967.SZ,盈峰环境,环保设备,270.08,4.5526
环保,600388.SS,紫金龙净,环保设备,251.11,2.0021
环保,002266.SZ,浙富控股,环境治理,250.53,3.066
环保,600323.SS,瀚蓝环境,环境治理,241.42,1.2963
社会服务,300012.SZ,华测检测,专业服务,247.38,4.054
社会服务,688757.SS,胜科纳米,专业服务,126.4,2.4399
社会服务,002607.SZ,中公教育,教育,117.18,2.6292
社会服务,603099.SS,长白山,旅游及景区,101.13,2.4084
社会服务,300938.SZ,信测标准,专业服务,99.87,2.4692
纺织服饰,600398.SS,海澜之家,服装家纺,279.04,2.1997
纺织服饰,002832.SZ,比音勒芬,服装家纺,142.73,2.1452
纺织服饰,002003.SZ,伟星股份,纺织制造,134.58,1.9557
纺织服饰,600916.SS,XD中国黄,饰品,127.18,4.6373
纺织服饰,002867.SZ,周大生,饰品,113.11,1.2513
纺织服饰,300005.SZ,探路者,服装家纺,99.59,4.4211
综合,000833.SZ,粤桂股份,综合,170.08,6.6251
综合,600770.SS,综艺股份,综合,75.01,2.2908
综合,600682.SS,南京新百,综合,74.12,1.0756
综合,000025.SZ,特 力Ａ,综合,62.81,2.1488
综合,000523.SZ,红棉股份,综合,59.1,5.9582
综合,600881.SS,亚泰集团,综合,56.24,3.0141
综合,000753.SZ,漳州发展,综合,54.53,1.2883
美容护理,603605.SS,珀莱雅,化妆品,223.25,3.5761
美容护理,300957.SZ,贝泰妮,化妆品,133.43,2.1888
美容护理,600315.SS,上海家化,化妆品,118.45,1.7682
美容护理,603983.SS,丸美生物,化妆品,112.48,1.5425
美容护理,300740.SZ,水羊股份,化妆品,87.63,5.3717
美容护理,003006.SZ,百亚股份,个护用品,82.75,3.3262
美容护理,002094.SZ,青岛金王,化妆品,34.54,3.3081
轻工制造,603195.SS,公牛集团,家居用品,684.59,1.2953
轻工制造,002078.SZ,太阳纸业,造纸,395.59,3.4176
轻工制造,002831.SZ,裕同科技,包装印刷,367.43,2.9465
轻工制造,603899.SS,晨光股份,文娱用品,199.37,1.0074
轻工制造,603833.SS,欧派家居,家居用品,174.57,1.0192
