sw_l1,sw_l2,symbol,name,mktcap_yi,avg_amount_20d_yi,listing_date,备注
农林牧渔,农业综合,002556.SZ,辉隆股份,48.06,0.9938,2011-03-02,放宽档：日均额 0.5-1 亿
农林牧渔,动物保健,300119.SZ,瑞普生物,80.91,0.9623,2010-09-17,放宽档：日均额 0.5-1 亿
农林牧渔,动物保健,600195.SS,中牧股份,68.11,0.5608,1999-01-07,放宽档：日均额 0.5-1 亿
农林牧渔,动物保健,300871.SZ,回盛生物,43.75,0.9973,2020-08-24,放宽档：日均额 0.5-1 亿
农林牧渔,动物保健,002688.SZ,金河生物,43.04,0.6624,2012-07-13,放宽档：日均额 0.5-1 亿
农林牧渔,林业,000663.SZ,永安林业,20.17,0.5181,1996-12-06,放宽档：日均额 0.5-1 亿
农林牧渔,渔业,002069.SZ,獐子岛,25.96,0.5491,2006-09-28,放宽档：日均额 0.5-1 亿
农林牧渔,渔业,600097.SS,开创国际,22.12,0.5716,1997-06-19,放宽档：日均额 0.5-1 亿
商贸零售,专业连锁,300022.SZ,吉峰科技,39.34,0.7394,2009-10-30,放宽档：日均额 0.5-1 亿
商贸零售,专业连锁,603214.SS,爱婴室,17.89,0.681,2018-03-30,放宽档：日均额 0.5-1 亿
商贸零售,贸易,002091.SZ,江苏国泰,126.31,0.7525,2006-12-08,放宽档：日均额 0.5-1 亿
商贸零售,贸易,600058.SS,五矿发展,97.87,0.6688,1997-05-28,放宽档：日均额 0.5-1 亿
商贸零售,贸易,000151.SZ,中成股份,35.44,0.6516,2000-09-06,放宽档：日均额 0.5-1 亿
商贸零售,贸易,000701.SZ,厦门信达,34.75,0.6868,1997-02-26,放宽档：日均额 0.5-1 亿
家用电器,厨卫电器,300894.SZ,火星人,42.53,0.8197,2020-12-31,放宽档：日均额 0.5-1 亿
家用电器,厨卫电器,002035.SZ,华帝股份,38.31,0.6571,2004-09-01,放宽档：日均额 0.5-1 亿
房地产,房地产服务,001914.SZ,招商积余,92.2,0.7962,1994-09-28,放宽档：日均额 0.5-1 亿
房地产,房地产服务,600684.SS,珠江股份,37.5,0.7269,1993-10-28,放宽档：日均额 0.5-1 亿
房地产,房地产服务,603506.SS,南都物业,20.54,0.7493,2018-02-01,放宽档：日均额 0.5-1 亿
房地产,房地产服务,002188.SZ,中天服务,17.27,0.5591,2007-11-22,放宽档：日均额 0.5-1 亿
汽车,汽车服务,601965.SS,中国汽研,132.55,0.8198,2012-06-11,放宽档：日均额 0.5-1 亿
汽车,汽车服务,600335.SS,国机汽车,75.86,0.943,2001-03-05,放宽档：日均额 0.5-1 亿
汽车,汽车服务,301215.SZ,中汽股份,69.11,0.5164,2022-03-08,放宽档：日均额 0.5-1 亿
汽车,汽车服务,600676.SS,久事动娱,68.29,0.503,1993-09-28,放宽档：日均额 0.5-1 亿
社会服务,体育,002858.SZ,力盛体育,21.0,0.5108,2017-03-24,放宽档：日均额 0.5-1 亿
美容护理,个护用品,300888.SZ,稳健医疗,164.86,0.8586,2020-09-17,放宽档：日均额 0.5-1 亿
美容护理,个护用品,002511.SZ,中顺洁柔,89.42,0.7395,2010-11-25,放宽档：日均额 0.5-1 亿
美容护理,个护用品,603193.SS,润本股份,79.75,0.7286,2023-10-17,放宽档：日均额 0.5-1 亿
美容护理,个护用品,301108.SZ,洁雅股份,47.39,0.6379,2021-12-03,放宽档：日均额 0.5-1 亿
美容护理,个护用品,300658.SZ,延江股份,33.54,0.7666,2017-06-02,放宽档：日均额 0.5-1 亿
美容护理,医疗美容,688363.SS,华熙生物,164.64,0.7921,2019-11-06,放宽档：日均额 0.5-1 亿
轻工制造,文娱用品,002678.SZ,珠江钢琴,58.95,0.7789,2012-05-30,放宽档：日均额 0.5-1 亿
轻工制造,文娱用品,301101.SZ,明月镜片,57.57,0.5846,2021-12-16,放宽档：日均额 0.5-1 亿
轻工制造,文娱用品,002301.SZ,齐心集团,56.33,0.918,2009-10-21,放宽档：日均额 0.5-1 亿
轻工制造,文娱用品,001368.SZ,通达创智,34.23,0.7911,2023-03-13,放宽档：日均额 0.5-1 亿
轻工制造,文娱用品,002103.SZ,广博股份,33.82,0.5386,2007-01-10,放宽档：日均额 0.5-1 亿
食品饮料,休闲食品,603043.SS,广州酒家,73.87,0.5231,2017-06-27,放宽档：日均额 0.5-1 亿
食品饮料,休闲食品,603866.SS,桃李面包,66.71,0.5479,2015-12-22,放宽档：日均额 0.5-1 亿
食品饮料,休闲食品,300783.SZ,三只松鼠,65.96,0.9825,2019-07-12,放宽档：日均额 0.5-1 亿
食品饮料,休闲食品,002695.SZ,煌上煌,59.48,0.8838,2012-09-05,放宽档：日均额 0.5-1 亿
食品饮料,休闲食品,002956.SZ,西麦食品,52.32,0.5834,2019-06-19,放宽档：日均额 0.5-1 亿
