项目L2,现有,三级类目数,补到5只,补到8只,不足8只的三级类目
交通运输,13,4,20,32,物流(1)、航空机场(5)、航运港口(5)、铁路公路(2)
传媒,14,6,36,51,出版(0)、广告营销(2)、影视院线(1)、数字媒体(0)、电视广播(0)
公用事业,16,2,20,23,燃气(1)
农林牧渔,9,8,29,41,养殖业(5)、农业综合(0)、农产品加工(0)、动物保健(1)、林业(0)、渔业(0)、种植业(0)、饲料(3)
医药生物,50,6,55,59,医疗服务(7)、医药商业(0)
商贸零售,1,5,20,26,一般零售(0)、专业连锁(0)、互联网电商(0)、旅游零售(1)、贸易(0)
国防军工,31,5,36,44,地面兵装(1)、航天装备(4)、航海装备(5)
基础化工,37,7,49,60,化学原料(4)、化学纤维(3)、塑料(4)、橡胶(1)、非金属材料(1)
家用电器,12,6,30,37,厨卫电器(0)、家电零部件(3)、小家电(3)、照明设备(0)、白色家电(3)、黑色家电(3)
建筑材料,12,3,17,24,水泥(6)、玻璃玻纤(3)、装修建材(3)
建筑装饰,6,5,25,37,专业工程(2)、基础建设(2)、工程咨询服务(1)、房屋建设(1)、装修装饰(0)
房地产,16,2,19,19,房地产服务(0)
有色金属,35,5,39,45,能源金属(7)、贵金属(6)、金属新材料(1)
机械设备,55,5,58,62,工程机械(7)、轨交设备(2)
汽车,12,5,22,33,乘用车(5)、商用车(1)、摩托车及其他(2)、汽车服务(0)、汽车零部件(4)
煤炭,15,2,19,20,焦炭(1)
环保,2,2,11,17,环保设备(0)、环境治理(2)
电力设备,60,6,66,75,其他电源设备(4)、电机(3)、风电设备(2)
电子,129,6,130,133,其他电子(4)
石油石化,9,3,14,20,油服工程(2)、油气开采(2)、炼化及贸易(5)
社会服务,3,5,21,29,专业服务(0)、体育(0)、教育(0)、旅游及景区(1)、酒店餐饮(2)
纺织服饰,2,3,15,22,服装家纺(1)、纺织制造(0)、饰品(1)
综合,1,1,5,8,综合(1)
美容护理,1,3,7,8,个护用品(0)、化妆品(0)、医疗美容(1)
计算机,37,3,37,37,—
轻工制造,3,4,20,27,包装印刷(1)、家居用品(2)、文娱用品(0)、造纸(0)
通信,27,2,27,30,通信服务(5)
钢铁,11,3,15,23,冶钢原料(2)、普钢(5)、特钢(4)
银行,18,4,23,30,农商行(1)、国有大型银行(4)、城商行(6)、股份制银行(7)
非银金融,18,3,24,27,保险(4)、多元金融(1)
食品饮料,17,6,30,42,休闲食品(0)、白酒(7)、调味发酵品(2)、非白酒(3)、食品加工(3)、饮料乳品(2)
