sw_l1,sw_l2,现有,合格候选总数,目标,待补,候选前8
交通运输,物流,1,13,8,7,顺丰控股、XD圆通速、东航物流、物产中大、建发股份、申通快递、韵达股份、嘉友国际
交通运输,航空机场,5,8,8,3,中国国航、南方航空、中国东航、上海机场、海航控股、春秋航空、吉祥航空、华夏航空
交通运输,航运港口,5,23,8,3,中远海控、招商轮船、上港集团、中远海能、宁波港、辽港股份、中远海发、中远海特
交通运输,铁路公路,2,11,8,6,京沪高铁、大秦铁路、招商公路、宁沪高速、山东高速、粤高速Ａ、广深铁路、大众交通
传媒,出版,0,15,8,8,凤凰传媒、中南传媒、中文在线、中国科传、中国出版、南方传媒、粤 传 媒、龙版传媒
传媒,广告营销,2,17,8,6,分众传媒、蓝色光标、易点天下、天娱数科、省广集团、三人行、浙文互联、智度股份
传媒,影视院线,1,16,8,7,光线传媒、中国电影、儒意电影、华策影视、捷成股份、奥飞娱乐、上海电影、博纳影业
传媒,数字媒体,0,9,8,8,芒果超媒、人民网、新华网、视觉中国、掌阅科技、风语筑、值得买、返利科技
传媒,游戏,11,21,8,0,世纪华通、昆仑万维、巨人网络、三七互娱、恺英网络、吉比特、完美世界、神州泰岳
传媒,电视广播,0,8,8,8,东方明珠、歌华有线、电广传媒、贵广网络、无线传媒、海看股份、吉视传媒、北投科技
公用事业,燃气,1,13,8,7,新奥股份、九丰能源、深圳燃气、胜通能源、大众公用、新天然气、首华燃气、贵州燃气
公用事业,电力,15,82,8,0,长江电力、中国广核、中国核电、华能水电、华电新能、华润新能、国投电力、华能国际
农林牧渔,养殖业,5,15,8,3,牧原股份、温氏股份、正邦科技、圣农发展、神农集团、立华股份、益生股份、京基智农
农林牧渔,农业综合,0,1,1,1,大禹节水
农林牧渔,农产品加工,0,14,8,8,金龙鱼、中粮糖业、安德利、中粮科技、冠农股份、深粮控股、金健米业、国投中鲁
农林牧渔,动物保健,1,2,2,1,生物股份、绿康生化
农林牧渔,林业,0,2,2,2,平潭发展、福建金森
农林牧渔,渔业,0,4,4,4,中水渔业、好当家、国联水产、大湖股份
